Date,crop yield,corn,wheat,soy,farming,
December 2003,0,24,24,16,18,
January 2004,0,25,24,13,17,
February 2004,0,26,30,17,16,
March 2004,0,27,27,12,23,
April 2004,0,29,26,10,21,
May 2004,0,26,25,10,15,
June 2004,0,33,19,11,6,
July 2004,0,51,22,12,7,
August 2004,0,39,23,10,10,
September 2004,0,44,27,13,15,
October 2004,0,27,24,11,14,
November 2004,0,26,23,9,13,
December 2004,0,21,25,13,15,
January 2005,0,24,26,15,12,
February 2005,0,25,27,14,17,
March 2005,0,26,30,12,18,
April 2005,0,30,28,11,17,
May 2005,0,28,22,11,16,
June 2005,0,33,20,11,11,
July 2005,0,48,20,12,7,
August 2005,0,46,22,13,11,
September 2005,0,46,25,10,13,
October 2005,0,29,25,12,17,
November 2005,0,29,23,10,11,
December 2005,0,25,25,10,14,
January 2006,0,24,24,11,13,
February 2006,0,26,26,13,14,
March 2006,0,26,19,10,14,
April 2006,0,31,20,13,17,
May 2006,0,29,19,10,13,
June 2006,0,38,21,11,11,
July 2006,0,56,21,11,7,
August 2006,0,43,21,10,9,
September 2006,0,46,26,10,13,
October 2006,0,24,24,10,15,
November 2006,0,25,19,10,10,
December 2006,0,27,23,13,11,
January 2007,0,26,24,12,13,
February 2007,0,24,24,10,12,
March 2007,0,26,26,11,13,
April 2007,0,30,21,11,13,
May 2007,0,32,21,11,12,
June 2007,0,40,21,10,8,
July 2007,0,53,22,12,8,
August 2007,0,47,24,11,9,
September 2007,0,48,25,11,10,
October 2007,0,27,24,11,13,
November 2007,0,26,21,11,11,
December 2007,0,27,25,12,14,
January 2008,0,26,27,12,15,
February 2008,0,26,27,13,14,
March 2008,0,30,25,12,13,
April 2008,0,35,23,12,14,
May 2008,0,39,20,12,11,
June 2008,0,40,21,12,10,
July 2008,0,55,21,10,9,
August 2008,0,52,24,11,9,
September 2008,0,52,24,11,10,
October 2008,0,31,22,12,13,
November 2008,0,29,19,12,12,
December 2008,0,28,23,13,13,
January 2009,0,28,23,12,12,
February 2009,0,28,25,13,13,
March 2009,0,30,22,13,13,
April 2009,0,39,21,12,14,
May 2009,0,36,20,13,12,
June 2009,0,42,20,13,10,
July 2009,0,66,22,14,10,
August 2009,0,57,24,14,12,
September 2009,0,60,23,13,13,
October 2009,0,34,25,16,15,
November 2009,0,30,20,12,13,
December 2009,0,31,25,16,15,
January 2010,0,30,25,14,14,
February 2010,0,32,25,16,15,
March 2010,0,32,25,16,17,
April 2010,0,44,23,16,16,
May 2010,0,43,21,15,13,
June 2010,0,55,20,19,10,
July 2010,0,66,25,19,10,
August 2010,0,57,23,19,12,
September 2010,0,61,24,19,13,
October 2010,0,35,23,17,15,
November 2010,0,33,21,17,13,
December 2010,0,29,28,21,15,
January 2011,0,29,27,20,14,
February 2011,0,31,27,22,15,
March 2011,0,34,25,21,15,
April 2011,0,40,23,21,14,
May 2011,0,41,23,22,13,
June 2011,0,49,23,21,12,
July 2011,0,68,23,21,12,
August 2011,0,64,28,20,12,
September 2011,0,70,32,22,13,
October 2011,0,36,33,20,13,
November 2011,0,36,28,21,13,
December 2011,0,32,32,25,15,
January 2012,0,32,32,25,15,
February 2012,0,33,31,26,14,
March 2012,0,38,28,26,14,
April 2012,0,47,27,29,17,
May 2012,0,44,28,28,22,
June 2012,0,63,32,28,16,
July 2012,0,79,32,26,15,
August 2012,0,72,34,27,16,
September 2012,0,66,33,24,19,
October 2012,0,36,29,22,20,
November 2012,0,38,28,21,18,
December 2012,0,36,39,23,20,
January 2013,0,35,37,25,19,
February 2013,0,37,35,23,19,
March 2013,0,37,34,25,19,
April 2013,0,49,32,24,18,
May 2013,0,49,28,23,18,
June 2013,0,60,28,20,17,
July 2013,0,82,29,19,16,
August 2013,0,73,30,14,17,
September 2013,0,69,29,14,17,
October 2013,0,38,27,14,18,
November 2013,0,38,26,13,21,
December 2013,0,35,32,16,22,
January 2014,0,34,31,16,21,
February 2014,0,38,33,16,24,
March 2014,0,42,29,14,25,
April 2014,0,52,27,15,24,
May 2014,0,50,25,14,23,
June 2014,0,64,24,14,21,
July 2014,0,96,25,15,24,
August 2014,0,74,28,15,28,
September 2014,0,74,27,15,30,
October 2014,0,40,27,14,33,
November 2014,0,40,25,14,28,
December 2014,0,38,28,15,28,
January 2015,0,37,28,15,26,
February 2015,0,37,31,15,29,
March 2015,0,41,31,14,28,
April 2015,0,55,28,14,29,
May 2015,0,56,24,14,27,
June 2015,0,70,24,15,24,
July 2015,0,100,25,15,24,
August 2015,0,79,26,14,23,
September 2015,0,76,26,14,24,
October 2015,0,44,26,16,25,
