Date,tree planting,breeding services,boarding,timber production,fish harvest,
December 2003,28,0,78,0,0,
January 2004,37,0,71,0,0,
February 2004,53,0,85,0,0,
March 2004,44,0,74,0,0,
April 2004,40,0,86,0,0,
May 2004,20,0,88,0,0,
June 2004,19,0,100,0,0,
July 2004,20,0,68,0,0,
August 2004,11,0,70,0,0,
September 2004,15,0,69,0,0,
October 2004,17,0,81,0,0,
November 2004,12,0,69,0,0,
December 2004,26,0,75,0,0,
January 2005,30,0,78,0,0,
February 2005,33,0,70,0,0,
March 2005,36,0,65,0,0,
April 2005,34,0,72,0,0,
May 2005,21,0,77,0,0,
June 2005,19,0,92,0,0,
July 2005,13,0,94,0,0,
August 2005,13,0,69,0,0,
September 2005,11,0,70,0,0,
October 2005,11,0,74,0,0,
November 2005,15,0,65,0,0,
December 2005,20,0,70,0,0,
January 2006,29,0,84,0,0,
February 2006,20,0,68,0,0,
March 2006,38,0,66,0,0,
April 2006,31,0,65,0,0,
May 2006,16,0,65,0,0,
June 2006,16,0,81,0,0,
July 2006,12,0,88,0,0,
August 2006,9,0,86,0,0,
September 2006,9,0,69,0,0,
October 2006,7,0,60,0,0,
November 2006,13,0,76,0,0,
December 2006,14,0,68,0,0,
January 2007,26,0,64,0,0,
February 2007,28,0,69,0,0,
March 2007,29,0,58,0,0,
April 2007,26,0,68,0,0,
May 2007,18,0,84,0,0,
June 2007,18,0,86,0,0,
July 2007,11,0,81,0,0,
August 2007,15,0,74,0,0,
September 2007,12,0,67,0,0,
October 2007,10,0,68,0,0,
November 2007,9,0,82,0,0,
December 2007,14,0,74,0,0,
January 2008,21,0,69,0,0,
February 2008,22,0,75,0,0,
March 2008,33,0,76,0,0,
April 2008,29,0,65,0,0,
May 2008,17,0,77,0,0,
June 2008,15,0,96,0,0,
July 2008,12,0,82,0,0,
August 2008,12,0,67,0,0,
September 2008,11,0,71,0,0,
October 2008,10,0,63,0,0,
November 2008,10,0,77,0,0,
December 2008,13,0,72,0,0,
January 2009,18,0,74,0,0,
February 2009,20,0,67,0,0,
March 2009,26,0,70,0,0,
April 2009,23,0,78,0,0,
May 2009,16,0,69,0,0,
June 2009,11,0,79,0,0,
July 2009,10,0,79,0,0,
August 2009,12,0,60,0,0,
September 2009,9,0,63,0,0,
October 2009,11,0,72,0,0,
November 2009,7,0,67,0,0,
December 2009,14,0,69,0,0,
January 2010,14,0,79,0,0,
February 2010,19,0,75,0,0,
March 2010,23,0,70,0,0,
April 2010,19,0,62,0,0,
May 2010,11,0,71,0,0,
June 2010,9,0,84,0,0,
July 2010,8,0,81,0,0,
August 2010,8,0,61,0,0,
September 2010,8,0,65,0,0,
October 2010,8,0,60,0,0,
November 2010,5,0,64,0,0,
December 2010,11,0,59,0,0,
January 2011,12,0,60,0,0,
February 2011,13,0,62,0,1,
March 2011,16,0,56,0,0,
April 2011,21,0,60,0,0,
May 2011,12,0,69,0,0,
June 2011,12,0,86,0,0,
July 2011,9,0,71,0,0,
August 2011,10,0,65,0,0,
September 2011,8,0,55,0,0,
October 2011,5,0,60,0,0,
November 2011,6,0,60,0,0,
December 2011,9,0,58,0,0,
January 2012,11,0,58,0,0,
February 2012,13,0,58,0,0,
March 2012,17,0,56,0,0,
April 2012,19,0,64,0,1,
May 2012,13,0,64,0,1,
June 2012,9,0,80,0,1,
July 2012,9,0,86,0,1,
August 2012,8,0,60,0,1,
September 2012,7,0,51,0,1,
October 2012,7,0,54,0,1,
November 2012,6,0,60,0,1,
December 2012,9,0,58,0,1,
January 2013,10,0,57,0,1,
February 2013,12,0,59,0,1,
March 2013,18,0,55,0,1,
April 2013,19,0,62,0,1,
May 2013,13,0,70,0,1,
June 2013,9,0,82,0,1,
July 2013,8,0,83,0,1,
August 2013,8,0,62,0,1,
September 2013,7,0,55,0,1,
October 2013,5,0,57,0,1,
November 2013,5,0,61,0,0,
December 2013,9,0,63,0,0,
January 2014,11,0,70,0,0,
February 2014,11,0,59,0,0,
March 2014,16,0,62,0,0,
April 2014,23,0,60,0,1,
May 2014,15,0,68,0,1,
June 2014,11,0,92,0,1,
July 2014,9,0,91,0,0,
August 2014,10,0,64,0,0,
September 2014,8,0,56,0,0,
October 2014,6,0,60,0,0,
November 2014,6,0,67,0,0,
December 2014,11,0,65,0,0,
January 2015,12,0,65,0,0,
February 2015,14,0,60,0,0,
March 2015,20,0,57,0,0,
April 2015,21,0,66,0,0,
May 2015,14,0,79,0,0,
June 2015,9,0,97,0,1,
July 2015,8,0,89,0,0,
August 2015,7,0,69,0,0,
September 2015,8,0,58,0,0,
October 2015,9,0,59,0,0,
