Date,drilling,fracking,pumping,oil sands,off-shore drilling,
December 2003,63,0,23,12,0,
January 2004,73,0,13,18,0,
February 2004,69,0,20,23,0,
March 2004,70,0,19,18,0,
April 2004,76,0,19,15,0,
May 2004,73,0,20,14,0,
June 2004,73,0,20,17,0,
July 2004,63,0,15,15,0,
August 2004,71,0,21,14,0,
September 2004,75,0,23,20,0,
October 2004,70,0,22,17,0,
November 2004,52,0,17,13,0,
December 2004,62,0,16,22,0,
January 2005,71,0,24,22,0,
February 2005,61,0,23,26,0,
March 2005,72,0,21,24,0,
April 2005,68,0,18,16,0,
May 2005,76,0,16,18,0,
June 2005,61,0,15,23,0,
July 2005,82,0,20,40,0,
August 2005,87,0,16,34,0,
September 2005,84,0,25,28,0,
October 2005,100,0,17,27,0,
November 2005,68,0,14,24,0,
December 2005,83,0,14,42,0,
January 2006,81,0,20,46,0,
February 2006,75,0,10,45,0,
March 2006,80,0,15,50,0,
April 2006,86,0,12,40,0,
May 2006,73,0,16,36,0,
June 2006,81,0,14,35,0,
July 2006,86,0,12,31,0,
August 2006,80,0,10,28,0,
September 2006,78,0,17,29,0,
October 2006,78,0,15,34,0,
November 2006,67,0,13,23,0,
December 2006,81,0,14,34,0,
January 2007,75,0,15,32,0,
February 2007,64,0,15,31,0,
March 2007,67,0,15,29,0,
April 2007,71,0,16,29,0,
May 2007,69,0,14,25,0,
June 2007,70,0,13,33,0,
July 2007,67,0,12,30,0,
August 2007,64,0,15,31,0,
September 2007,62,0,13,28,0,
October 2007,63,0,15,28,0,
November 2007,57,0,14,26,0,
December 2007,70,0,13,32,0,
January 2008,79,0,15,34,0,
February 2008,68,0,15,37,0,
March 2008,72,0,15,36,0,
April 2008,69,0,16,34,0,
May 2008,76,0,14,37,0,
June 2008,68,0,14,37,0,
July 2008,76,0,13,29,0,
August 2008,77,0,16,31,0,
September 2008,80,0,13,48,0,
October 2008,74,0,14,35,0,
November 2008,60,0,13,30,0,
December 2008,68,0,15,30,0,
January 2009,71,0,14,32,0,
February 2009,63,0,13,30,0,
March 2009,59,0,19,24,0,
April 2009,56,0,16,25,0,
May 2009,59,0,15,24,0,
June 2009,55,0,14,21,0,
July 2009,55,0,15,19,0,
August 2009,60,0,14,25,0,
September 2009,55,0,16,22,0,
October 2009,58,0,14,24,0,
November 2009,52,0,14,22,0,
December 2009,63,0,18,27,0,
January 2010,59,0,19,22,0,
February 2010,60,0,18,29,0,
March 2010,65,0,19,31,0,
April 2010,79,0,16,27,0,
May 2010,73,0,16,24,0,
June 2010,59,0,15,22,0,
July 2010,61,1,17,24,0,
August 2010,69,2,15,38,0,
September 2010,66,3,18,31,0,
October 2010,62,4,15,31,0,
November 2010,55,3,16,30,0,
December 2010,65,3,15,35,0,
January 2011,71,3,15,34,0,
February 2011,68,5,15,36,0,
March 2011,57,6,15,30,0,
April 2011,66,5,17,31,0,
May 2011,66,6,17,27,0,
June 2011,64,7,16,23,0,
July 2011,66,7,20,25,0,
August 2011,69,7,17,31,0,
September 2011,77,8,18,32,0,
October 2011,69,9,16,33,0,
November 2011,62,10,13,32,0,
December 2011,74,15,14,32,0,
January 2012,75,10,15,37,0,
February 2012,69,10,16,41,0,
March 2012,59,11,16,34,0,
April 2012,69,9,18,36,0,
May 2012,66,8,17,38,0,
June 2012,65,10,20,28,0,
July 2012,68,8,19,29,0,
August 2012,65,10,19,32,0,
September 2012,67,10,18,34,0,
October 2012,68,13,16,37,0,
November 2012,51,13,16,29,0,
December 2012,67,14,16,35,0,
January 2013,67,21,16,31,0,
February 2013,59,13,18,31,0,
March 2013,55,14,18,31,0,
April 2013,60,17,19,32,0,
May 2013,59,17,20,28,0,
June 2013,56,14,19,24,0,
July 2013,59,22,20,23,0,
August 2013,64,13,18,30,0,
September 2013,65,55,20,28,0,
October 2013,58,28,20,30,0,
November 2013,51,20,17,25,0,
December 2013,63,20,18,41,0,
January 2014,61,16,19,31,0,
February 2014,59,17,20,31,0,
March 2014,58,15,20,29,0,
April 2014,60,19,23,31,0,
May 2014,62,13,20,31,0,
June 2014,61,15,21,22,0,
July 2014,62,13,24,23,0,
August 2014,68,23,20,30,0,
September 2014,65,16,21,30,0,
October 2014,63,21,20,33,0,
November 2014,56,21,17,38,0,
December 2014,60,20,19,39,0,
January 2015,57,12,20,27,0,
February 2015,53,14,18,23,0,
March 2015,50,16,20,23,0,
April 2015,54,17,22,26,0,
May 2015,54,14,22,22,0,
June 2015,50,8,21,16,0,
July 2015,51,12,19,20,0,
August 2015,49,9,19,20,0,
September 2015,45,9,19,34,0,
October 2015,49,11,22,22,0,
