Date,jewlery,oil change,lubricants,blacksmithing,ironwork,
December 2003,35,14,0,0,0,
January 2004,46,14,9,0,0,
February 2004,33,15,9,0,0,
March 2004,44,13,9,0,0,
April 2004,37,22,10,0,0,
May 2004,32,22,10,0,0,
June 2004,35,21,11,0,0,
July 2004,38,17,11,0,0,
August 2004,37,16,7,0,0,
September 2004,40,21,8,0,0,
October 2004,46,17,8,0,0,
November 2004,61,12,8,0,0,
December 2004,48,17,9,0,0,
January 2005,43,17,8,0,0,
February 2005,45,16,7,0,0,
March 2005,42,18,6,0,0,
April 2005,45,23,7,0,0,
May 2005,42,23,7,0,0,
June 2005,41,29,8,0,0,
July 2005,42,28,9,0,0,
August 2005,32,19,7,0,0,
September 2005,44,21,7,0,0,
October 2005,48,20,8,0,0,
November 2005,55,14,7,0,0,
December 2005,44,13,7,0,0,
January 2006,45,15,7,0,0,
February 2006,38,17,6,0,0,
March 2006,38,27,7,0,0,
April 2006,35,23,4,0,0,
May 2006,35,24,7,0,0,
June 2006,32,28,6,0,0,
July 2006,40,23,6,4,0,
August 2006,33,21,5,3,0,
September 2006,32,22,6,3,0,
October 2006,48,17,6,3,0,
November 2006,53,20,6,3,0,
December 2006,32,17,5,5,0,
January 2007,41,16,5,8,0,
February 2007,33,21,5,9,0,
March 2007,30,25,5,8,0,
April 2007,33,29,6,8,0,
May 2007,37,24,4,8,0,
June 2007,34,27,4,9,0,
July 2007,37,27,6,5,0,
August 2007,30,27,5,7,0,
September 2007,34,26,6,7,0,
October 2007,42,29,4,6,0,
November 2007,52,23,5,7,0,
December 2007,35,21,4,4,0,
January 2008,39,22,3,6,0,
February 2008,38,23,5,7,0,
March 2008,31,32,5,6,0,
April 2008,37,35,4,8,0,
May 2008,36,33,5,8,0,
June 2008,38,34,7,8,0,
July 2008,35,33,7,6,0,
August 2008,35,29,4,7,0,
September 2008,34,31,4,6,0,
October 2008,47,31,3,13,0,
November 2008,56,23,4,13,0,
December 2008,37,29,4,10,0,
January 2009,38,26,5,7,0,
February 2009,32,36,5,10,0,
March 2009,28,36,5,8,0,
April 2009,31,42,5,7,0,
May 2009,26,42,6,7,0,
June 2009,27,48,5,7,0,
July 2009,31,46,5,6,0,
August 2009,28,43,5,7,0,
September 2009,29,44,6,5,0,
October 2009,30,37,5,5,0,
November 2009,37,38,3,5,0,
December 2009,26,34,5,7,0,
January 2010,24,36,5,6,0,
February 2010,22,43,6,5,0,
March 2010,26,47,5,5,0,
April 2010,22,54,6,6,0,
May 2010,27,49,7,5,0,
June 2010,27,55,4,6,0,
July 2010,26,56,4,6,0,
August 2010,25,47,4,6,0,
September 2010,22,48,4,6,0,
October 2010,26,49,5,5,0,
November 2010,36,43,4,11,0,
December 2010,21,42,5,11,0,
January 2011,22,41,3,9,0,
February 2011,20,40,5,5,0,
March 2011,21,52,5,5,0,
April 2011,22,53,4,5,0,
May 2011,18,58,5,4,0,
June 2011,19,60,3,6,0,
July 2011,21,58,4,7,0,
August 2011,19,52,4,4,0,
September 2011,20,58,4,5,0,
October 2011,22,52,4,7,0,
November 2011,30,51,4,7,0,
December 2011,19,48,5,6,0,
January 2012,22,47,4,8,0,
February 2012,17,53,4,5,0,
March 2012,17,60,4,5,0,
April 2012,18,63,5,18,0,
May 2012,17,60,4,9,0,
June 2012,18,68,5,7,0,
July 2012,18,65,4,6,0,
August 2012,18,62,4,6,0,
September 2012,17,56,4,8,0,
October 2012,22,55,4,6,0,
November 2012,25,48,3,5,0,
December 2012,17,53,4,5,0,
January 2013,16,55,4,5,0,
February 2013,16,61,4,7,0,
March 2013,15,67,5,5,0,
April 2013,15,70,4,4,0,
May 2013,15,68,4,5,0,
June 2013,14,76,5,5,0,
July 2013,13,76,4,4,0,
August 2013,14,65,4,5,0,
September 2013,15,68,4,4,0,
October 2013,19,70,5,4,0,
November 2013,24,58,4,5,0,
December 2013,16,62,5,5,0,
January 2014,16,59,5,5,0,
February 2014,16,63,4,5,0,
March 2014,15,80,4,6,0,
April 2014,17,88,4,4,0,
May 2014,18,80,4,3,0,
June 2014,15,87,5,3,0,
July 2014,17,88,4,5,0,
August 2014,15,74,5,3,0,
September 2014,17,77,4,4,0,
October 2014,20,81,4,7,0,
November 2014,26,63,3,5,0,
December 2014,17,66,4,3,0,
January 2015,16,61,4,3,0,
February 2015,16,73,5,3,0,
March 2015,18,88,4,2,0,
April 2015,16,92,3,3,0,
May 2015,15,89,4,4,0,
June 2015,15,100,5,3,0,
July 2015,15,91,4,3,0,
August 2015,16,84,4,3,0,
September 2015,15,84,4,2,0,
October 2015,19,88,3,4,0,
