Date,glass,pottery,coins,completing wells,equipping wells,
December 2003,72,21,14,0,0,
January 2004,74,22,10,0,0,
February 2004,73,24,11,0,0,
March 2004,70,21,12,0,0,
April 2004,72,20,12,0,0,
May 2004,69,20,10,0,0,
June 2004,71,22,10,0,0,
July 2004,71,24,12,0,0,
August 2004,70,22,10,0,0,
September 2004,74,20,12,0,0,
October 2004,75,22,12,0,0,
November 2004,69,22,12,0,0,
December 2004,71,21,10,0,0,
January 2005,72,20,12,0,0,
February 2005,67,19,10,0,0,
March 2005,69,19,8,0,0,
April 2005,67,19,10,0,0,
May 2005,64,21,10,0,0,
June 2005,64,21,11,0,0,
July 2005,67,23,10,0,0,
August 2005,62,20,9,0,0,
September 2005,64,20,10,0,0,
October 2005,66,23,9,0,0,
November 2005,65,21,9,0,0,
December 2005,64,20,10,0,0,
January 2006,67,17,9,0,0,
February 2006,65,21,10,0,0,
March 2006,62,20,9,0,0,
April 2006,63,19,8,0,0,
May 2006,64,19,8,0,0,
June 2006,65,21,7,0,0,
July 2006,69,22,9,0,0,
August 2006,69,20,8,0,0,
September 2006,69,20,7,0,0,
October 2006,69,21,8,0,0,
November 2006,63,22,8,0,0,
December 2006,66,20,9,0,0,
January 2007,61,18,10,0,0,
February 2007,63,19,10,0,0,
March 2007,60,17,9,0,0,
April 2007,69,19,9,0,0,
May 2007,64,18,9,0,0,
June 2007,63,21,7,0,0,
July 2007,62,21,7,0,0,
August 2007,62,19,8,0,0,
September 2007,61,19,8,0,0,
October 2007,67,23,9,0,0,
November 2007,65,21,8,0,0,
December 2007,66,20,9,0,0,
January 2008,67,18,10,0,0,
February 2008,67,20,9,0,0,
March 2008,69,18,9,0,0,
April 2008,66,19,7,0,0,
May 2008,63,19,8,0,0,
June 2008,67,19,8,0,0,
July 2008,63,21,9,0,0,
August 2008,63,19,8,0,0,
September 2008,65,18,9,0,0,
October 2008,71,22,10,0,0,
November 2008,65,20,9,0,0,
December 2008,63,19,8,0,0,
January 2009,65,19,9,0,0,
February 2009,70,18,10,0,0,
March 2009,70,17,8,0,0,
April 2009,68,18,9,0,0,
May 2009,65,17,8,0,0,
June 2009,70,20,9,0,0,
July 2009,69,22,9,0,0,
August 2009,70,22,9,0,0,
September 2009,70,20,10,0,0,
October 2009,74,24,12,0,0,
November 2009,67,22,12,0,0,
December 2009,72,21,15,0,0,
January 2010,70,20,17,0,0,
February 2010,83,21,15,0,0,
March 2010,74,20,12,0,0,
April 2010,73,20,10,0,0,
May 2010,72,21,9,0,0,
June 2010,70,24,10,0,0,
July 2010,71,24,11,0,0,
August 2010,68,22,10,0,0,
September 2010,74,22,9,0,0,
October 2010,83,26,11,0,0,
November 2010,75,24,12,0,0,
December 2010,69,19,12,0,0,
January 2011,68,18,12,0,0,
February 2011,73,18,11,0,0,
March 2011,74,19,12,0,0,
April 2011,71,19,11,0,0,
May 2011,70,17,9,0,0,
June 2011,72,19,11,0,0,
July 2011,75,21,12,0,0,
August 2011,73,20,11,0,0,
September 2011,73,20,10,0,0,
October 2011,77,24,11,0,0,
November 2011,73,22,12,0,0,
December 2011,75,20,13,0,0,
January 2012,76,19,13,0,0,
February 2012,75,18,13,0,0,
March 2012,83,20,13,0,0,
April 2012,79,19,12,0,0,
May 2012,88,19,11,0,0,
June 2012,89,21,12,0,0,
July 2012,83,21,14,0,0,
August 2012,82,21,13,0,0,
September 2012,78,21,11,0,0,
October 2012,80,24,11,0,0,
November 2012,78,22,14,0,0,
December 2012,77,21,14,0,0,
January 2013,86,18,14,0,0,
February 2013,87,20,14,0,0,
March 2013,90,21,14,0,0,
April 2013,92,18,11,0,0,
May 2013,86,18,11,0,0,
June 2013,88,20,11,0,0,
July 2013,84,23,11,0,0,
August 2013,83,21,11,0,0,
September 2013,83,21,10,0,0,
October 2013,88,23,13,0,0,
November 2013,86,23,13,0,0,
December 2013,91,20,14,0,0,
January 2014,81,18,14,0,0,
February 2014,89,20,13,0,0,
March 2014,97,19,12,0,0,
April 2014,96,19,12,0,0,
May 2014,91,18,12,0,0,
June 2014,93,21,11,0,0,
July 2014,91,23,12,0,0,
August 2014,94,20,13,0,0,
September 2014,96,21,14,0,0,
October 2014,96,27,13,0,0,
November 2014,93,22,14,0,0,
December 2014,92,20,16,0,0,
January 2015,90,18,16,0,0,
February 2015,94,18,15,0,0,
March 2015,96,17,13,0,0,
April 2015,95,18,13,0,0,
May 2015,92,17,12,0,0,
June 2015,98,20,12,0,0,
July 2015,93,22,12,0,0,
August 2015,94,19,13,0,0,
September 2015,92,19,13,0,0,
October 2015,100,23,14,0,0,
