Date,water treatment,water distrbution,sewage treatment facilities,hydro,price of natural gas,
December 2003,4,0,0,38,0,
January 2004,5,0,0,41,0,
February 2004,5,0,0,38,0,
March 2004,4,0,0,42,0,
April 2004,4,0,0,43,0,
May 2004,4,0,0,42,0,
June 2004,3,0,0,37,0,
July 2004,2,0,0,39,0,
August 2004,3,0,0,38,0,
September 2004,4,0,0,43,0,
October 2004,3,0,0,43,0,
November 2004,3,0,0,34,0,
December 2004,3,0,0,39,0,
January 2005,4,0,0,39,0,
February 2005,3,0,0,38,0,
March 2005,3,0,0,43,0,
April 2005,3,0,0,40,0,
May 2005,3,0,0,47,0,
June 2005,3,0,0,42,0,
July 2005,3,0,0,42,0,
August 2005,3,0,0,41,0,
September 2005,3,0,0,38,0,
October 2005,3,0,0,40,0,
November 2005,2,0,0,34,0,
December 2005,3,0,0,36,0,
January 2006,3,0,0,38,0,
February 2006,4,0,0,42,0,
March 2006,3,0,0,43,0,
April 2006,2,0,0,45,0,
May 2006,3,0,0,43,0,
June 2006,2,0,0,44,0,
July 2006,2,0,0,51,0,
August 2006,2,0,0,43,0,
September 2006,3,0,0,42,0,
October 2006,3,0,0,48,0,
November 2006,2,0,0,43,0,
December 2006,2,0,0,43,0,
January 2007,2,0,0,39,0,
February 2007,3,0,0,43,0,
March 2007,2,0,0,44,0,
April 2007,2,0,0,43,0,
May 2007,2,0,0,46,0,
June 2007,2,0,0,44,0,
July 2007,2,0,0,42,0,
August 2007,2,0,0,40,0,
September 2007,3,0,0,41,0,
October 2007,3,0,0,42,0,
November 2007,2,0,0,34,0,
December 2007,3,0,0,41,0,
January 2008,3,0,0,40,0,
February 2008,3,0,0,41,0,
March 2008,3,0,0,46,0,
April 2008,2,0,0,48,0,
May 2008,2,0,0,53,0,
June 2008,2,0,0,50,0,
July 2008,2,0,0,46,0,
August 2008,2,0,0,47,0,
September 2008,2,0,0,47,0,
October 2008,3,0,0,41,0,
November 2008,2,0,0,43,0,
December 2008,2,0,0,46,0,
January 2009,3,0,0,42,0,
February 2009,2,0,0,44,0,
March 2009,2,0,0,47,0,
April 2009,2,0,0,50,0,
May 2009,3,0,0,50,0,
June 2009,2,0,0,46,0,
July 2009,2,0,0,44,0,
August 2009,2,0,0,44,0,
September 2009,2,0,0,40,0,
October 2009,2,0,0,40,0,
November 2009,2,0,0,35,0,
December 2009,2,0,0,41,0,
January 2010,2,0,0,37,0,
February 2010,3,0,0,40,0,
March 2010,3,0,0,42,0,
April 2010,2,0,0,42,0,
May 2010,2,0,0,43,0,
June 2010,2,0,0,44,0,
July 2010,2,0,0,41,0,
August 2010,2,0,0,42,0,
September 2010,2,0,0,40,0,
October 2010,2,0,0,43,0,
November 2010,2,0,0,32,0,
December 2010,2,0,0,43,0,
January 2011,2,0,0,45,0,
February 2011,2,0,0,46,0,
March 2011,2,0,0,49,0,
April 2011,2,0,0,49,0,
May 2011,2,0,0,62,0,
June 2011,2,0,0,59,0,
July 2011,2,0,0,56,0,
August 2011,2,0,0,51,0,
September 2011,2,0,0,49,0,
October 2011,2,0,0,50,0,
November 2011,2,0,0,42,0,
December 2011,2,0,0,53,0,
January 2012,2,0,0,46,0,
February 2012,2,0,0,49,0,
March 2012,2,0,0,48,0,
April 2012,2,0,0,48,0,
May 2012,2,0,0,50,0,
June 2012,2,0,0,52,0,
July 2012,2,0,0,47,0,
August 2012,2,0,0,46,0,
September 2012,2,0,0,50,0,
October 2012,2,0,0,44,0,
November 2012,1,0,0,42,0,
December 2012,2,0,0,47,0,
January 2013,2,0,0,44,0,
February 2013,2,0,0,44,0,
March 2013,2,0,0,55,0,
April 2013,2,0,0,47,0,
May 2013,2,0,0,51,0,
June 2013,2,0,0,77,0,
July 2013,2,0,0,50,0,
August 2013,2,0,0,50,0,
September 2013,2,0,0,48,0,
October 2013,2,0,0,55,0,
November 2013,2,0,0,100,0,
December 2013,2,0,0,57,0,
January 2014,2,0,0,54,0,
February 2014,2,0,0,54,0,
March 2014,2,0,0,57,0,
April 2014,2,0,0,55,0,
May 2014,2,0,0,56,0,
June 2014,2,0,0,58,0,
July 2014,2,0,0,57,0,
August 2014,2,0,0,56,0,
September 2014,2,0,0,54,0,
October 2014,2,0,0,57,0,
November 2014,2,0,0,54,0,
December 2014,2,0,0,62,0,
January 2015,2,0,0,57,0,
February 2015,2,0,0,66,0,
March 2015,2,0,0,60,0,
April 2015,2,0,0,70,0,
May 2015,2,0,0,63,0,
June 2015,2,0,0,61,0,
July 2015,2,0,0,82,0,
August 2015,2,0,0,57,0,
September 2015,2,0,0,58,0,
October 2015,2,0,0,83,0,
