Date,watts,electric batteries,natural gas vs electric power,electric cars,
December 2003,70,0,0,0,
January 2004,52,0,0,0,
February 2004,83,0,0,0,
March 2004,78,0,0,8,
April 2004,53,0,0,8,
May 2004,68,0,0,7,
June 2004,59,0,0,6,
July 2004,62,0,0,6,
August 2004,70,0,0,6,
September 2004,58,0,0,6,
October 2004,54,0,0,6,
November 2004,58,0,0,7,
December 2004,48,0,0,7,
January 2005,55,0,0,5,
February 2005,69,0,0,7,
March 2005,64,0,0,7,
April 2005,57,0,0,7,
May 2005,65,0,0,7,
June 2005,52,0,0,5,
July 2005,66,0,0,7,
August 2005,65,0,0,12,
September 2005,58,0,0,7,
October 2005,59,0,0,8,
November 2005,100,0,0,5,
December 2005,67,0,0,5,
January 2006,58,0,0,5,
February 2006,63,0,0,4,
March 2006,69,0,0,6,
April 2006,55,0,0,5,
May 2006,59,0,0,6,
June 2006,52,0,0,6,
July 2006,57,0,0,8,
August 2006,54,0,0,4,
September 2006,55,0,0,6,
October 2006,54,0,0,6,
November 2006,43,0,0,5,
December 2006,50,0,0,7,
January 2007,52,0,0,6,
February 2007,49,0,0,7,
March 2007,52,0,0,10,
April 2007,56,0,0,10,
May 2007,49,0,0,8,
June 2007,58,0,0,6,
July 2007,51,0,0,6,
August 2007,51,0,0,7,
September 2007,52,0,0,7,
October 2007,47,0,0,10,
November 2007,53,0,0,8,
December 2007,62,0,0,9,
January 2008,56,0,0,10,
February 2008,53,0,0,8,
March 2008,54,0,0,13,
April 2008,49,2,0,16,
May 2008,50,2,0,22,
June 2008,55,2,0,19,
July 2008,51,2,0,11,
August 2008,55,2,0,9,
September 2008,51,0,0,10,
October 2008,54,0,0,10,
November 2008,53,0,0,8,
December 2008,53,0,0,11,
January 2009,63,0,0,7,
February 2009,53,0,0,10,
March 2009,56,3,0,12,
April 2009,56,1,0,10,
May 2009,51,1,0,7,
June 2009,50,1,0,10,
July 2009,53,1,0,9,
August 2009,57,1,0,8,
September 2009,55,1,0,6,
October 2009,53,1,0,9,
November 2009,58,1,0,6,
December 2009,54,1,0,9,
January 2010,58,1,0,6,
February 2010,63,1,0,8,
March 2010,63,1,0,7,
April 2010,60,2,0,7,
May 2010,51,1,0,6,
June 2010,49,0,0,6,
July 2010,54,0,0,5,
August 2010,56,0,0,7,
September 2010,57,0,0,7,
October 2010,60,0,0,7,
November 2010,55,1,0,6,
December 2010,56,1,0,9,
January 2011,59,1,0,7,
February 2011,57,1,0,8,
March 2011,56,1,0,9,
April 2011,54,1,0,8,
May 2011,52,1,0,7,
June 2011,53,1,0,5,
July 2011,56,1,0,6,
August 2011,56,1,0,8,
September 2011,60,1,0,9,
October 2011,58,1,0,8,
November 2011,56,1,0,7,
December 2011,54,1,0,7,
January 2012,55,1,0,8,
February 2012,55,1,0,9,
March 2012,52,1,0,11,
April 2012,58,1,0,8,
May 2012,53,1,0,7,
June 2012,55,1,0,6,
July 2012,50,1,0,7,
August 2012,57,1,0,6,
September 2012,58,1,0,8,
October 2012,61,1,0,7,
November 2012,67,1,0,6,
December 2012,71,1,0,6,
January 2013,75,1,0,8,
February 2013,64,1,0,8,
March 2013,65,1,0,7,
April 2013,56,1,0,6,
May 2013,55,1,0,7,
June 2013,54,1,0,5,
July 2013,62,1,0,5,
August 2013,61,1,0,7,
September 2013,60,1,0,7,
October 2013,65,1,0,7,
November 2013,69,1,0,7,
December 2013,73,1,0,7,
January 2014,66,1,0,7,
February 2014,68,1,0,7,
March 2014,65,1,0,10,
April 2014,59,1,0,9,
May 2014,58,2,0,9,
June 2014,62,1,0,10,
July 2014,59,1,0,9,
August 2014,85,1,0,9,
September 2014,71,1,0,9,
October 2014,71,1,0,8,
November 2014,66,1,0,7,
December 2014,70,1,0,6,
January 2015,70,1,0,7,
February 2015,72,1,0,8,
March 2015,63,1,0,8,
April 2015,61,2,0,8,
May 2015,64,1,0,9,
June 2015,64,1,0,7,
July 2015,64,1,0,7,
August 2015,69,1,0,8,
September 2015,71,1,0,10,
October 2015,72,0,0,10,
