Date,residential building,industrial building,structure construction,commercial building,institutional building,
December 2003,0,0,0,0,0,
January 2004,0,0,0,100,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,58,0,0,70,0,
March 2005,58,0,0,0,0,
April 2005,58,0,0,0,0,
May 2005,58,0,0,0,0,
June 2005,58,0,0,0,0,
July 2005,58,0,0,0,0,
August 2005,52,0,0,52,0,
September 2005,56,0,0,56,0,
October 2005,60,0,0,60,0,
November 2005,39,0,0,37,0,
December 2005,39,0,0,37,0,
January 2006,45,0,0,42,0,
February 2006,45,0,0,47,0,
March 2006,37,0,0,51,0,
April 2006,36,0,0,57,0,
May 2006,36,0,0,47,0,
June 2006,40,0,0,43,0,
July 2006,45,0,0,37,0,
August 2006,40,0,0,35,0,
September 2006,35,0,0,42,0,
October 2006,32,0,0,51,0,
November 2006,30,0,0,29,0,
December 2006,30,0,0,30,0,
January 2007,26,0,0,64,0,
February 2007,37,0,0,50,0,
March 2007,37,0,0,64,0,
April 2007,46,0,0,42,0,
May 2007,39,0,0,49,0,
June 2007,37,0,0,39,0,
July 2007,27,0,0,31,0,
August 2007,26,0,0,39,0,
September 2007,26,0,0,39,0,
October 2007,20,25,0,28,0,
November 2007,27,21,0,47,0,
December 2007,34,21,0,44,0,
January 2008,32,22,0,36,0,
February 2008,43,23,0,64,0,
March 2008,50,0,0,51,0,
April 2008,37,0,0,61,0,
May 2008,22,0,0,32,0,
June 2008,36,0,0,36,0,
July 2008,34,0,0,52,0,
August 2008,23,0,0,40,0,
September 2008,35,17,17,36,0,
October 2008,23,17,0,51,0,
November 2008,19,17,0,28,0,
December 2008,19,17,0,45,0,
January 2009,24,18,0,40,0,
February 2009,36,18,0,56,0,
March 2009,29,16,0,27,0,
April 2009,37,0,0,39,0,
May 2009,30,0,0,28,0,
June 2009,33,0,0,39,0,
July 2009,29,0,0,42,0,
August 2009,33,0,0,44,0,
September 2009,31,16,0,49,0,
October 2009,22,18,0,38,0,
November 2009,20,19,0,25,0,
December 2009,31,21,0,64,0,
January 2010,24,22,0,43,0,
February 2010,28,23,16,42,0,
March 2010,29,19,16,43,0,
April 2010,25,16,13,26,0,
May 2010,29,16,13,48,0,
June 2010,27,14,13,33,0,
July 2010,24,16,13,41,0,
August 2010,29,17,13,43,0,
September 2010,34,12,14,46,0,
October 2010,22,13,10,39,0,
November 2010,19,14,10,42,0,
December 2010,19,12,10,33,0,
January 2011,30,15,10,45,0,
February 2011,30,15,10,44,0,
March 2011,25,16,10,43,0,
April 2011,23,13,13,38,0,
May 2011,17,12,10,39,0,
June 2011,23,13,10,32,0,
July 2011,18,10,9,39,0,
August 2011,20,11,9,41,0,
September 2011,24,8,12,48,0,
October 2011,21,18,15,53,0,
November 2011,22,13,11,33,0,
December 2011,20,15,11,37,0,
January 2012,22,19,11,35,0,
February 2012,24,14,8,48,0,
March 2012,30,25,13,44,0,
April 2012,26,12,9,39,0,
May 2012,24,11,9,39,0,
June 2012,18,14,9,37,0,
July 2012,32,9,9,32,0,
August 2012,32,9,9,42,0,
September 2012,31,19,10,46,0,
October 2012,24,21,12,51,0,
November 2012,13,8,8,35,0,
December 2012,22,16,11,40,0,
January 2013,19,14,13,49,0,
February 2013,27,12,9,48,0,
March 2013,23,15,10,41,0,
April 2013,19,12,7,43,0,
May 2013,29,15,7,32,0,
June 2013,27,19,6,41,0,
July 2013,22,14,6,36,0,
August 2013,27,15,6,44,0,
September 2013,24,18,9,43,0,
October 2013,23,15,11,45,0,
November 2013,22,12,10,36,0,
December 2013,27,18,10,48,0,
January 2014,24,18,9,46,0,
February 2014,34,21,14,56,0,
March 2014,29,25,8,43,0,
April 2014,26,20,11,47,0,
May 2014,25,16,10,58,0,
June 2014,27,17,11,52,0,
July 2014,31,12,11,39,0,
August 2014,30,22,14,47,0,
September 2014,28,16,10,48,0,
October 2014,24,17,14,51,0,
November 2014,17,13,7,42,0,
December 2014,31,21,9,50,0,
January 2015,29,18,10,60,0,
February 2015,32,18,9,59,0,
March 2015,31,16,7,48,0,
April 2015,20,17,10,50,0,
May 2015,25,21,12,50,0,
June 2015,35,19,10,52,0,
July 2015,23,16,9,51,0,
August 2015,31,20,10,44,0,
September 2015,25,19,14,47,0,
October 2015,22,30,0,56,0,
