Date,utility construction,water line,sewar line,pipeline construction,gas pipeline,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,81,
July 2004,0,0,0,0,60,
August 2004,0,0,0,0,60,
September 2004,0,0,0,0,60,
October 2004,0,0,0,0,60,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,56,0,0,0,
February 2005,0,46,0,0,0,
March 2005,0,47,0,0,0,
April 2005,0,43,0,0,0,
May 2005,0,43,0,0,0,
June 2005,0,43,0,0,49,
July 2005,0,43,0,0,41,
August 2005,0,56,0,0,41,
September 2005,0,50,0,0,40,
October 2005,0,40,0,0,58,
November 2005,0,40,0,0,59,
December 2005,0,40,0,0,34,
January 2006,0,31,0,0,36,
February 2006,0,31,0,0,29,
March 2006,0,38,0,0,34,
April 2006,0,45,0,0,49,
May 2006,0,47,0,0,28,
June 2006,0,48,0,0,28,
July 2006,0,40,0,0,28,
August 2006,0,35,0,0,35,
September 2006,0,31,0,0,33,
October 2006,0,42,0,0,32,
November 2006,0,35,0,0,23,
December 2006,0,38,0,0,23,
January 2007,0,45,0,0,30,
February 2007,0,40,0,0,21,
March 2007,0,40,0,0,31,
April 2007,0,37,0,0,35,
May 2007,0,51,0,0,25,
June 2007,0,45,0,0,25,
July 2007,0,49,0,0,24,
August 2007,0,47,0,0,22,
September 2007,0,54,0,0,28,
October 2007,0,50,0,0,21,
November 2007,0,56,0,0,22,
December 2007,0,33,0,0,30,
January 2008,0,40,0,0,29,
February 2008,0,46,0,0,20,
March 2008,0,43,0,15,33,
April 2008,0,40,0,0,22,
May 2008,0,49,0,0,18,
June 2008,0,53,0,0,27,
July 2008,0,50,0,0,21,
August 2008,0,51,0,0,33,
September 2008,0,37,0,18,29,
October 2008,0,47,0,19,33,
November 2008,0,33,0,14,19,
December 2008,0,55,0,15,32,
January 2009,0,59,0,15,28,
February 2009,0,52,0,13,26,
March 2009,0,51,0,13,22,
April 2009,0,53,0,13,17,
May 2009,0,49,0,13,24,
June 2009,0,56,0,13,28,
July 2009,0,50,0,13,22,
August 2009,0,43,0,16,23,
September 2009,0,60,0,18,21,
October 2009,0,61,0,13,22,
November 2009,0,40,0,10,28,
December 2009,0,55,0,10,30,
January 2010,0,49,0,11,27,
February 2010,0,60,0,11,22,
March 2010,0,58,0,14,20,
April 2010,0,54,0,14,26,
May 2010,0,58,0,11,23,
June 2010,0,60,0,11,14,
July 2010,0,57,0,11,21,
August 2010,0,51,0,11,26,
September 2010,0,46,0,9,19,
October 2010,0,45,0,9,19,
November 2010,0,53,0,9,27,
December 2010,0,55,0,9,21,
January 2011,0,51,0,10,27,
February 2011,0,60,0,7,19,
March 2011,0,59,0,9,15,
April 2011,0,58,0,11,17,
May 2011,0,57,0,13,17,
June 2011,0,65,0,10,26,
July 2011,0,57,0,7,21,
August 2011,0,51,0,7,25,
September 2011,0,67,0,8,19,
October 2011,0,49,0,9,26,
November 2011,0,35,0,10,17,
December 2011,0,55,0,12,35,
January 2012,0,43,0,8,24,
February 2012,7,52,0,6,22,
March 2012,0,61,0,10,19,
April 2012,0,70,0,8,25,
May 2012,0,64,0,10,23,
June 2012,0,76,0,12,24,
July 2012,0,84,0,11,19,
August 2012,0,68,0,11,17,
September 2012,7,53,0,9,23,
October 2012,5,47,0,10,23,
November 2012,5,59,0,8,15,
December 2012,5,79,0,11,20,
January 2013,5,58,0,9,32,
February 2013,5,67,0,10,24,
March 2013,7,60,0,10,23,
April 2013,5,68,0,13,23,
May 2013,8,78,0,9,26,
June 2013,6,76,0,13,18,
July 2013,6,74,0,10,21,
August 2013,6,64,0,8,28,
September 2013,6,68,0,17,29,
October 2013,6,63,0,12,21,
November 2013,7,64,0,12,18,
December 2013,7,78,0,18,39,
January 2014,5,77,0,16,34,
February 2014,5,84,0,11,32,
March 2014,5,78,0,10,31,
April 2014,5,79,0,11,29,
May 2014,6,89,0,12,39,
June 2014,6,90,0,14,23,
July 2014,6,100,0,13,22,
August 2014,7,90,0,14,24,
September 2014,7,85,0,17,21,
October 2014,5,71,0,17,31,
November 2014,5,68,0,12,23,
December 2014,5,75,0,12,33,
January 2015,6,80,0,15,28,
February 2015,7,85,0,13,19,
March 2015,6,79,0,9,25,
April 2015,6,97,0,12,20,
May 2015,5,89,0,10,23,
June 2015,6,96,0,12,21,
July 2015,6,94,0,11,21,
August 2015,6,88,0,10,24,
September 2015,5,95,0,9,24,
October 2015,0,73,0,20,22,
