Date,power line,communication line,land subdivision,subdivisions,highway construction,
December 2003,0,0,0,0,0,
January 2004,77,0,0,0,0,
February 2004,75,0,0,0,0,
March 2004,75,0,0,0,0,
April 2004,82,0,0,0,0,
May 2004,89,0,0,0,0,
June 2004,68,0,0,0,0,
July 2004,68,0,0,0,60,
August 2004,68,0,0,0,0,
September 2004,73,0,0,0,0,
October 2004,54,0,0,0,0,
November 2004,100,0,0,0,0,
December 2004,92,0,0,0,0,
January 2005,94,0,0,0,0,
February 2005,57,0,0,0,0,
March 2005,49,0,0,56,0,
April 2005,53,0,0,0,0,
May 2005,55,0,0,0,0,
June 2005,54,0,0,0,58,
July 2005,71,0,0,0,64,
August 2005,54,0,0,0,0,
September 2005,82,0,0,36,0,
October 2005,85,0,0,33,0,
November 2005,71,0,0,37,0,
December 2005,59,0,0,41,0,
January 2006,53,0,0,37,0,
February 2006,65,0,0,35,0,
March 2006,72,0,0,43,46,
April 2006,96,0,0,32,40,
May 2006,57,0,0,32,36,
June 2006,76,0,0,36,53,
July 2006,66,0,0,27,60,
August 2006,57,0,0,29,38,
September 2006,47,0,0,32,25,
October 2006,70,0,0,21,23,
November 2006,48,0,0,22,23,
December 2006,60,0,0,22,23,
January 2007,62,0,0,31,23,
February 2007,59,0,0,26,24,
March 2007,61,0,0,23,25,
April 2007,60,0,0,26,23,
May 2007,71,0,0,36,36,
June 2007,83,0,0,30,36,
July 2007,57,0,0,22,39,
August 2007,47,0,0,34,18,
September 2007,62,0,0,32,25,
October 2007,51,0,0,27,18,
November 2007,46,0,0,31,18,
December 2007,64,0,0,35,18,
January 2008,60,0,0,47,18,
February 2008,76,0,0,22,19,
March 2008,67,0,0,36,26,
April 2008,75,0,0,28,33,
May 2008,64,0,0,33,39,
June 2008,82,0,0,32,51,
July 2008,62,0,0,21,40,
August 2008,76,0,0,41,28,
September 2008,87,0,0,23,30,
October 2008,66,0,0,24,15,
November 2008,71,0,0,19,15,
December 2008,62,0,0,19,16,
January 2009,58,0,0,23,17,
February 2009,60,0,0,18,17,
March 2009,80,0,0,28,26,
April 2009,72,0,0,19,40,
May 2009,61,0,0,26,42,
June 2009,73,0,0,21,49,
July 2009,61,0,0,20,34,
August 2009,88,0,0,24,32,
September 2009,73,0,0,22,26,
October 2009,88,0,0,26,22,
November 2009,62,0,0,16,17,
December 2009,82,0,0,36,17,
January 2010,68,0,0,27,17,
February 2010,74,0,0,30,16,
March 2010,73,0,0,28,24,
April 2010,81,0,0,26,27,
May 2010,60,0,0,14,40,
June 2010,51,0,0,28,56,
July 2010,58,0,0,27,45,
August 2010,75,0,0,33,34,
September 2010,67,0,0,18,34,
October 2010,58,0,0,24,18,
November 2010,58,0,0,18,20,
December 2010,58,7,0,22,13,
January 2011,67,0,0,27,13,
February 2011,82,0,0,21,11,
March 2011,79,0,0,18,20,
April 2011,70,0,0,24,29,
May 2011,63,0,0,25,34,
June 2011,71,0,0,17,47,
July 2011,63,0,0,22,43,
August 2011,67,0,0,25,25,
September 2011,62,0,0,20,17,
October 2011,70,0,0,23,18,
November 2011,46,0,0,15,14,
December 2011,62,0,0,25,10,
January 2012,65,0,0,24,11,
February 2012,56,0,0,22,13,
March 2012,59,8,0,20,15,
April 2012,76,6,0,22,25,
May 2012,77,6,0,17,26,
June 2012,69,6,0,26,37,
July 2012,77,6,0,19,53,
August 2012,72,6,0,25,36,
September 2012,67,6,0,26,32,
October 2012,64,6,0,21,22,
November 2012,61,5,0,21,11,
December 2012,70,5,0,26,13,
January 2013,75,5,0,19,9,
February 2013,69,0,0,25,16,
March 2013,70,0,0,25,19,
April 2013,68,0,0,31,28,
May 2013,69,0,0,23,24,
June 2013,70,0,0,26,32,
July 2013,68,0,0,27,40,
August 2013,73,5,0,17,23,
September 2013,65,4,0,23,19,
October 2013,72,6,0,19,18,
November 2013,86,6,0,17,17,
December 2013,80,6,0,29,10,
January 2014,90,5,0,25,13,
February 2014,77,5,0,22,13,
March 2014,71,5,0,25,15,
April 2014,70,6,0,20,25,
May 2014,70,6,6,24,32,
June 2014,87,6,0,22,38,
July 2014,86,6,0,19,37,
August 2014,93,6,0,19,29,
September 2014,83,6,0,16,22,
October 2014,78,6,0,21,17,
November 2014,71,6,0,20,7,
December 2014,76,6,0,21,12,
January 2015,92,7,0,19,14,
February 2015,84,0,0,24,12,
March 2015,71,0,0,22,19,
April 2015,89,0,0,20,27,
May 2015,89,0,0,22,36,
June 2015,87,0,0,23,51,
July 2015,82,0,0,18,51,
August 2015,91,0,0,20,34,
September 2015,80,0,0,20,20,
October 2015,89,0,0,25,28,
