Date,street construction,bridge construction,heavy construction,civil engineering construction,building contractors,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,100,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,0,0,0,0,0,
March 2005,0,0,0,0,0,
April 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
June 2005,0,0,0,0,0,
July 2005,0,0,0,0,0,
August 2005,0,0,0,0,0,
September 2005,0,0,0,0,0,
October 2005,0,64,0,0,0,
November 2005,0,76,0,0,0,
December 2005,0,88,0,0,0,
January 2006,0,100,0,0,0,
February 2006,0,69,0,0,62,
March 2006,0,56,0,0,0,
April 2006,0,56,71,0,0,
May 2006,0,48,63,0,0,
June 2006,0,48,63,0,0,
July 2006,0,48,63,0,0,
August 2006,0,60,50,0,45,
September 2006,0,73,50,0,38,
October 2006,0,62,50,0,38,
November 2006,0,34,40,0,37,
December 2006,0,34,40,0,37,
January 2007,0,50,45,0,35,
February 2007,0,49,50,0,35,
March 2007,0,49,70,0,42,
April 2007,0,49,44,0,37,
May 2007,34,36,33,0,36,
June 2007,0,41,33,0,35,
July 2007,0,73,33,0,35,
August 2007,0,69,37,0,31,
September 2007,0,48,42,0,32,
October 2007,0,59,36,0,32,
November 2007,0,47,31,0,30,
December 2007,0,60,40,0,30,
January 2008,27,59,57,0,32,
February 2008,28,40,32,0,36,
March 2008,28,55,37,0,32,
April 2008,31,54,39,0,33,
May 2008,46,70,33,0,33,
June 2008,32,41,50,0,43,
July 2008,39,35,35,0,30,
August 2008,30,66,28,0,30,
September 2008,38,29,51,0,25,
October 2008,29,36,44,0,25,
November 2008,24,29,31,0,24,
December 2008,24,42,35,0,24,
January 2009,28,47,58,0,43,
February 2009,28,53,45,0,30,
March 2009,24,40,45,0,29,
April 2009,32,60,53,0,31,
May 2009,35,43,40,0,35,
June 2009,34,46,51,0,36,
July 2009,45,43,30,0,30,
August 2009,28,62,40,0,34,
September 2009,32,40,37,0,29,
October 2009,52,53,31,0,27,
November 2009,38,23,36,0,27,
December 2009,42,40,24,0,39,
January 2010,38,39,57,0,37,
February 2010,40,32,63,0,34,
March 2010,38,47,33,0,37,
April 2010,51,42,39,0,45,
May 2010,36,35,47,0,29,
June 2010,38,58,30,0,28,
July 2010,43,55,33,0,25,
August 2010,58,60,32,0,32,
September 2010,39,70,30,0,24,
October 2010,43,46,41,0,25,
November 2010,34,24,31,0,19,
December 2010,32,39,35,13,24,
January 2011,33,39,36,0,29,
February 2011,24,38,28,0,36,
March 2011,40,51,20,0,30,
April 2011,49,44,28,0,42,
May 2011,47,56,28,0,21,
June 2011,48,55,25,0,23,
July 2011,53,54,31,0,24,
August 2011,51,32,20,0,33,
September 2011,44,44,24,0,28,
October 2011,40,36,34,0,28,
November 2011,34,34,15,0,17,
December 2011,37,33,31,0,24,
January 2012,42,54,24,0,33,
February 2012,42,47,36,0,32,
March 2012,39,44,26,0,25,
April 2012,47,53,44,0,31,
May 2012,55,91,19,0,24,
June 2012,49,55,25,0,26,
July 2012,55,41,28,0,28,
August 2012,51,42,33,14,27,
September 2012,50,43,36,11,18,
October 2012,35,42,29,9,19,
November 2012,29,36,27,9,15,
December 2012,35,42,38,9,19,
January 2013,36,45,41,9,23,
February 2013,39,39,33,9,22,
March 2013,44,50,36,9,26,
April 2013,55,38,36,10,33,
May 2013,63,37,38,10,20,
June 2013,67,47,27,10,23,
July 2013,62,38,30,10,26,
August 2013,55,43,30,10,25,
September 2013,55,54,34,12,25,
October 2013,44,30,32,10,18,
November 2013,38,28,24,10,22,
December 2013,42,50,37,10,20,
January 2014,42,40,39,9,20,
February 2014,44,33,38,9,28,
March 2014,63,46,43,9,32,
April 2014,63,51,41,9,23,
May 2014,60,40,33,10,26,
June 2014,79,49,38,10,25,
July 2014,66,41,43,10,26,
August 2014,73,61,35,10,33,
September 2014,54,47,33,9,33,
October 2014,64,34,32,11,22,
November 2014,41,35,25,10,15,
December 2014,40,35,36,9,29,
January 2015,55,38,29,10,24,
February 2015,53,73,49,13,35,
March 2015,62,45,35,12,30,
April 2015,78,52,41,12,26,
May 2015,70,62,36,10,27,
June 2015,73,46,33,9,31,
July 2015,71,36,32,14,21,
August 2015,71,44,33,14,33,
September 2015,52,47,29,0,24,
October 2015,79,51,34,0,25,
