Date,framing contractors,masonary contractors,glass contractors,roofing contractors,electrical contractors,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,0,0,0,0,0,
March 2005,0,0,0,0,0,
April 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
June 2005,0,0,0,0,0,
July 2005,0,0,0,0,94,
August 2005,0,0,0,0,95,
September 2005,0,0,0,0,96,
October 2005,0,0,0,0,97,
November 2005,0,0,0,0,99,
December 2005,0,0,0,0,100,
January 2006,0,0,0,0,61,
February 2006,0,0,0,0,61,
March 2006,0,0,0,0,61,
April 2006,0,0,0,0,61,
May 2006,0,0,0,0,66,
June 2006,0,0,0,0,68,
July 2006,0,0,0,0,70,
August 2006,0,0,0,0,72,
September 2006,0,0,0,0,74,
October 2006,0,0,0,0,67,
November 2006,0,0,0,0,67,
December 2006,0,0,0,0,67,
January 2007,0,0,0,0,58,
February 2007,0,0,0,0,55,
March 2007,0,0,0,0,57,
April 2007,0,0,0,46,43,
May 2007,0,0,0,51,81,
June 2007,0,0,0,56,65,
July 2007,0,0,0,61,55,
August 2007,0,0,0,0,44,
September 2007,0,0,0,0,44,
October 2007,0,0,0,0,47,
November 2007,0,0,0,0,42,
December 2007,0,0,0,0,51,
January 2008,0,0,0,0,54,
February 2008,0,0,0,0,51,
March 2008,0,0,0,0,75,
April 2008,0,0,0,31,53,
May 2008,0,0,0,36,54,
June 2008,0,0,0,40,45,
July 2008,0,0,0,33,61,
August 2008,0,0,0,46,60,
September 2008,0,0,0,36,52,
October 2008,0,0,0,38,40,
November 2008,0,0,0,41,47,
December 2008,0,0,0,43,52,
January 2009,0,0,0,45,67,
February 2009,0,0,0,48,50,
March 2009,0,0,0,50,66,
April 2009,0,0,0,44,59,
May 2009,0,0,0,44,65,
June 2009,0,0,0,43,49,
July 2009,0,0,0,44,62,
August 2009,0,0,0,45,68,
September 2009,0,0,0,28,80,
October 2009,0,0,0,22,41,
November 2009,0,0,0,24,49,
December 2009,0,0,0,34,90,
January 2010,0,0,0,39,97,
February 2010,0,0,0,42,100,
March 2010,0,0,0,58,79,
April 2010,0,0,0,59,83,
May 2010,0,0,0,86,79,
June 2010,0,0,0,53,64,
July 2010,0,0,0,53,48,
August 2010,0,0,0,48,63,
September 2010,0,0,0,34,76,
October 2010,0,0,0,30,60,
November 2010,0,0,0,19,52,
December 2010,0,0,0,31,68,
January 2011,0,0,0,36,76,
February 2011,0,0,0,43,59,
March 2011,0,0,0,48,60,
April 2011,0,0,0,58,72,
May 2011,0,0,0,49,64,
June 2011,0,0,0,39,53,
July 2011,0,0,0,40,56,
August 2011,0,0,0,46,80,
September 2011,0,0,0,33,57,
October 2011,0,0,0,34,59,
November 2011,0,0,0,18,35,
December 2011,0,0,0,18,44,
January 2012,0,0,0,28,68,
February 2012,0,0,0,33,58,
March 2012,0,0,0,37,55,
April 2012,0,0,0,49,53,
May 2012,0,0,0,37,68,
June 2012,0,0,0,38,67,
July 2012,0,0,0,36,60,
August 2012,0,0,0,42,59,
September 2012,0,0,0,35,51,
October 2012,0,0,0,24,48,
November 2012,0,0,0,19,44,
December 2012,0,0,0,21,54,
January 2013,0,0,0,16,64,
February 2013,0,0,0,35,63,
March 2013,0,0,0,42,54,
April 2013,0,0,0,46,70,
May 2013,0,0,0,36,57,
June 2013,0,0,0,44,73,
July 2013,0,0,0,39,54,
August 2013,0,0,0,45,46,
September 2013,0,0,0,27,69,
October 2013,0,0,0,28,66,
November 2013,0,0,0,15,54,
December 2013,0,0,0,22,63,
January 2014,0,0,0,26,59,
February 2014,0,0,0,47,72,
March 2014,0,0,0,69,67,
April 2014,0,0,0,43,55,
May 2014,0,0,0,49,59,
June 2014,0,0,0,43,58,
July 2014,0,0,0,48,74,
August 2014,0,0,0,36,61,
September 2014,0,0,0,42,53,
October 2014,0,0,0,27,55,
November 2014,0,0,0,16,43,
December 2014,0,0,0,23,47,
January 2015,0,0,0,20,49,
February 2015,0,0,0,37,55,
March 2015,0,0,0,31,64,
April 2015,0,0,0,34,63,
May 2015,0,0,0,40,61,
June 2015,0,0,0,32,72,
July 2015,0,0,0,42,60,
August 2015,0,0,0,41,64,
September 2015,0,0,0,31,47,
October 2015,0,0,0,23,61,
