Date,plumbing contractors,heating contractors,air conditioning contractors,drywall contractors,insulation contractors,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,0,0,0,0,0,
March 2005,0,0,0,0,0,
April 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
June 2005,0,0,0,0,0,
July 2005,0,0,0,0,0,
August 2005,0,0,0,0,0,
September 2005,0,0,0,0,0,
October 2005,0,0,0,0,0,
November 2005,0,0,0,0,0,
December 2005,0,0,0,0,0,
January 2006,0,0,0,0,0,
February 2006,0,0,0,0,0,
March 2006,0,0,0,0,0,
April 2006,0,0,0,0,0,
May 2006,0,0,0,0,0,
June 2006,0,0,0,0,0,
July 2006,0,0,0,0,0,
August 2006,0,0,0,0,0,
September 2006,0,0,0,0,0,
October 2006,0,0,0,0,0,
November 2006,0,0,0,0,0,
December 2006,0,0,0,0,0,
January 2007,0,0,0,0,0,
February 2007,0,0,0,0,0,
March 2007,0,0,0,0,0,
April 2007,0,0,0,0,0,
May 2007,0,0,0,0,0,
June 2007,0,0,0,0,0,
July 2007,0,0,0,0,0,
August 2007,0,0,0,0,0,
September 2007,0,100,0,0,0,
October 2007,0,0,0,0,0,
November 2007,0,0,0,0,0,
December 2007,0,0,0,0,0,
January 2008,0,0,0,0,0,
February 2008,0,0,0,0,0,
March 2008,0,0,0,0,0,
April 2008,0,0,0,0,0,
May 2008,0,0,0,0,0,
June 2008,0,0,0,0,0,
July 2008,0,0,0,0,0,
August 2008,0,0,0,0,0,
September 2008,0,0,0,0,0,
October 2008,0,0,0,0,0,
November 2008,0,0,0,0,0,
December 2008,0,0,0,0,0,
January 2009,0,0,0,0,0,
February 2009,0,0,0,0,0,
March 2009,0,0,0,0,0,
April 2009,0,0,0,0,0,
May 2009,0,0,0,0,0,
June 2009,0,0,0,0,0,
July 2009,0,0,0,0,0,
August 2009,0,74,0,0,0,
September 2009,0,70,0,0,0,
October 2009,87,70,0,0,0,
November 2009,76,88,0,0,0,
December 2009,76,80,0,0,0,
January 2010,70,80,0,0,0,
February 2010,0,84,0,0,0,
March 2010,0,89,0,67,0,
April 2010,0,93,0,0,0,
May 2010,0,91,0,0,0,
June 2010,0,91,0,0,0,
July 2010,66,91,0,0,0,
August 2010,66,74,0,0,0,
September 2010,67,74,0,0,0,
October 2010,67,76,0,0,0,
November 2010,59,61,0,0,0,
December 2010,59,69,0,0,0,
January 2011,51,83,0,68,49,
February 2011,51,68,0,51,0,
March 2011,51,64,0,54,0,
April 2011,50,64,0,57,0,
May 2011,52,55,0,48,0,
June 2011,54,56,0,58,0,
July 2011,50,57,0,45,61,
August 2011,49,56,0,45,51,
September 2011,51,90,0,45,51,
October 2011,54,60,0,49,51,
November 2011,56,46,0,52,0,
December 2011,58,90,0,55,0,
January 2012,40,43,0,61,0,
February 2012,41,43,0,43,0,
March 2012,43,50,0,39,0,
April 2012,44,57,0,39,42,
May 2012,46,50,0,40,43,
June 2012,41,50,0,41,44,
July 2012,64,58,0,45,45,
August 2012,56,71,0,47,46,
September 2012,50,81,0,39,47,
October 2012,40,48,0,50,0,
November 2012,35,46,0,49,0,
December 2012,41,53,0,49,0,
January 2013,37,59,0,40,0,
February 2013,37,69,0,37,0,
March 2013,46,61,0,37,0,
April 2013,47,52,0,52,40,
May 2013,43,43,0,46,43,
June 2013,37,72,0,32,46,
July 2013,57,52,0,32,49,
August 2013,55,53,0,53,41,
September 2013,39,91,0,34,41,
October 2013,41,55,0,41,46,
November 2013,44,75,0,31,29,
December 2013,47,74,0,43,29,
January 2014,40,47,0,45,57,
February 2014,33,49,0,48,46,
March 2014,40,46,0,51,46,
April 2014,32,51,0,44,0,
May 2014,39,44,0,47,0,
June 2014,56,51,0,64,0,
July 2014,55,41,0,52,0,
August 2014,59,56,0,46,0,
September 2014,51,76,0,61,46,
October 2014,35,82,0,54,37,
November 2014,35,47,0,35,36,
December 2014,35,60,0,53,36,
January 2015,79,87,0,49,36,
February 2015,40,84,0,63,47,
March 2015,59,42,0,50,37,
April 2015,58,51,0,70,37,
May 2015,56,71,0,66,37,
June 2015,50,69,0,48,35,
July 2015,52,54,0,38,35,
August 2015,30,51,0,53,35,
September 2015,0,47,0,67,47,
October 2015,0,0,0,0,0,
