Date,painting contractors,painters,flooring contractors,flooring installation,tile installation,
December 2003,0,82,0,0,0,
January 2004,0,91,0,0,0,
February 2004,0,78,0,0,0,
March 2004,0,100,0,0,0,
April 2004,0,94,0,0,0,
May 2004,0,78,0,0,0,
June 2004,0,74,0,0,0,
July 2004,0,67,0,0,18,
August 2004,0,71,0,0,0,
September 2004,0,63,0,0,0,
October 2004,0,66,0,0,0,
November 2004,0,59,0,0,0,
December 2004,0,58,0,0,0,
January 2005,0,77,0,0,0,
February 2005,0,78,0,0,10,
March 2005,0,87,0,0,11,
April 2005,0,84,0,0,12,
May 2005,0,68,0,0,13,
June 2005,0,73,0,0,13,
July 2005,0,59,0,0,10,
August 2005,0,66,0,0,10,
September 2005,0,55,0,0,10,
October 2005,0,65,0,8,8,
November 2005,0,61,0,7,9,
December 2005,0,58,0,7,11,
January 2006,0,61,0,7,6,
February 2006,0,62,0,8,6,
March 2006,0,72,0,8,7,
April 2006,0,77,0,8,8,
May 2006,0,57,0,8,9,
June 2006,0,59,0,9,10,
July 2006,0,65,0,7,9,
August 2006,0,60,0,7,6,
September 2006,0,56,0,7,7,
October 2006,0,55,0,9,11,
November 2006,0,36,0,6,6,
December 2006,0,52,0,8,6,
January 2007,0,49,0,6,7,
February 2007,0,63,0,8,8,
March 2007,0,67,0,9,5,
April 2007,0,72,0,8,10,
May 2007,0,55,0,8,5,
June 2007,0,63,0,6,11,
July 2007,0,54,0,9,8,
August 2007,0,52,0,6,10,
September 2007,0,52,0,9,6,
October 2007,0,45,0,6,6,
November 2007,0,39,0,5,7,
December 2007,0,43,0,5,5,
January 2008,0,42,0,5,5,
February 2008,0,54,0,5,7,
March 2008,0,57,0,5,9,
April 2008,0,67,0,5,6,
May 2008,0,53,0,5,5,
June 2008,0,55,0,7,6,
July 2008,0,49,0,8,4,
August 2008,0,46,0,6,6,
September 2008,0,49,0,3,6,
October 2008,0,48,0,5,4,
November 2008,0,38,0,5,4,
December 2008,0,48,0,6,7,
January 2009,0,48,0,6,5,
February 2009,0,51,0,4,7,
March 2009,0,57,0,6,10,
April 2009,0,69,0,5,7,
May 2009,0,54,0,7,7,
June 2009,0,54,0,8,8,
July 2009,0,47,0,9,9,
August 2009,0,46,0,8,7,
September 2009,0,44,0,8,7,
October 2009,3,50,0,10,8,
November 2009,3,34,0,7,6,
December 2009,3,48,0,9,11,
January 2010,3,44,0,7,8,
February 2010,3,52,0,12,11,
March 2010,3,64,0,9,9,
April 2010,2,54,0,9,11,
May 2010,2,57,0,8,10,
June 2010,2,51,0,7,8,
July 2010,2,45,0,7,8,
August 2010,2,53,0,7,8,
September 2010,2,47,0,6,5,
October 2010,2,44,0,7,6,
November 2010,2,35,0,5,4,
December 2010,2,44,0,5,5,
January 2011,2,41,0,6,8,
February 2011,2,46,0,6,6,
March 2011,2,53,0,5,6,
April 2011,2,57,0,6,6,
May 2011,2,52,0,6,7,
June 2011,2,48,0,9,10,
July 2011,2,54,0,6,7,
August 2011,2,47,0,8,8,
September 2011,2,43,0,8,6,
October 2011,2,45,0,7,6,
November 2011,2,34,0,6,6,
December 2011,2,44,0,7,6,
January 2012,1,43,0,8,6,
February 2012,1,47,0,7,6,
March 2012,1,58,0,6,6,
April 2012,1,62,0,7,6,
May 2012,1,54,0,6,6,
June 2012,2,55,0,7,7,
July 2012,2,45,0,7,6,
August 2012,2,49,0,6,5,
September 2012,2,43,0,7,7,
October 2012,1,39,0,6,5,
November 2012,1,31,0,4,5,
December 2012,1,35,0,6,6,
January 2013,1,43,0,6,6,
February 2013,2,44,0,6,7,
March 2013,2,50,0,6,8,
April 2013,2,54,0,6,5,
May 2013,2,49,0,7,5,
June 2013,2,47,0,7,5,
July 2013,1,47,0,6,6,
August 2013,1,45,0,5,5,
September 2013,1,39,0,5,5,
October 2013,2,43,0,8,6,
November 2013,1,33,0,5,5,
December 2013,1,42,0,6,6,
January 2014,1,47,0,5,5,
February 2014,2,48,0,7,6,
March 2014,2,54,0,8,7,
April 2014,2,61,0,7,6,
May 2014,1,51,1,7,6,
June 2014,1,49,2,6,6,
July 2014,2,47,2,8,7,
August 2014,1,46,0,6,6,
September 2014,1,44,0,6,5,
October 2014,1,39,0,7,6,
November 2014,1,33,0,4,5,
December 2014,1,41,0,6,4,
January 2015,1,42,0,6,6,
February 2015,1,44,1,7,7,
March 2015,2,53,2,7,7,
April 2015,2,56,1,6,4,
May 2015,2,54,1,7,5,
June 2015,2,54,2,7,6,
July 2015,2,52,2,8,6,
August 2015,1,48,1,7,7,
September 2015,1,41,0,7,6,
October 2015,0,46,0,6,8,
