Date,contractors,
December 2003,69,
January 2004,55,
February 2004,64,
March 2004,100,
April 2004,90,
May 2004,72,
June 2004,78,
July 2004,72,
August 2004,69,
September 2004,64,
October 2004,62,
November 2004,45,
December 2004,61,
January 2005,60,
February 2005,66,
March 2005,71,
April 2005,69,
May 2005,80,
June 2005,69,
July 2005,75,
August 2005,58,
September 2005,64,
October 2005,56,
November 2005,43,
December 2005,58,
January 2006,59,
February 2006,67,
March 2006,68,
April 2006,64,
May 2006,62,
June 2006,66,
July 2006,54,
August 2006,56,
September 2006,60,
October 2006,53,
November 2006,37,
December 2006,64,
January 2007,62,
February 2007,61,
March 2007,61,
April 2007,66,
May 2007,64,
June 2007,59,
July 2007,68,
August 2007,60,
September 2007,54,
October 2007,52,
November 2007,43,
December 2007,54,
January 2008,56,
February 2008,58,
March 2008,67,
April 2008,60,
May 2008,66,
June 2008,77,
July 2008,56,
August 2008,60,
September 2008,53,
October 2008,51,
November 2008,44,
December 2008,55,
January 2009,61,
February 2009,62,
March 2009,71,
April 2009,68,
May 2009,67,
June 2009,65,
July 2009,68,
August 2009,67,
September 2009,67,
October 2009,63,
November 2009,58,
December 2009,70,
January 2010,71,
February 2010,80,
March 2010,80,
April 2010,80,
May 2010,75,
June 2010,67,
July 2010,68,
August 2010,65,
September 2010,62,
October 2010,58,
November 2010,51,
December 2010,48,
January 2011,55,
February 2011,66,
March 2011,67,
April 2011,69,
May 2011,63,
June 2011,69,
July 2011,64,
August 2011,58,
September 2011,57,
October 2011,55,
November 2011,41,
December 2011,56,
January 2012,56,
February 2012,61,
March 2012,64,
April 2012,65,
May 2012,59,
June 2012,63,
July 2012,60,
August 2012,58,
September 2012,56,
October 2012,51,
November 2012,39,
December 2012,54,
January 2013,56,
February 2013,60,
March 2013,68,
April 2013,69,
May 2013,60,
June 2013,65,
July 2013,58,
August 2013,58,
September 2013,59,
October 2013,51,
November 2013,39,
December 2013,54,
January 2014,56,
February 2014,65,
March 2014,69,
April 2014,69,
May 2014,68,
June 2014,69,
July 2014,61,
August 2014,68,
September 2014,60,
October 2014,55,
November 2014,43,
December 2014,55,
January 2015,56,
February 2015,67,
March 2015,71,
April 2015,72,
May 2015,68,
June 2015,69,
July 2015,65,
August 2015,67,
September 2015,59,
October 2015,60,
