Date,wholesale tobacco,clothing,home entertainment,home furnishings,pharmaceuticals,
December 2003,0,92,1,1,5,
January 2004,0,92,1,1,6,
February 2004,0,93,1,1,5,
March 2004,0,100,1,1,4,
April 2004,0,98,1,1,4,
May 2004,0,84,1,1,6,
June 2004,0,80,1,1,5,
July 2004,0,87,1,1,5,
August 2004,0,86,1,1,4,
September 2004,0,96,2,1,4,
October 2004,0,100,1,1,4,
November 2004,0,97,1,1,3,
December 2004,0,84,1,1,4,
January 2005,0,90,1,1,5,
February 2005,0,88,1,1,4,
March 2005,0,89,1,1,5,
April 2005,0,90,1,1,4,
May 2005,0,85,1,1,4,
June 2005,0,75,1,1,4,
July 2005,0,87,1,1,4,
August 2005,0,82,1,1,4,
September 2005,0,86,1,1,4,
October 2005,0,93,1,1,3,
November 2005,0,93,1,1,3,
December 2005,0,73,1,1,4,
January 2006,0,79,1,1,3,
February 2006,0,80,1,1,4,
March 2006,0,81,1,1,3,
April 2006,0,82,1,1,3,
May 2006,0,73,1,1,3,
June 2006,0,70,1,1,3,
July 2006,0,79,1,1,2,
August 2006,0,74,1,1,2,
September 2006,0,82,1,1,3,
October 2006,0,88,1,1,3,
November 2006,0,83,1,1,3,
December 2006,0,69,1,1,3,
January 2007,0,67,1,1,3,
February 2007,0,73,0,1,2,
March 2007,0,68,1,1,3,
April 2007,0,75,1,1,3,
May 2007,0,71,1,1,3,
June 2007,0,66,1,1,3,
July 2007,0,75,1,1,2,
August 2007,0,76,1,1,3,
September 2007,0,76,0,1,2,
October 2007,0,87,1,1,3,
November 2007,0,87,1,1,2,
December 2007,0,69,1,1,3,
January 2008,0,70,1,1,2,
February 2008,0,73,1,1,2,
March 2008,0,74,1,1,2,
April 2008,0,70,1,1,2,
May 2008,0,68,1,1,2,
June 2008,0,64,0,1,2,
July 2008,0,71,0,1,2,
August 2008,0,69,1,1,2,
September 2008,0,72,1,1,2,
October 2008,0,77,1,1,2,
November 2008,0,72,1,1,1,
December 2008,0,59,1,1,2,
January 2009,0,62,1,1,2,
February 2009,0,66,1,1,2,
March 2009,0,74,1,1,2,
April 2009,0,75,1,1,2,
May 2009,0,71,1,1,3,
June 2009,0,68,1,1,2,
July 2009,0,73,0,1,3,
August 2009,0,72,1,1,3,
September 2009,0,79,1,1,3,
October 2009,0,88,0,1,3,
November 2009,0,85,1,1,2,
December 2009,0,75,1,1,3,
January 2010,0,81,1,1,2,
February 2010,0,82,1,1,3,
March 2010,0,73,0,1,3,
April 2010,0,72,0,1,2,
May 2010,0,63,0,1,3,
June 2010,0,57,0,1,2,
July 2010,0,61,0,1,2,
August 2010,0,62,0,1,2,
September 2010,0,61,0,1,2,
October 2010,0,70,0,1,2,
November 2010,0,67,1,1,2,
December 2010,0,56,1,1,2,
January 2011,0,56,0,1,2,
February 2011,0,60,0,1,2,
March 2011,0,60,0,1,2,
April 2011,0,59,0,1,2,
May 2011,0,57,0,1,2,
June 2011,0,55,0,1,2,
July 2011,0,61,0,1,2,
August 2011,0,62,0,1,2,
September 2011,0,65,0,1,2,
October 2011,0,71,0,1,2,
November 2011,0,68,0,1,2,
December 2011,0,59,0,1,2,
January 2012,0,58,0,1,2,
February 2012,0,62,0,1,2,
March 2012,0,62,0,1,2,
April 2012,0,65,0,1,2,
May 2012,0,60,0,1,2,
June 2012,0,60,0,1,2,
July 2012,0,66,0,1,2,
August 2012,0,64,0,1,2,
September 2012,0,63,0,1,2,
October 2012,0,70,0,1,2,
November 2012,0,67,0,1,2,
December 2012,0,58,0,1,2,
January 2013,0,56,0,1,2,
February 2013,0,60,0,1,2,
March 2013,0,59,0,1,2,
April 2013,0,61,0,1,2,
May 2013,0,57,0,1,2,
June 2013,0,53,0,1,2,
July 2013,0,58,0,1,2,
August 2013,0,58,0,1,2,
September 2013,0,61,0,1,2,
October 2013,0,70,0,1,2,
November 2013,0,67,0,1,2,
December 2013,0,59,0,1,2,
January 2014,0,59,0,1,2,
February 2014,0,60,0,1,2,
March 2014,0,61,0,1,2,
April 2014,0,60,0,1,2,
May 2014,0,56,0,1,2,
June 2014,0,55,0,1,2,
July 2014,0,60,0,1,2,
August 2014,0,60,0,1,2,
September 2014,0,62,0,1,2,
October 2014,0,69,0,1,2,
November 2014,0,66,0,1,2,
December 2014,0,54,0,1,2,
January 2015,0,54,0,1,2,
February 2015,0,55,0,1,2,
March 2015,0,56,0,1,2,
April 2015,0,58,0,1,2,
May 2015,0,55,0,1,2,
June 2015,0,55,0,1,2,
July 2015,0,57,0,1,2,
August 2015,0,57,0,1,3,
September 2015,0,60,0,1,3,
October 2015,0,61,0,1,3,
