Date,cosmetics,wholesale vehicles,auto accessories,electrical supplies,plumbing supplies,
December 2003,82,0,0,0,0,
January 2004,85,0,0,0,0,
February 2004,95,0,0,0,0,
March 2004,72,0,0,0,6,
April 2004,84,0,0,0,6,
May 2004,65,0,7,0,6,
June 2004,86,0,6,0,6,
July 2004,64,0,6,0,6,
August 2004,78,0,5,0,0,
September 2004,89,0,5,0,0,
October 2004,100,0,5,0,0,
November 2004,80,0,5,0,0,
December 2004,75,0,4,0,0,
January 2005,80,0,4,0,0,
February 2005,75,0,4,0,3,
March 2005,74,0,5,0,4,
April 2005,71,0,6,0,4,
May 2005,66,0,4,0,4,
June 2005,84,0,4,0,4,
July 2005,65,0,4,0,4,
August 2005,67,0,3,0,4,
September 2005,68,0,5,0,5,
October 2005,95,0,3,0,3,
November 2005,73,0,3,0,3,
December 2005,61,0,3,0,4,
January 2006,71,0,3,0,4,
February 2006,74,0,3,2,5,
March 2006,74,0,4,0,4,
April 2006,59,0,6,0,2,
May 2006,64,0,3,0,3,
June 2006,58,0,4,0,3,
July 2006,66,0,4,0,2,
August 2006,67,0,4,0,4,
September 2006,70,0,2,0,4,
October 2006,70,0,3,2,4,
November 2006,73,0,4,0,3,
December 2006,63,0,2,0,3,
January 2007,70,0,3,0,4,
February 2007,73,0,3,0,3,
March 2007,67,0,3,0,3,
April 2007,66,0,4,0,4,
May 2007,58,0,4,0,3,
June 2007,64,0,3,0,3,
July 2007,63,0,3,2,4,
August 2007,59,0,4,2,5,
September 2007,61,0,3,2,4,
October 2007,71,0,3,1,4,
November 2007,63,0,2,1,3,
December 2007,64,0,2,1,4,
January 2008,62,0,3,1,3,
February 2008,67,0,2,1,3,
March 2008,68,0,4,1,2,
April 2008,64,0,3,1,5,
May 2008,67,0,4,2,4,
June 2008,55,0,4,1,3,
July 2008,56,0,2,2,4,
August 2008,58,0,3,2,3,
September 2008,60,0,2,1,4,
October 2008,64,0,3,1,3,
November 2008,57,0,2,1,2,
December 2008,56,0,2,1,3,
January 2009,61,0,1,1,2,
February 2009,64,0,2,1,3,
March 2009,75,0,4,1,3,
April 2009,74,0,3,1,3,
May 2009,71,0,3,1,3,
June 2009,68,0,3,2,4,
July 2009,68,0,3,2,4,
August 2009,63,0,3,2,5,
September 2009,69,0,2,2,4,
October 2009,79,0,4,2,4,
November 2009,79,0,3,2,4,
December 2009,78,0,3,2,5,
January 2010,79,0,4,2,5,
February 2010,79,0,4,2,5,
March 2010,77,0,4,2,6,
April 2010,73,0,3,2,4,
May 2010,66,0,4,1,5,
June 2010,63,0,3,2,5,
July 2010,68,0,4,2,4,
August 2010,58,0,3,1,3,
September 2010,65,0,2,2,3,
October 2010,71,0,3,2,4,
November 2010,71,0,3,1,4,
December 2010,65,0,2,2,4,
January 2011,67,0,3,1,4,
February 2011,67,0,3,2,4,
March 2011,62,0,3,1,4,
April 2011,68,0,2,2,5,
May 2011,62,0,3,2,4,
June 2011,66,0,3,2,4,
July 2011,64,0,3,2,4,
August 2011,61,0,2,2,4,
September 2011,64,0,3,2,4,
October 2011,75,0,2,1,4,
November 2011,76,0,3,1,4,
December 2011,62,0,2,2,4,
January 2012,65,0,2,1,3,
February 2012,59,0,3,1,4,
March 2012,64,0,3,1,3,
April 2012,70,0,3,1,4,
May 2012,65,0,3,1,4,
June 2012,62,0,3,1,4,
July 2012,65,0,2,1,4,
August 2012,65,0,3,1,4,
September 2012,64,0,3,1,3,
October 2012,74,0,2,1,4,
November 2012,70,0,3,1,3,
December 2012,65,0,2,1,3,
January 2013,66,0,2,1,3,
February 2013,67,0,3,1,4,
March 2013,65,0,3,1,4,
April 2013,63,0,3,1,5,
May 2013,58,0,3,1,5,
June 2013,60,0,3,1,6,
July 2013,60,0,3,1,5,
August 2013,62,0,2,1,5,
September 2013,65,0,2,2,5,
October 2013,76,0,2,1,5,
November 2013,88,0,3,1,4,
December 2013,73,0,2,1,5,
January 2014,69,0,2,1,5,
February 2014,70,0,3,1,5,
March 2014,73,0,3,1,4,
April 2014,70,0,3,1,5,
May 2014,64,0,3,1,6,
June 2014,65,0,3,2,5,
July 2014,68,0,3,1,5,
August 2014,67,0,2,1,4,
September 2014,75,0,3,1,5,
October 2014,91,0,3,2,5,
November 2014,86,0,3,1,3,
December 2014,80,0,2,1,5,
January 2015,78,0,3,1,5,
February 2015,74,0,2,1,5,
March 2015,70,0,3,1,5,
April 2015,69,0,3,1,5,
May 2015,68,0,3,1,5,
June 2015,71,0,3,1,6,
July 2015,74,0,3,1,5,
August 2015,72,0,2,2,5,
September 2015,73,0,2,1,5,
October 2015,92,0,2,1,5,
