Date,heating supplies,construction equipment,lawn garden equipment,wholesale software,wholesale communications equipment,
December 2003,0,87,0,0,0,
January 2004,0,83,0,0,0,
February 2004,0,88,0,0,0,
March 2004,0,92,0,0,0,
April 2004,0,90,0,0,0,
May 2004,0,90,0,0,0,
June 2004,0,90,0,0,0,
July 2004,0,100,0,0,0,
August 2004,0,60,0,0,0,
September 2004,0,66,0,0,0,
October 2004,0,71,0,0,0,
November 2004,0,80,0,0,0,
December 2004,0,88,0,0,0,
January 2005,0,62,0,0,0,
February 2005,0,62,0,0,0,
March 2005,0,68,0,0,0,
April 2005,0,60,0,0,0,
May 2005,0,55,0,0,0,
June 2005,0,57,0,0,0,
July 2005,0,59,0,0,0,
August 2005,0,46,0,0,0,
September 2005,0,61,0,0,0,
October 2005,0,56,0,0,0,
November 2005,0,56,0,0,0,
December 2005,0,56,0,0,0,
January 2006,0,55,0,0,0,
February 2006,0,63,0,0,0,
March 2006,0,51,0,0,0,
April 2006,0,61,0,0,0,
May 2006,0,48,0,0,0,
June 2006,0,55,0,0,0,
July 2006,0,62,0,0,0,
August 2006,0,45,0,0,0,
September 2006,0,69,0,0,0,
October 2006,0,65,0,0,0,
November 2006,0,29,0,0,0,
December 2006,0,46,0,0,0,
January 2007,0,54,0,0,0,
February 2007,0,59,0,0,0,
March 2007,0,53,0,0,0,
April 2007,0,46,0,0,0,
May 2007,0,53,0,0,0,
June 2007,0,64,0,0,0,
July 2007,0,54,0,0,0,
August 2007,0,54,0,0,0,
September 2007,0,48,0,0,0,
October 2007,0,65,0,0,0,
November 2007,0,58,0,0,0,
December 2007,0,61,0,0,0,
January 2008,0,67,0,0,0,
February 2008,0,56,0,0,0,
March 2008,0,55,0,0,0,
April 2008,0,43,0,0,0,
May 2008,0,53,0,0,0,
June 2008,0,69,0,0,0,
July 2008,0,51,0,0,0,
August 2008,0,54,0,0,0,
September 2008,0,62,0,0,0,
October 2008,0,40,0,0,0,
November 2008,0,49,0,0,0,
December 2008,0,43,0,0,0,
January 2009,0,47,0,0,0,
February 2009,0,38,0,0,0,
March 2009,0,72,0,0,0,
April 2009,0,42,0,0,0,
May 2009,0,62,0,0,0,
June 2009,0,44,0,0,0,
July 2009,0,46,0,0,0,
August 2009,0,41,0,0,0,
September 2009,0,57,0,0,0,
October 2009,0,51,0,12,0,
November 2009,13,47,0,0,0,
December 2009,12,51,0,0,0,
January 2010,0,54,0,0,0,
February 2010,0,64,0,0,0,
March 2010,0,51,0,0,0,
April 2010,0,44,0,0,0,
May 2010,0,54,0,0,0,
June 2010,0,39,0,0,0,
July 2010,0,41,0,0,0,
August 2010,0,48,0,0,0,
September 2010,11,42,0,0,0,
October 2010,8,49,0,0,0,
November 2010,8,42,0,0,0,
December 2010,8,41,0,0,0,
January 2011,8,42,0,0,0,
February 2011,8,41,0,0,0,
March 2011,8,42,0,0,0,
April 2011,8,44,0,0,0,
May 2011,8,42,0,0,0,
June 2011,8,36,0,0,0,
July 2011,9,39,0,0,0,
August 2011,9,38,0,0,0,
September 2011,8,40,0,0,0,
October 2011,8,38,0,0,0,
November 2011,9,29,0,0,0,
December 2011,11,35,0,0,0,
January 2012,9,42,0,0,0,
February 2012,9,46,0,0,0,
March 2012,9,40,0,0,0,
April 2012,9,49,7,0,0,
May 2012,9,48,0,0,0,
June 2012,8,43,0,0,0,
July 2012,9,45,0,0,0,
August 2012,9,48,0,0,0,
September 2012,12,48,0,0,0,
October 2012,10,42,0,0,0,
November 2012,10,33,0,0,0,
December 2012,10,45,0,0,0,
January 2013,6,42,0,0,0,
February 2013,6,49,0,0,0,
March 2013,8,36,0,0,0,
April 2013,9,38,9,0,0,
May 2013,6,40,0,0,0,
June 2013,7,38,0,0,0,
July 2013,9,36,0,0,0,
August 2013,8,35,0,0,0,
September 2013,12,43,0,0,0,
October 2013,14,44,0,0,0,
November 2013,9,30,0,0,0,
December 2013,8,42,0,0,0,
January 2014,9,44,0,0,0,
February 2014,7,44,0,0,0,
March 2014,6,50,7,0,0,
April 2014,10,44,7,0,0,
May 2014,6,45,7,0,0,
June 2014,6,41,6,0,0,
July 2014,6,46,6,0,0,
August 2014,11,47,6,0,0,
September 2014,13,43,6,0,0,
October 2014,9,44,0,0,0,
November 2014,11,32,0,0,0,
December 2014,9,44,0,0,0,
January 2015,10,42,0,0,0,
February 2015,11,49,0,0,0,
March 2015,7,39,0,0,0,
April 2015,8,46,6,0,0,
May 2015,7,37,0,0,0,
June 2015,6,36,0,0,0,
July 2015,6,39,0,0,0,
August 2015,9,44,0,0,0,
September 2015,7,35,0,0,0,
October 2015,12,40,0,0,0,
