Date,recyclable material,wholesale paper products,wholesale chemicals,precious metals,wholesale brokers,
December 2003,0,0,0,100,0,
January 2004,0,0,0,61,0,
February 2004,0,0,0,61,0,
March 2004,0,0,0,61,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,0,0,0,0,0,
March 2005,0,0,0,0,0,
April 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
June 2005,0,0,0,0,0,
July 2005,0,0,0,0,0,
August 2005,0,0,0,0,0,
September 2005,0,0,0,29,0,
October 2005,0,0,0,45,0,
November 2005,0,0,0,48,0,
December 2005,0,0,0,50,0,
January 2006,0,0,0,41,0,
February 2006,0,0,0,45,0,
March 2006,0,0,0,65,0,
April 2006,0,0,0,57,0,
May 2006,0,0,0,51,0,
June 2006,0,0,0,25,0,
July 2006,0,0,0,25,0,
August 2006,0,0,0,30,0,
September 2006,0,0,0,42,0,
October 2006,0,0,0,35,0,
November 2006,0,0,0,51,0,
December 2006,0,0,0,32,0,
January 2007,0,0,0,45,0,
February 2007,0,0,0,41,0,
March 2007,0,0,0,45,0,
April 2007,0,0,0,28,0,
May 2007,0,0,0,25,0,
June 2007,0,0,0,25,0,
July 2007,0,0,0,22,0,
August 2007,0,0,0,40,0,
September 2007,0,0,0,33,0,
October 2007,0,0,0,53,0,
November 2007,0,0,0,48,0,
December 2007,0,0,0,67,0,
January 2008,0,0,0,40,0,
February 2008,0,0,0,59,0,
March 2008,0,0,0,30,0,
April 2008,0,0,0,40,0,
May 2008,0,0,0,37,0,
June 2008,0,0,0,41,0,
July 2008,0,0,0,36,0,
August 2008,0,0,0,40,0,
September 2008,0,0,0,55,0,
October 2008,0,0,0,30,0,
November 2008,0,0,0,41,0,
December 2008,0,0,0,29,0,
January 2009,0,0,0,55,0,
February 2009,0,0,0,47,0,
March 2009,0,0,0,32,0,
April 2009,0,0,0,33,0,
May 2009,0,0,0,45,0,
June 2009,0,0,0,29,0,
July 2009,0,0,0,27,0,
August 2009,0,0,0,50,0,
September 2009,0,0,0,51,0,
October 2009,0,0,0,38,0,
November 2009,0,0,0,33,0,
December 2009,0,0,0,43,0,
January 2010,0,0,0,36,0,
February 2010,0,0,0,44,0,
March 2010,0,0,0,35,0,
April 2010,0,0,0,41,0,
May 2010,0,0,0,36,0,
June 2010,0,0,0,19,0,
July 2010,0,0,0,44,0,
August 2010,0,0,0,51,0,
September 2010,0,0,0,64,0,
October 2010,0,0,0,66,0,
November 2010,0,0,0,66,0,
December 2010,0,0,0,63,14,
January 2011,0,0,0,76,0,
February 2011,0,0,0,63,0,
March 2011,0,0,0,60,0,
April 2011,0,0,0,46,0,
May 2011,0,0,0,37,0,
June 2011,0,0,0,66,7,
July 2011,0,0,0,82,7,
August 2011,0,0,0,55,7,
September 2011,0,0,0,44,7,
October 2011,0,0,0,49,6,
November 2011,0,0,0,42,7,
December 2011,0,0,0,47,10,
January 2012,0,0,0,54,8,
February 2012,0,0,0,45,12,
March 2012,0,0,0,36,8,
April 2012,0,0,0,33,8,
May 2012,0,0,0,40,7,
June 2012,0,0,0,35,6,
July 2012,0,0,0,41,7,
August 2012,0,0,0,40,6,
September 2012,0,0,0,34,6,
October 2012,0,0,0,36,8,
November 2012,0,0,0,35,8,
December 2012,0,0,0,41,7,
January 2013,0,0,0,44,8,
February 2013,0,0,0,42,7,
March 2013,0,0,0,51,5,
April 2013,0,0,0,36,5,
May 2013,0,0,0,35,6,
June 2013,0,0,0,37,6,
July 2013,0,0,0,43,5,
August 2013,0,0,0,39,5,
September 2013,0,0,0,41,7,
October 2013,0,0,0,33,6,
November 2013,0,0,0,42,6,
December 2013,0,0,0,47,7,
January 2014,0,0,0,52,7,
February 2014,0,0,0,38,9,
March 2014,0,0,0,34,7,
April 2014,0,0,0,36,8,
May 2014,0,0,0,34,5,
June 2014,0,0,0,42,5,
July 2014,0,0,0,36,6,
August 2014,0,0,0,30,6,
September 2014,0,0,0,34,7,
October 2014,0,0,0,37,8,
November 2014,0,0,0,35,6,
December 2014,0,0,0,47,5,
January 2015,0,0,0,36,7,
February 2015,0,0,0,30,5,
March 2015,0,0,0,37,5,
April 2015,0,0,0,30,4,
May 2015,0,0,0,32,4,
June 2015,0,0,0,30,5,
July 2015,0,0,0,22,10,
August 2015,0,0,0,34,7,
September 2015,0,0,0,26,6,
October 2015,0,0,0,31,0,
