Date,e-commerce,
December 2003,82,
January 2004,66,
February 2004,98,
March 2004,85,
April 2004,82,
May 2004,62,
June 2004,52,
July 2004,55,
August 2004,67,
September 2004,67,
October 2004,100,
November 2004,55,
December 2004,63,
January 2005,44,
February 2005,60,
March 2005,43,
April 2005,64,
May 2005,40,
June 2005,42,
July 2005,33,
August 2005,36,
September 2005,44,
October 2005,55,
November 2005,44,
December 2005,42,
January 2006,36,
February 2006,47,
March 2006,35,
April 2006,38,
May 2006,25,
June 2006,27,
July 2006,32,
August 2006,42,
September 2006,47,
October 2006,48,
November 2006,27,
December 2006,33,
January 2007,36,
February 2007,29,
March 2007,24,
April 2007,27,
May 2007,27,
June 2007,23,
July 2007,20,
August 2007,17,
September 2007,21,
October 2007,37,
November 2007,21,
December 2007,28,
January 2008,28,
February 2008,30,
March 2008,25,
April 2008,26,
May 2008,25,
June 2008,22,
July 2008,17,
August 2008,23,
September 2008,27,
October 2008,32,
November 2008,20,
December 2008,21,
January 2009,24,
February 2009,22,
March 2009,21,
April 2009,23,
May 2009,22,
June 2009,16,
July 2009,15,
August 2009,18,
September 2009,21,
October 2009,21,
November 2009,19,
December 2009,21,
January 2010,21,
February 2010,21,
March 2010,16,
April 2010,19,
May 2010,14,
June 2010,14,
July 2010,14,
August 2010,13,
September 2010,21,
October 2010,19,
November 2010,17,
December 2010,16,
January 2011,14,
February 2011,16,
March 2011,15,
April 2011,17,
May 2011,12,
June 2011,13,
July 2011,13,
August 2011,14,
September 2011,18,
October 2011,18,
November 2011,13,
December 2011,16,
January 2012,9,
February 2012,14,
March 2012,16,
April 2012,15,
May 2012,12,
June 2012,11,
July 2012,12,
August 2012,12,
September 2012,14,
October 2012,19,
November 2012,10,
December 2012,12,
January 2013,13,
February 2013,13,
March 2013,13,
April 2013,12,
May 2013,11,
June 2013,10,
July 2013,10,
August 2013,13,
September 2013,16,
October 2013,15,
November 2013,12,
December 2013,13,
January 2014,12,
February 2014,13,
March 2014,13,
April 2014,15,
May 2014,11,
June 2014,9,
July 2014,10,
August 2014,13,
September 2014,13,
October 2014,15,
November 2014,10,
December 2014,12,
January 2015,14,
February 2015,13,
March 2015,12,
April 2015,12,
May 2015,12,
June 2015,10,
July 2015,9,
August 2015,12,
September 2015,10,
October 2015,12,
