Date,automotive parts,car dealers,spare parts,home funiture,home appliances,
December 2003,28,67,0,0,0,
January 2004,19,73,18,0,21,
February 2004,29,88,18,0,24,
March 2004,29,85,19,0,24,
April 2004,41,100,19,0,24,
May 2004,23,56,17,0,32,
June 2004,30,85,17,0,30,
July 2004,28,93,16,0,30,
August 2004,13,65,16,0,21,
September 2004,23,79,15,0,18,
October 2004,25,71,14,0,19,
November 2004,22,55,12,0,19,
December 2004,19,62,10,0,13,
January 2005,20,78,10,0,12,
February 2005,22,87,10,0,14,
March 2005,19,75,13,0,18,
April 2005,23,63,15,0,13,
May 2005,22,68,15,0,18,
June 2005,19,83,15,0,16,
July 2005,18,91,14,0,19,
August 2005,13,68,13,0,13,
September 2005,14,62,14,0,16,
October 2005,14,55,9,0,18,
November 2005,12,37,9,0,16,
December 2005,16,52,12,0,18,
January 2006,16,59,9,0,15,
February 2006,18,79,10,0,14,
March 2006,17,69,15,0,14,
April 2006,16,75,12,0,14,
May 2006,13,60,8,0,15,
June 2006,18,79,12,0,17,
July 2006,13,78,10,0,20,
August 2006,18,61,11,0,17,
September 2006,14,56,10,0,16,
October 2006,14,57,14,0,19,
November 2006,9,40,11,0,15,
December 2006,14,63,14,0,12,
January 2007,11,59,11,0,13,
February 2007,15,61,9,0,17,
March 2007,12,68,10,0,16,
April 2007,12,70,12,0,14,
May 2007,11,66,15,0,13,
June 2007,15,75,12,0,21,
July 2007,12,73,11,0,19,
August 2007,13,83,11,0,20,
September 2007,13,85,11,0,13,
October 2007,13,70,12,0,18,
November 2007,8,50,15,0,21,
December 2007,11,63,13,0,17,
January 2008,14,64,11,0,12,
February 2008,11,72,8,0,14,
March 2008,13,68,11,0,19,
April 2008,13,64,13,0,16,
May 2008,11,66,9,0,19,
June 2008,12,71,13,0,18,
July 2008,16,61,12,0,16,
August 2008,12,57,22,0,19,
September 2008,10,40,13,0,13,
October 2008,8,40,13,0,16,
November 2008,10,38,16,0,16,
December 2008,10,52,10,0,17,
January 2009,9,48,11,0,13,
February 2009,8,57,14,0,15,
March 2009,10,56,15,0,18,
April 2009,14,64,14,0,20,
May 2009,11,61,13,0,19,
June 2009,13,66,14,0,23,
July 2009,13,70,15,0,18,
August 2009,13,56,11,0,18,
September 2009,13,48,11,0,19,
October 2009,12,46,13,0,19,
November 2009,10,40,13,0,21,
December 2009,11,51,11,0,25,
January 2010,12,51,11,0,17,
February 2010,12,59,10,0,17,
March 2010,12,58,13,0,20,
April 2010,10,60,11,0,20,
May 2010,14,58,10,0,20,
June 2010,11,57,13,0,21,
July 2010,12,56,15,0,16,
August 2010,10,52,11,0,17,
September 2010,9,42,10,0,16,
October 2010,11,39,11,0,20,
November 2010,10,37,19,0,17,
December 2010,9,40,12,0,18,
January 2011,9,41,11,0,16,
February 2011,11,48,9,0,21,
March 2011,13,57,11,0,17,
April 2011,11,48,11,0,18,
May 2011,10,46,13,0,20,
June 2011,14,54,15,0,22,
July 2011,14,52,12,0,18,
August 2011,11,48,11,0,21,
September 2011,11,40,11,0,15,
October 2011,10,36,10,0,18,
November 2011,8,32,16,0,18,
December 2011,11,36,12,0,15,
January 2012,7,40,12,0,12,
February 2012,9,40,13,0,16,
March 2012,9,41,12,0,17,
April 2012,11,41,15,0,19,
May 2012,10,38,12,0,17,
June 2012,11,43,14,0,20,
July 2012,11,42,14,0,17,
August 2012,11,39,13,0,17,
September 2012,9,33,12,0,16,
October 2012,10,28,13,0,16,
November 2012,9,23,19,0,19,
December 2012,8,32,12,0,18,
January 2013,7,31,11,0,16,
February 2013,9,37,11,0,14,
March 2013,10,42,13,0,18,
April 2013,12,39,14,0,14,
May 2013,10,36,12,0,17,
June 2013,10,39,14,0,20,
July 2013,10,38,14,0,20,
August 2013,9,37,13,0,19,
September 2013,10,30,13,0,17,
October 2013,9,28,15,0,17,
November 2013,7,28,16,0,23,
December 2013,9,30,13,0,20,
January 2014,8,32,14,0,18,
February 2014,11,37,14,0,19,
March 2014,11,37,15,0,19,
April 2014,10,33,14,0,18,
May 2014,11,33,14,0,19,
June 2014,11,38,14,0,21,
July 2014,11,39,16,0,24,
August 2014,11,35,16,0,21,
September 2014,9,32,13,0,20,
October 2014,10,29,14,0,23,
November 2014,8,26,23,0,21,
December 2014,9,28,15,0,21,
January 2015,8,31,15,0,17,
February 2015,9,32,15,0,17,
March 2015,10,35,14,0,17,
April 2015,9,37,27,0,18,
May 2015,11,33,20,0,19,
June 2015,13,35,20,0,25,
July 2015,9,35,18,0,21,
August 2015,9,30,17,0,19,
September 2015,8,31,14,0,18,
October 2015,11,30,14,0,20,
