Date,house gadgets,garden supplies,
December 2003,0,0,
January 2004,0,0,
February 2004,0,0,
March 2004,0,0,
April 2004,0,0,
May 2004,0,0,
June 2004,0,0,
July 2004,0,0,
August 2004,0,0,
September 2004,0,0,
October 2004,0,0,
November 2004,0,0,
December 2004,0,0,
January 2005,0,0,
February 2005,0,0,
March 2005,0,0,
April 2005,0,100,
May 2005,0,66,
June 2005,0,66,
July 2005,0,66,
August 2005,0,0,
September 2005,0,0,
October 2005,0,0,
November 2005,0,0,
December 2005,0,0,
January 2006,0,0,
February 2006,0,36,
March 2006,0,67,
April 2006,0,83,
May 2006,0,44,
June 2006,0,0,
July 2006,0,0,
August 2006,0,0,
September 2006,0,0,
October 2006,0,0,
November 2006,0,0,
December 2006,0,0,
January 2007,0,0,
February 2007,0,25,
March 2007,0,35,
April 2007,0,55,
May 2007,0,32,
June 2007,0,33,
July 2007,0,30,
August 2007,0,23,
September 2007,0,23,
October 2007,0,23,
November 2007,0,23,
December 2007,0,23,
January 2008,0,20,
February 2008,0,18,
March 2008,0,44,
April 2008,0,49,
May 2008,0,49,
June 2008,0,29,
July 2008,0,25,
August 2008,0,19,
September 2008,0,19,
October 2008,0,19,
November 2008,0,19,
December 2008,0,19,
January 2009,0,21,
February 2009,0,24,
March 2009,0,50,
April 2009,0,61,
May 2009,0,42,
June 2009,0,43,
July 2009,0,26,
August 2009,0,17,
September 2009,0,17,
October 2009,0,23,
November 2009,0,16,
December 2009,0,16,
January 2010,0,14,
February 2010,0,39,
March 2010,0,51,
April 2010,0,65,
May 2010,0,55,
June 2010,0,30,
July 2010,0,25,
August 2010,0,19,
September 2010,0,17,
October 2010,0,17,
November 2010,0,17,
December 2010,0,17,
January 2011,0,18,
February 2011,0,25,
March 2011,0,32,
April 2011,0,57,
May 2011,0,37,
June 2011,0,30,
July 2011,0,22,
August 2011,0,20,
September 2011,0,20,
October 2011,0,12,
November 2011,0,11,
December 2011,0,12,
January 2012,0,14,
February 2012,0,24,
March 2012,0,33,
April 2012,0,47,
May 2012,0,39,
June 2012,0,29,
July 2012,0,23,
August 2012,0,20,
September 2012,0,10,
October 2012,0,11,
November 2012,0,13,
December 2012,0,9,
January 2013,0,13,
February 2013,0,20,
March 2013,0,40,
April 2013,0,53,
May 2013,0,36,
June 2013,0,26,
July 2013,0,17,
August 2013,0,23,
September 2013,0,13,
October 2013,0,7,
November 2013,0,10,
December 2013,0,12,
January 2014,0,15,
February 2014,0,24,
March 2014,0,38,
April 2014,0,60,
May 2014,0,52,
June 2014,0,26,
July 2014,0,20,
August 2014,0,15,
September 2014,0,15,
October 2014,0,15,
November 2014,0,11,
December 2014,0,9,
January 2015,0,15,
February 2015,0,28,
March 2015,0,41,
April 2015,0,57,
May 2015,0,36,
June 2015,0,29,
July 2015,0,22,
August 2015,0,18,
September 2015,0,16,
October 2015,0,14,
