Date,bankruptcy,interest rates,stocks,investment bankers,car insurance,
December 2003,28,18,71,0,42,
January 2004,26,17,64,0,42,
February 2004,27,16,64,0,47,
March 2004,26,19,58,0,53,
April 2004,27,17,46,0,63,
May 2004,24,18,39,0,53,
June 2004,23,19,39,0,50,
July 2004,23,14,45,0,58,
August 2004,27,16,46,0,46,
September 2004,21,14,54,0,45,
October 2004,27,16,61,0,37,
November 2004,22,11,50,0,30,
December 2004,26,13,52,0,35,
January 2005,29,16,56,0,39,
February 2005,34,15,52,0,45,
March 2005,23,17,47,0,43,
April 2005,22,12,37,0,44,
May 2005,23,14,46,0,41,
June 2005,22,13,45,0,45,
July 2005,28,16,50,0,46,
August 2005,26,20,56,0,38,
September 2005,23,16,49,0,32,
October 2005,20,16,52,0,30,
November 2005,19,14,49,0,34,
December 2005,24,17,62,0,34,
January 2006,20,14,61,0,32,
February 2006,20,16,71,0,37,
March 2006,21,18,57,0,38,
April 2006,20,16,51,0,46,
May 2006,16,17,42,0,37,
June 2006,18,16,36,0,40,
July 2006,17,12,40,0,48,
August 2006,17,12,40,0,38,
September 2006,19,14,50,0,33,
October 2006,18,12,50,0,31,
November 2006,15,10,48,0,28,
December 2006,19,13,54,0,32,
January 2007,18,12,53,0,34,
February 2007,19,13,47,0,34,
March 2007,20,13,47,0,35,
April 2007,17,15,49,0,41,
May 2007,16,22,45,0,40,
June 2007,19,17,48,0,37,
July 2007,18,16,44,0,37,
August 2007,15,15,45,0,34,
September 2007,18,15,57,0,33,
October 2007,19,16,57,0,28,
November 2007,15,12,44,0,25,
December 2007,20,22,67,0,31,
January 2008,22,16,55,0,31,
February 2008,18,24,52,0,31,
March 2008,23,20,54,0,32,
April 2008,19,17,54,0,32,
May 2008,21,17,46,0,34,
June 2008,23,17,46,0,32,
July 2008,18,13,41,0,36,
August 2008,27,18,61,0,31,
September 2008,26,27,100,0,26,
October 2008,30,18,68,0,26,
November 2008,27,22,57,0,24,
December 2008,37,21,58,0,31,
January 2009,36,19,58,0,30,
February 2009,35,22,69,0,29,
March 2009,45,20,59,0,33,
April 2009,43,15,59,0,36,
May 2009,46,21,54,0,36,
June 2009,37,15,45,0,34,
July 2009,34,13,52,0,39,
August 2009,35,14,50,0,32,
September 2009,34,19,53,0,28,
October 2009,36,15,53,0,29,
November 2009,29,14,46,0,26,
December 2009,39,18,55,0,32,
January 2010,37,19,51,0,33,
February 2010,40,25,51,0,37,
March 2010,38,23,49,0,37,
April 2010,33,17,47,0,37,
May 2010,36,18,38,0,38,
June 2010,30,17,37,0,39,
July 2010,31,14,38,0,39,
August 2010,30,16,43,0,34,
September 2010,30,17,54,0,31,
October 2010,31,17,54,0,30,
November 2010,26,15,49,0,27,
December 2010,24,15,59,0,30,
January 2011,24,17,60,0,30,
February 2011,25,15,57,0,34,
March 2011,24,16,50,0,38,
April 2011,23,12,44,0,37,
May 2011,24,13,40,0,35,
June 2011,25,13,41,0,39,
July 2011,22,14,59,0,41,
August 2011,25,12,46,0,36,
September 2011,23,13,52,0,33,
October 2011,26,13,45,1,30,
November 2011,20,11,42,0,24,
December 2011,27,15,49,0,29,
January 2012,25,14,53,0,30,
February 2012,24,15,45,0,30,
March 2012,22,14,44,0,35,
April 2012,23,12,45,0,38,
May 2012,23,13,37,0,37,
June 2012,23,13,36,0,39,
July 2012,20,12,37,0,40,
August 2012,20,12,43,0,33,
September 2012,21,12,42,0,32,
October 2012,21,12,44,0,30,
November 2012,16,10,41,0,26,
December 2012,21,13,53,0,30,
January 2013,20,14,53,0,29,
February 2013,19,15,45,0,34,
March 2013,16,14,44,0,35,
April 2013,12,14,41,0,35,
May 2013,14,16,37,0,36,
June 2013,25,15,37,0,38,
July 2013,14,15,36,0,37,
August 2013,14,14,51,0,34,
September 2013,14,14,54,0,31,
October 2013,12,12,50,0,29,
November 2013,11,11,44,0,26,
December 2013,15,16,59,0,32,
January 2014,15,14,55,0,31,
February 2014,17,15,55,0,35,
March 2014,14,13,52,0,39,
April 2014,15,13,43,0,39,
May 2014,14,13,41,0,39,
June 2014,15,12,42,0,40,
July 2014,14,13,40,0,40,
August 2014,17,13,48,0,38,
September 2014,14,13,52,0,33,
October 2014,16,14,51,0,30,
November 2014,15,13,59,0,28,
December 2014,19,28,60,0,30,
January 2015,18,19,60,0,32,
February 2015,17,19,53,0,36,
March 2015,16,17,51,0,39,
April 2015,14,14,46,0,38,
May 2015,17,15,42,0,39,
June 2015,22,23,47,0,41,
July 2015,17,15,53,0,39,
August 2015,15,18,46,0,38,
September 2015,15,16,52,0,35,
October 2015,16,19,59,0,34,
