Date,house insurance,health insurance,life insurance,health plans,consolidating,
December 2003,0,46,87,8,0,
January 2004,0,46,100,10,0,
February 2004,0,47,84,8,0,
March 2004,0,47,91,8,0,
April 2004,7,57,79,8,0,
May 2004,11,54,71,7,0,
June 2004,11,70,76,8,0,
July 2004,11,61,81,8,0,
August 2004,6,49,70,6,0,
September 2004,9,48,72,9,0,
October 2004,6,44,81,6,0,
November 2004,6,42,55,6,0,
December 2004,9,39,73,6,0,
January 2005,8,41,86,7,0,
February 2005,8,45,79,8,0,
March 2005,6,35,69,6,0,
April 2005,7,40,67,5,0,
May 2005,7,48,61,5,0,
June 2005,9,51,65,5,0,
July 2005,10,47,77,5,0,
August 2005,7,53,69,10,0,
September 2005,9,43,63,7,0,
October 2005,9,39,74,6,0,
November 2005,4,33,52,5,0,
December 2005,5,41,66,7,0,
January 2006,6,39,77,9,0,
February 2006,7,37,67,4,0,
March 2006,6,42,63,6,0,
April 2006,9,38,66,5,0,
May 2006,7,41,68,4,0,
June 2006,8,43,63,4,0,
July 2006,8,50,66,4,0,
August 2006,7,42,64,6,0,
September 2006,6,44,69,6,2,
October 2006,6,38,59,5,0,
November 2006,6,40,48,4,0,
December 2006,6,46,63,6,0,
January 2007,7,39,62,7,0,
February 2007,6,35,67,5,0,
March 2007,6,33,60,3,0,
April 2007,5,38,63,3,0,
May 2007,6,44,57,4,0,
June 2007,9,44,59,4,0,
July 2007,7,46,66,2,0,
August 2007,6,45,53,6,0,
September 2007,7,43,60,5,0,
October 2007,4,39,56,5,0,
November 2007,4,32,49,3,0,
December 2007,5,47,68,4,0,
January 2008,5,38,68,4,0,
February 2008,7,35,65,5,2,
March 2008,6,38,62,6,0,
April 2008,8,35,61,4,0,
May 2008,8,37,58,4,0,
June 2008,6,38,57,3,0,
July 2008,8,41,59,5,0,
August 2008,5,44,58,5,2,
September 2008,6,37,60,7,1,
October 2008,5,37,54,4,2,
November 2008,4,29,47,3,2,
December 2008,6,39,55,5,2,
January 2009,7,37,58,6,2,
February 2009,7,37,63,3,2,
March 2009,7,41,65,5,1,
April 2009,8,39,64,4,1,
May 2009,7,42,62,5,1,
June 2009,9,47,73,4,1,
July 2009,9,50,70,4,1,
August 2009,6,57,74,6,2,
September 2009,6,49,74,6,1,
October 2009,7,55,79,6,2,
November 2009,6,40,58,5,2,
December 2009,7,51,74,6,2,
January 2010,7,50,75,7,1,
February 2010,8,59,78,7,1,
March 2010,9,50,71,5,1,
April 2010,8,45,66,4,1,
May 2010,7,48,65,5,2,
June 2010,8,47,58,3,1,
July 2010,9,50,62,5,1,
August 2010,8,47,63,5,1,
September 2010,7,46,61,6,1,
October 2010,7,45,64,6,1,
November 2010,5,38,54,3,1,
December 2010,8,33,56,5,1,
January 2011,7,31,61,5,1,
February 2011,9,30,63,4,1,
March 2011,8,30,50,3,1,
April 2011,10,31,53,3,1,
May 2011,7,32,52,4,1,
June 2011,7,33,54,2,1,
July 2011,10,36,55,3,1,
August 2011,8,36,52,4,1,
September 2011,7,31,50,4,1,
October 2011,8,30,55,3,1,
November 2011,5,31,43,3,1,
December 2011,7,36,56,4,1,
January 2012,8,32,60,4,1,
February 2012,9,35,56,3,1,
March 2012,8,34,51,4,1,
April 2012,10,30,55,3,1,
May 2012,10,31,54,2,1,
June 2012,10,37,57,3,1,
July 2012,8,38,54,3,1,
August 2012,8,38,54,5,1,
September 2012,9,33,54,3,1,
October 2012,8,32,52,3,1,
November 2012,6,26,44,2,1,
December 2012,8,34,58,4,1,
January 2013,8,31,54,3,1,
February 2013,9,31,56,3,1,
March 2013,10,31,56,3,1,
April 2013,10,31,48,3,1,
May 2013,10,29,48,3,1,
June 2013,10,31,50,3,1,
July 2013,9,35,47,2,1,
August 2013,8,38,52,3,1,
September 2013,8,36,55,3,1,
October 2013,8,30,53,3,1,
November 2013,7,27,42,3,1,
December 2013,10,37,62,4,1,
January 2014,8,32,60,4,1,
February 2014,9,36,60,4,1,
March 2014,10,34,58,4,1,
April 2014,10,33,54,3,1,
May 2014,10,30,54,3,1,
June 2014,11,35,55,3,1,
July 2014,10,37,54,2,1,
August 2014,9,37,53,4,1,
September 2014,8,36,56,4,1,
October 2014,9,33,55,3,1,
November 2014,7,30,49,2,1,
December 2014,7,35,60,3,1,
January 2015,10,34,60,3,1,
February 2015,9,34,62,4,1,
March 2015,11,34,59,4,2,
April 2015,10,33,52,3,1,
May 2015,12,32,59,3,1,
June 2015,11,33,56,3,1,
July 2015,11,37,54,3,1,
August 2015,9,42,60,4,1,
September 2015,8,33,55,4,2,
October 2015,11,34,62,4,1,
