Date,credit card debt,debt,equity,cheap insurance,collision protection,
December 2003,0,40,37,0,0,
January 2004,0,40,38,0,0,
February 2004,0,39,37,0,0,
March 2004,0,38,31,3,0,
April 2004,0,29,33,4,0,
May 2004,0,38,31,5,0,
June 2004,0,30,33,3,0,
July 2004,0,30,28,3,0,
August 2004,0,30,31,4,0,
September 2004,0,38,39,3,0,
October 2004,0,45,32,2,0,
November 2004,0,26,26,2,0,
December 2004,0,37,33,2,0,
January 2005,0,38,38,2,0,
February 2005,0,38,36,3,0,
March 2005,0,28,32,2,0,
April 2005,0,29,26,3,0,
May 2005,0,35,30,3,0,
June 2005,0,26,25,4,0,
July 2005,0,30,27,3,0,
August 2005,0,33,28,3,0,
September 2005,0,34,33,2,0,
October 2005,0,34,36,2,0,
November 2005,0,28,27,2,0,
December 2005,0,39,32,2,0,
January 2006,0,39,40,2,0,
February 2006,0,40,35,3,0,
March 2006,0,37,34,3,0,
April 2006,0,37,33,3,0,
May 2006,0,32,26,1,0,
June 2006,0,33,28,3,0,
July 2006,0,31,27,3,0,
August 2006,0,34,31,2,0,
September 2006,0,34,34,3,0,
October 2006,1,37,36,2,0,
November 2006,1,30,27,2,0,
December 2006,1,39,33,3,0,
January 2007,1,34,38,2,0,
February 2007,2,38,36,2,0,
March 2007,2,35,33,3,0,
April 2007,1,32,33,3,0,
May 2007,1,34,34,3,0,
June 2007,1,32,30,3,0,
July 2007,1,31,29,3,0,
August 2007,1,41,29,2,0,
September 2007,1,41,35,3,0,
October 2007,1,41,34,2,0,
November 2007,1,31,25,2,0,
December 2007,1,42,34,3,0,
January 2008,1,41,34,2,0,
February 2008,2,40,31,3,0,
March 2008,2,37,32,3,0,
April 2008,1,35,30,3,0,
May 2008,2,32,28,3,0,
June 2008,1,35,27,3,0,
July 2008,1,33,24,3,0,
August 2008,2,50,33,3,0,
September 2008,1,57,35,2,0,
October 2008,2,50,32,2,0,
November 2008,1,41,26,2,0,
December 2008,2,52,28,3,0,
January 2009,1,52,33,3,0,
February 2009,1,51,32,3,0,
March 2009,2,45,33,4,0,
April 2009,2,42,28,3,0,
May 2009,1,42,27,3,0,
June 2009,2,43,27,4,0,
July 2009,2,44,24,3,0,
August 2009,2,43,29,3,0,
September 2009,2,43,32,3,0,
October 2009,2,52,35,3,0,
November 2009,2,42,27,2,0,
December 2009,3,54,31,4,0,
January 2010,2,56,31,4,0,
February 2010,2,55,33,4,0,
March 2010,2,50,33,4,0,
April 2010,1,51,29,4,0,
May 2010,2,47,29,4,0,
June 2010,2,42,26,5,0,
July 2010,2,42,27,5,0,
August 2010,2,42,29,4,0,
September 2010,2,44,31,4,0,
October 2010,2,49,34,4,0,
November 2010,2,43,26,3,0,
December 2010,2,45,27,3,0,
January 2011,2,46,30,3,0,
February 2011,1,43,30,4,0,
March 2011,2,47,28,5,0,
April 2011,1,44,25,5,0,
May 2011,2,44,25,5,0,
June 2011,2,100,23,5,0,
July 2011,2,82,24,5,0,
August 2011,1,69,26,4,0,
September 2011,2,58,30,4,0,
October 2011,2,68,30,3,0,
November 2011,1,55,23,3,0,
December 2011,1,54,27,3,0,
January 2012,2,51,31,3,0,
February 2012,1,44,29,4,0,
March 2012,1,44,27,3,0,
April 2012,2,42,26,4,0,
May 2012,1,44,25,4,0,
June 2012,2,39,23,4,0,
July 2012,2,40,22,4,0,
August 2012,1,43,27,4,0,
September 2012,1,46,29,3,0,
October 2012,1,50,28,3,0,
November 2012,1,37,21,2,0,
December 2012,2,46,26,3,0,
January 2013,1,41,29,3,0,
February 2013,2,43,30,3,0,
March 2013,1,40,30,4,0,
April 2013,1,35,25,4,0,
May 2013,1,33,24,3,0,
June 2013,1,33,22,3,0,
July 2013,1,31,20,4,0,
August 2013,1,38,28,3,0,
September 2013,1,62,31,3,0,
October 2013,1,39,30,3,0,
November 2013,1,35,23,2,0,
December 2013,1,40,30,3,0,
January 2014,2,41,31,3,0,
February 2014,1,42,33,4,0,
March 2014,2,38,30,4,0,
April 2014,1,37,28,4,0,
May 2014,2,38,26,3,0,
June 2014,1,36,25,4,0,
July 2014,2,34,23,4,0,
August 2014,2,37,32,3,0,
September 2014,1,39,34,3,0,
October 2014,1,40,33,3,0,
November 2014,1,37,27,2,0,
December 2014,1,40,31,3,0,
January 2015,1,43,35,3,0,
February 2015,2,42,33,3,0,
March 2015,1,41,32,3,0,
April 2015,1,38,29,4,0,
May 2015,1,45,29,4,0,
June 2015,1,52,26,4,0,
July 2015,1,37,25,3,0,
August 2015,1,40,30,3,0,
September 2015,1,46,32,3,0,
October 2015,1,46,34,3,0,
