Date,stock broker,insurance broker,insurance premiums,benefits,employee benefits,
December 2003,0,3,0,49,0,
January 2004,0,2,0,48,0,
February 2004,0,2,0,46,0,
March 2004,0,2,0,48,0,
April 2004,0,2,0,46,0,
May 2004,0,2,0,44,0,
June 2004,0,2,0,39,0,
July 2004,0,2,0,35,2,
August 2004,0,2,0,45,2,
September 2004,0,2,0,46,1,
October 2004,0,2,0,53,1,
November 2004,0,2,0,39,1,
December 2004,0,1,0,47,1,
January 2005,0,2,0,50,1,
February 2005,1,1,0,51,1,
March 2005,1,1,0,50,2,
April 2005,1,2,0,45,1,
May 2005,1,2,0,46,1,
June 2005,1,2,0,38,1,
July 2005,1,2,0,39,1,
August 2005,1,1,0,43,1,
September 2005,1,1,0,48,2,
October 2005,1,2,0,52,1,
November 2005,1,1,0,41,1,
December 2005,1,1,0,47,1,
January 2006,1,2,0,50,1,
February 2006,1,1,0,48,1,
March 2006,1,1,0,49,1,
April 2006,1,1,0,42,1,
May 2006,1,1,0,43,1,
June 2006,1,1,0,42,1,
July 2006,1,1,0,37,1,
August 2006,1,2,0,39,1,
September 2006,1,1,0,44,1,
October 2006,1,1,0,47,1,
November 2006,1,1,0,36,1,
December 2006,1,1,0,47,1,
January 2007,1,1,0,45,1,
February 2007,1,1,0,48,1,
March 2007,1,1,0,41,1,
April 2007,1,2,0,43,1,
May 2007,1,2,0,42,1,
June 2007,1,2,0,41,1,
July 2007,1,2,0,36,1,
August 2007,1,1,0,38,1,
September 2007,1,1,0,45,1,
October 2007,1,2,0,47,1,
November 2007,1,1,0,38,1,
December 2007,1,1,0,50,1,
January 2008,1,1,0,48,1,
February 2008,1,2,0,50,1,
March 2008,1,2,0,49,1,
April 2008,1,1,0,44,1,
May 2008,1,2,0,42,1,
June 2008,1,2,0,42,1,
July 2008,1,2,0,39,1,
August 2008,1,1,0,45,1,
September 2008,1,1,0,48,1,
October 2008,1,1,0,52,1,
November 2008,0,1,0,40,1,
December 2008,1,1,0,54,1,
January 2009,0,1,0,54,1,
February 2009,1,1,0,56,1,
March 2009,1,1,0,57,1,
April 2009,0,1,0,57,1,
May 2009,0,1,0,55,1,
June 2009,0,1,0,55,1,
July 2009,0,1,0,53,1,
August 2009,1,1,0,59,1,
September 2009,0,1,0,66,1,
October 2009,0,1,0,75,1,
November 2009,0,1,0,63,1,
December 2009,0,1,0,79,1,
January 2010,1,1,1,80,1,
February 2010,0,1,1,88,1,
March 2010,1,1,1,80,1,
April 2010,0,1,0,77,1,
May 2010,0,1,0,76,1,
June 2010,1,1,0,69,1,
July 2010,0,1,0,60,1,
August 2010,1,1,0,64,1,
September 2010,0,1,0,67,1,
October 2010,1,1,0,72,1,
November 2010,0,1,0,62,1,
December 2010,0,2,0,73,1,
January 2011,1,1,0,73,1,
February 2011,1,2,1,74,1,
March 2011,0,2,0,68,1,
April 2011,0,2,0,66,1,
May 2011,0,1,0,70,1,
June 2011,0,2,0,85,1,
July 2011,1,2,0,82,1,
August 2011,0,2,0,78,1,
September 2011,0,2,0,72,1,
October 2011,0,1,0,74,1,
November 2011,0,1,0,68,1,
December 2011,1,1,0,80,1,
January 2012,0,1,1,80,1,
February 2012,0,2,1,77,1,
March 2012,0,2,1,76,1,
April 2012,0,2,0,74,1,
May 2012,0,2,0,72,1,
June 2012,0,2,0,69,1,
July 2012,0,2,0,67,1,
August 2012,0,2,0,70,2,
September 2012,0,1,0,74,1,
October 2012,0,1,0,76,1,
November 2012,0,1,0,64,1,
December 2012,0,2,0,85,1,
January 2013,0,2,1,84,2,
February 2013,0,2,1,87,1,
March 2013,0,2,1,84,1,
April 2013,0,2,0,77,1,
May 2013,0,2,0,73,1,
June 2013,0,2,0,74,1,
July 2013,0,2,0,69,1,
August 2013,0,2,0,75,1,
September 2013,0,1,0,82,1,
October 2013,0,2,0,83,1,
November 2013,0,1,0,74,1,
December 2013,1,2,0,96,1,
January 2014,1,2,1,91,1,
February 2014,1,2,1,96,1,
March 2014,1,2,1,91,1,
April 2014,1,2,0,86,1,
May 2014,1,2,0,81,1,
June 2014,0,2,0,81,1,
July 2014,0,2,0,76,1,
August 2014,1,2,0,82,1,
September 2014,0,2,0,86,2,
October 2014,0,2,0,87,2,
November 2014,1,1,0,76,1,
December 2014,1,2,1,100,2,
January 2015,1,2,1,94,1,
February 2015,1,2,1,96,1,
March 2015,1,2,1,89,1,
April 2015,0,2,0,83,1,
May 2015,1,2,0,84,1,
June 2015,0,2,0,80,1,
July 2015,1,2,0,74,1,
August 2015,1,2,0,84,1,
September 2015,1,2,0,86,1,
October 2015,1,2,0,98,2,
