Date,housing market,real estate brokers,gas prices,car rentals,moving trucks,
December 2003,0,0,5,13,0,
January 2004,0,1,5,15,0,
February 2004,0,0,8,13,0,
March 2004,0,0,10,17,0,
April 2004,1,0,30,19,0,
May 2004,1,0,9,20,0,
June 2004,1,0,7,26,0,
July 2004,1,0,7,18,0,
August 2004,1,0,6,16,0,
September 2004,1,0,7,13,0,
October 2004,1,0,4,12,0,
November 2004,1,0,4,13,0,
December 2004,1,1,4,14,0,
January 2005,1,1,4,15,0,
February 2005,1,1,8,14,0,
March 2005,1,1,12,15,0,
April 2005,1,1,6,16,1,
May 2005,1,1,8,19,1,
June 2005,1,1,10,23,1,
July 2005,1,1,40,20,1,
August 2005,1,1,100,13,0,
September 2005,1,1,14,10,0,
October 2005,1,1,6,11,0,
November 2005,1,1,5,11,0,
December 2005,1,1,6,13,0,
January 2006,1,1,5,14,0,
February 2006,2,1,9,14,0,
March 2006,1,1,18,15,1,
April 2006,1,1,10,15,1,
May 2006,1,0,8,17,1,
June 2006,2,1,13,21,1,
July 2006,2,0,13,19,1,
August 2006,2,0,10,13,0,
September 2006,2,0,7,12,0,
October 2006,2,0,5,10,0,
November 2006,1,0,5,10,0,
December 2006,1,0,7,13,0,
January 2007,1,0,8,12,0,
February 2007,1,1,9,12,0,
March 2007,2,0,7,13,0,
April 2007,2,0,18,16,0,
May 2007,2,1,7,15,1,
June 2007,2,0,7,20,1,
July 2007,2,0,6,20,1,
August 2007,2,0,5,12,0,
September 2007,2,0,4,11,0,
October 2007,2,0,6,9,0,
November 2007,1,0,4,10,0,
December 2007,2,0,5,12,0,
January 2008,2,0,7,13,0,
February 2008,2,0,8,13,0,
March 2008,3,0,16,13,1,
April 2008,2,0,18,13,0,
May 2008,2,0,20,16,1,
June 2008,2,0,16,18,0,
July 2008,2,0,10,16,1,
August 2008,3,0,26,10,0,
September 2008,3,0,25,9,0,
October 2008,2,0,20,9,0,
November 2008,2,0,14,9,0,
December 2008,2,0,12,11,0,
January 2009,2,0,9,12,0,
February 2009,2,0,8,11,0,
March 2009,1,0,7,10,0,
April 2009,1,0,9,10,0,
May 2009,1,0,9,12,0,
June 2009,1,0,10,15,1,
July 2009,1,0,9,12,0,
August 2009,1,0,7,9,0,
September 2009,1,0,7,7,0,
October 2009,1,0,6,7,0,
November 2009,1,0,6,7,0,
December 2009,1,0,6,10,0,
January 2010,1,0,5,9,0,
February 2010,1,0,6,9,0,
March 2010,1,0,6,9,0,
April 2010,1,0,7,9,0,
May 2010,1,0,5,10,0,
June 2010,1,0,6,12,0,
July 2010,1,0,5,10,0,
August 2010,1,0,4,7,0,
September 2010,1,0,6,7,0,
October 2010,1,0,7,6,0,
November 2010,1,0,9,6,0,
December 2010,1,0,7,8,0,
January 2011,1,0,12,8,0,
February 2011,1,0,15,8,0,
March 2011,1,0,23,8,0,
April 2011,1,0,26,8,0,
May 2011,1,0,13,9,0,
June 2011,1,0,15,11,0,
July 2011,1,0,16,9,0,
August 2011,1,0,13,7,0,
September 2011,1,0,11,6,0,
October 2011,1,0,10,6,0,
November 2011,1,0,9,6,0,
December 2011,1,0,9,7,0,
January 2012,1,0,11,7,0,
February 2012,1,0,13,7,0,
March 2012,1,0,17,7,0,
April 2012,2,0,12,7,0,
May 2012,1,0,13,8,0,
June 2012,2,0,11,10,0,
July 2012,1,0,11,8,0,
August 2012,2,0,14,7,0,
September 2012,2,0,15,6,0,
October 2012,1,0,12,6,0,
November 2012,1,0,8,5,0,
December 2012,2,0,8,7,0,
January 2013,2,0,11,7,0,
February 2013,2,0,9,7,0,
March 2013,1,0,8,6,0,
April 2013,1,0,13,6,0,
May 2013,1,0,9,8,0,
June 2013,1,0,13,9,0,
July 2013,1,0,10,8,0,
August 2013,1,0,9,6,0,
September 2013,1,0,8,6,0,
October 2013,1,0,8,5,0,
November 2013,1,0,8,6,0,
December 2013,1,0,8,8,0,
January 2014,1,0,9,7,0,
February 2014,1,0,10,7,0,
March 2014,1,0,15,7,0,
April 2014,1,0,11,7,0,
May 2014,1,0,14,8,0,
June 2014,1,0,10,9,0,
July 2014,1,0,9,8,0,
August 2014,1,0,8,7,0,
September 2014,1,0,15,6,0,
October 2014,1,0,13,5,0,
November 2014,2,0,22,5,0,
December 2014,2,0,21,7,0,
January 2015,2,0,15,7,0,
February 2015,2,0,11,7,0,
March 2015,2,0,10,6,0,
April 2015,2,0,10,7,0,
May 2015,2,0,11,7,0,
June 2015,2,0,13,9,0,
July 2015,2,0,18,8,0,
August 2015,2,0,12,6,0,
September 2015,2,0,10,5,0,
October 2015,2,0,12,5,0,
