Date,movers,2 bedroom homes,3 bedroom homes,real estate listings,leasing vs renting,
December 2003,26,0,0,94,0,
January 2004,31,0,0,97,0,
February 2004,31,0,0,100,0,
March 2004,40,0,0,90,0,
April 2004,40,0,0,87,0,
May 2004,57,0,0,73,0,
June 2004,59,0,0,81,0,
July 2004,47,0,0,87,0,
August 2004,42,0,0,70,0,
September 2004,40,0,0,62,0,
October 2004,33,0,0,46,0,
November 2004,26,0,0,41,0,
December 2004,31,0,0,60,0,
January 2005,34,0,0,62,0,
February 2005,32,0,0,79,0,
March 2005,33,0,0,72,0,
April 2005,42,0,0,70,0,
May 2005,49,0,0,70,0,
June 2005,52,0,0,69,0,
July 2005,49,0,0,66,0,
August 2005,41,0,0,61,0,
September 2005,36,0,0,55,0,
October 2005,31,0,0,45,0,
November 2005,24,0,0,34,0,
December 2005,31,0,0,53,0,
January 2006,32,0,0,57,0,
February 2006,42,0,0,60,0,
March 2006,36,0,0,66,0,
April 2006,43,0,0,52,0,
May 2006,45,0,0,58,0,
June 2006,56,0,0,48,0,
July 2006,48,0,0,63,0,
August 2006,37,0,0,51,0,
September 2006,30,0,0,39,0,
October 2006,31,0,0,38,0,
November 2006,25,0,0,31,0,
December 2006,32,0,0,54,0,
January 2007,37,0,0,56,0,
February 2007,38,0,0,57,0,
March 2007,45,0,0,59,0,
April 2007,51,0,0,63,0,
May 2007,53,0,0,62,0,
June 2007,60,0,0,61,0,
July 2007,50,0,0,59,0,
August 2007,42,0,0,47,0,
September 2007,40,0,0,47,0,
October 2007,34,0,0,43,0,
November 2007,25,0,0,37,0,
December 2007,33,0,0,49,0,
January 2008,31,0,0,43,0,
February 2008,39,0,0,48,0,
March 2008,42,0,0,49,0,
April 2008,50,0,0,50,0,
May 2008,46,0,0,47,0,
June 2008,48,0,0,49,0,
July 2008,52,0,0,45,0,
August 2008,36,0,0,40,0,
September 2008,33,0,0,40,0,
October 2008,36,0,0,35,0,
November 2008,27,0,0,28,0,
December 2008,32,0,0,42,0,
January 2009,30,0,0,39,0,
February 2009,37,0,0,45,0,
March 2009,42,0,0,66,0,
April 2009,43,0,0,71,0,
May 2009,51,0,0,67,0,
June 2009,54,0,0,69,0,
July 2009,60,0,0,79,0,
August 2009,44,0,0,66,0,
September 2009,36,0,0,72,0,
October 2009,46,0,0,61,0,
November 2009,33,0,0,58,0,
December 2009,37,0,0,84,0,
January 2010,36,0,0,82,0,
February 2010,42,0,0,90,0,
March 2010,46,0,0,91,0,
April 2010,52,0,0,87,0,
May 2010,56,0,0,77,0,
June 2010,51,0,0,74,0,
July 2010,50,0,0,64,0,
August 2010,41,0,0,54,0,
September 2010,41,0,0,51,0,
October 2010,37,0,0,45,0,
November 2010,33,0,0,43,0,
December 2010,38,0,0,65,0,
January 2011,36,0,0,65,0,
February 2011,40,0,0,64,0,
March 2011,45,0,0,62,0,
April 2011,46,0,0,67,0,
May 2011,51,0,0,72,0,
June 2011,52,0,0,69,0,
July 2011,50,0,0,78,0,
August 2011,40,0,0,63,0,
September 2011,37,0,0,56,0,
October 2011,36,0,0,38,0,
November 2011,30,0,0,33,0,
December 2011,36,0,0,54,0,
January 2012,34,0,0,53,0,
February 2012,38,0,1,58,0,
March 2012,46,0,1,68,0,
April 2012,50,1,1,70,0,
May 2012,51,0,0,67,0,
June 2012,51,0,0,64,0,
July 2012,52,0,0,55,0,
August 2012,42,0,0,48,0,
September 2012,38,0,0,42,0,
October 2012,39,0,0,36,0,
November 2012,29,0,0,34,0,
December 2012,35,1,0,47,0,
January 2013,32,1,1,45,0,
February 2013,39,1,1,52,0,
March 2013,46,1,1,55,0,
April 2013,46,1,1,50,0,
May 2013,46,1,1,51,0,
June 2013,50,1,1,51,0,
July 2013,47,1,1,51,0,
August 2013,42,1,1,45,0,
September 2013,40,1,1,39,0,
October 2013,35,1,1,31,0,
November 2013,27,1,1,30,0,
December 2013,33,1,1,43,0,
January 2014,34,1,1,42,0,
February 2014,38,1,1,48,0,
March 2014,45,1,1,50,0,
April 2014,49,1,1,51,0,
May 2014,53,1,1,46,0,
June 2014,47,1,1,46,0,
July 2014,51,1,1,50,0,
August 2014,43,1,1,37,0,
September 2014,39,1,1,36,0,
October 2014,38,1,1,29,0,
November 2014,30,1,1,25,0,
December 2014,30,1,1,36,0,
January 2015,37,1,1,34,0,
February 2015,38,1,1,39,0,
March 2015,44,1,1,44,0,
April 2015,48,1,1,44,0,
May 2015,53,1,1,44,0,
June 2015,50,1,1,43,0,
July 2015,51,1,1,42,0,
August 2015,43,1,1,37,0,
September 2015,41,0,1,32,0,
October 2015,38,0,0,32,0,
