Date,mortgages,lease to own,real estate license,mls,real estate investment,
December 2003,5,0,0,59,1,
January 2004,4,0,1,63,1,
February 2004,4,0,1,65,1,
March 2004,6,0,1,64,1,
April 2004,5,0,1,60,1,
May 2004,4,0,1,62,1,
June 2004,4,0,1,65,1,
July 2004,5,0,1,63,1,
August 2004,4,0,1,55,1,
September 2004,4,0,0,53,1,
October 2004,4,0,0,43,1,
November 2004,3,0,0,35,1,
December 2004,4,0,0,53,1,
January 2005,3,0,0,57,1,
February 2005,4,0,0,63,1,
March 2005,4,0,1,68,1,
April 2005,5,0,1,66,1,
May 2005,4,0,1,68,1,
June 2005,4,0,1,72,1,
July 2005,5,0,0,72,1,
August 2005,4,0,0,61,1,
September 2005,4,0,0,53,1,
October 2005,3,0,0,48,1,
November 2005,3,0,0,41,0,
December 2005,3,0,0,60,1,
January 2006,3,0,0,66,1,
February 2006,4,0,0,72,1,
March 2006,4,0,0,77,1,
April 2006,4,0,0,74,1,
May 2006,4,0,0,72,0,
June 2006,4,0,1,81,1,
July 2006,4,0,0,81,1,
August 2006,3,0,0,71,1,
September 2006,3,0,0,65,1,
October 2006,3,0,0,61,1,
November 2006,2,0,0,51,1,
December 2006,3,0,0,82,1,
January 2007,4,0,0,83,1,
February 2007,4,0,1,88,1,
March 2007,4,0,0,100,1,
April 2007,4,0,0,99,1,
May 2007,4,0,0,98,1,
June 2007,4,0,1,97,1,
July 2007,5,0,0,91,1,
August 2007,3,0,0,78,1,
September 2007,3,0,0,67,1,
October 2007,3,0,0,53,1,
November 2007,2,0,0,42,1,
December 2007,4,0,0,63,1,
January 2008,3,0,0,71,1,
February 2008,5,0,0,82,1,
March 2008,4,0,0,91,1,
April 2008,4,0,0,95,1,
May 2008,4,0,0,91,1,
June 2008,4,0,0,93,1,
July 2008,3,0,0,88,1,
August 2008,4,0,1,81,0,
September 2008,4,0,0,76,1,
October 2008,3,0,0,60,0,
November 2008,3,0,0,53,1,
December 2008,3,0,0,75,0,
January 2009,3,0,0,77,1,
February 2009,4,0,0,90,1,
March 2009,4,0,0,86,1,
April 2009,3,0,0,84,0,
May 2009,3,0,0,80,0,
June 2009,3,0,1,81,0,
July 2009,3,0,1,81,1,
August 2009,3,0,1,70,1,
September 2009,2,0,1,56,0,
October 2009,2,0,1,53,1,
November 2009,2,0,0,42,0,
December 2009,3,0,1,58,0,
January 2010,3,0,1,62,0,
February 2010,3,0,1,69,1,
March 2010,3,0,1,69,1,
April 2010,3,0,1,65,0,
May 2010,2,0,1,61,0,
June 2010,2,0,1,61,0,
July 2010,2,0,1,60,1,
August 2010,2,0,1,54,0,
September 2010,2,0,0,51,0,
October 2010,2,0,0,45,0,
November 2010,1,0,0,41,0,
December 2010,2,0,0,68,0,
January 2011,2,0,0,74,1,
February 2011,2,0,0,85,1,
March 2011,2,0,0,85,0,
April 2011,2,0,0,83,0,
May 2011,2,0,0,80,0,
June 2011,2,0,0,82,0,
July 2011,2,0,0,82,0,
August 2011,2,0,0,72,0,
September 2011,2,0,0,72,0,
October 2011,2,0,0,63,0,
November 2011,1,0,0,54,0,
December 2011,2,0,1,74,0,
January 2012,2,0,1,82,0,
February 2012,2,0,1,91,0,
March 2012,2,0,0,91,0,
April 2012,2,0,1,86,0,
May 2012,2,0,1,79,0,
June 2012,2,0,1,80,0,
July 2012,2,0,0,76,0,
August 2012,2,0,0,70,0,
September 2012,2,0,0,64,0,
October 2012,1,0,0,55,0,
November 2012,1,0,0,45,0,
December 2012,2,0,1,65,0,
January 2013,2,0,1,71,1,
February 2013,2,0,1,83,0,
March 2013,2,0,0,88,1,
April 2013,2,0,0,79,0,
May 2013,2,0,0,77,0,
June 2013,2,0,0,75,0,
July 2013,2,0,1,74,0,
August 2013,2,0,0,68,0,
September 2013,2,0,0,62,0,
October 2013,1,0,0,53,0,
November 2013,1,0,0,45,0,
December 2013,2,0,1,60,0,
January 2014,2,0,0,61,0,
February 2014,2,0,0,75,0,
March 2014,2,0,0,75,1,
April 2014,2,0,0,76,0,
May 2014,2,0,0,73,0,
June 2014,2,0,1,75,0,
July 2014,2,0,1,72,0,
August 2014,1,0,1,64,0,
September 2014,1,0,0,57,0,
October 2014,1,0,1,48,0,
November 2014,1,0,0,42,0,
December 2014,2,0,0,54,0,
January 2015,2,0,1,59,0,
February 2015,2,0,0,68,1,
March 2015,2,0,0,70,0,
April 2015,2,0,1,75,0,
May 2015,2,0,1,68,0,
June 2015,2,0,1,66,0,
July 2015,2,0,1,67,0,
August 2015,2,0,1,58,0,
September 2015,1,0,1,55,0,
October 2015,2,0,1,59,0,
