Date,law offices,legal services,accounting services,architectural services,engineering services,
December 2003,0,70,0,0,0,
January 2004,0,44,0,0,0,
February 2004,0,70,0,0,0,
March 2004,0,95,0,0,52,
April 2004,0,41,0,0,44,
May 2004,0,100,0,0,45,
June 2004,0,71,0,0,45,
July 2004,0,60,0,0,0,
August 2004,0,63,0,0,0,
September 2004,0,68,0,0,0,
October 2004,0,69,0,0,0,
November 2004,0,67,0,0,0,
December 2004,0,67,0,0,0,
January 2005,0,74,0,0,31,
February 2005,41,61,0,0,35,
March 2005,26,56,0,0,32,
April 2005,26,77,0,0,27,
May 2005,26,89,0,0,27,
June 2005,26,61,29,0,27,
July 2005,26,75,0,0,28,
August 2005,26,53,0,0,28,
September 2005,26,47,0,0,20,
October 2005,26,60,0,0,24,
November 2005,27,35,0,0,21,
December 2005,27,59,28,0,31,
January 2006,16,61,22,0,48,
February 2006,16,51,22,0,21,
March 2006,23,61,20,0,19,
April 2006,22,63,20,0,23,
May 2006,25,69,20,0,38,
June 2006,20,62,20,0,22,
July 2006,16,52,19,0,16,
August 2006,16,53,13,0,15,
September 2006,18,63,13,0,26,
October 2006,20,61,13,0,23,
November 2006,18,40,13,0,15,
December 2006,30,47,14,0,17,
January 2007,26,48,17,0,31,
February 2007,21,51,19,0,32,
March 2007,28,52,14,0,28,
April 2007,24,67,14,0,27,
May 2007,21,62,12,0,26,
June 2007,26,57,15,0,22,
July 2007,16,58,12,0,15,
August 2007,25,55,18,0,26,
September 2007,17,53,15,0,22,
October 2007,26,61,11,0,14,
November 2007,18,43,15,0,11,
December 2007,17,56,12,0,23,
January 2008,19,53,18,0,24,
February 2008,24,60,20,0,27,
March 2008,20,50,15,0,29,
April 2008,24,48,14,0,29,
May 2008,31,61,16,0,22,
June 2008,23,63,17,0,18,
July 2008,22,53,12,0,19,
August 2008,23,58,10,0,25,
September 2008,19,59,25,0,25,
October 2008,17,47,17,0,15,
November 2008,22,46,11,0,12,
December 2008,24,58,14,0,20,
January 2009,24,63,21,0,20,
February 2009,31,69,20,0,23,
March 2009,20,56,20,0,24,
April 2009,29,58,17,0,19,
May 2009,38,55,14,0,22,
June 2009,30,53,18,0,18,
July 2009,23,60,16,0,21,
August 2009,27,54,21,0,24,
September 2009,36,61,16,0,16,
October 2009,30,67,21,0,25,
November 2009,27,54,15,0,24,
December 2009,32,78,15,0,20,
January 2010,28,61,18,0,28,
February 2010,35,79,20,0,26,
March 2010,31,69,14,0,20,
April 2010,30,66,13,0,21,
May 2010,39,75,15,0,25,
June 2010,33,74,17,0,31,
July 2010,34,73,14,0,29,
August 2010,32,62,23,0,20,
September 2010,31,60,17,0,24,
October 2010,27,48,13,0,21,
November 2010,30,58,12,0,18,
December 2010,18,64,16,0,27,
January 2011,20,56,24,0,23,
February 2011,19,57,29,0,21,
March 2011,14,56,24,0,20,
April 2011,20,59,16,0,24,
May 2011,21,48,15,0,30,
June 2011,17,52,18,0,25,
July 2011,20,54,17,0,24,
August 2011,15,55,20,0,20,
September 2011,16,54,22,0,18,
October 2011,21,49,18,0,21,
November 2011,17,42,15,0,12,
December 2011,18,58,19,0,21,
January 2012,19,55,25,0,23,
February 2012,18,53,23,0,20,
March 2012,21,53,29,0,22,
April 2012,24,56,18,0,24,
May 2012,20,47,14,0,23,
June 2012,19,56,19,0,20,
July 2012,22,53,16,0,24,
August 2012,15,51,21,0,23,
September 2012,13,53,24,0,18,
October 2012,16,50,18,0,21,
November 2012,12,39,12,0,16,
December 2012,18,48,23,0,21,
January 2013,16,58,25,0,23,
February 2013,16,55,30,0,25,
March 2013,17,50,28,0,21,
April 2013,18,52,23,0,21,
May 2013,21,51,19,0,20,
June 2013,21,42,17,0,20,
July 2013,15,49,16,0,19,
August 2013,14,49,27,0,20,
September 2013,14,51,21,0,20,
October 2013,17,53,17,0,17,
November 2013,12,37,15,0,17,
December 2013,18,48,26,0,21,
January 2014,17,47,26,0,22,
February 2014,14,52,29,0,23,
March 2014,16,46,25,0,24,
April 2014,13,50,22,0,21,
May 2014,14,55,22,0,19,
June 2014,17,64,20,0,23,
July 2014,17,52,22,0,26,
August 2014,14,57,23,0,25,
September 2014,14,53,20,0,21,
October 2014,14,53,24,0,20,
November 2014,13,39,17,0,15,
December 2014,13,45,18,0,17,
January 2015,15,51,24,0,21,
February 2015,16,59,33,0,19,
March 2015,16,60,27,0,22,
April 2015,15,52,18,0,21,
May 2015,15,53,23,0,23,
June 2015,19,51,21,0,22,
July 2015,14,44,19,0,23,
August 2015,16,56,21,0,26,
September 2015,16,47,20,0,16,
October 2015,11,55,24,0,19,
