Date,mapping services,interior design services,industrial design services,graphic design services,consulting services,
December 2003,0,0,0,0,100,
January 2004,0,0,0,0,72,
February 2004,0,0,0,0,66,
March 2004,0,0,0,0,66,
April 2004,0,0,0,0,76,
May 2004,0,0,0,0,85,
June 2004,0,0,0,0,72,
July 2004,0,0,0,0,67,
August 2004,0,0,0,0,91,
September 2004,0,0,0,0,56,
October 2004,0,0,0,0,60,
November 2004,0,0,0,0,49,
December 2004,0,0,0,0,77,
January 2005,0,0,0,0,60,
February 2005,0,0,0,0,58,
March 2005,0,0,0,0,65,
April 2005,0,0,0,0,77,
May 2005,0,0,0,0,79,
June 2005,0,0,0,0,51,
July 2005,0,0,0,0,68,
August 2005,0,0,0,0,75,
September 2005,0,0,0,0,48,
October 2005,0,0,0,0,47,
November 2005,0,0,0,0,43,
December 2005,0,0,0,0,52,
January 2006,0,0,0,0,73,
February 2006,0,0,0,0,64,
March 2006,0,0,0,0,69,
April 2006,0,0,0,0,43,
May 2006,0,0,0,0,71,
June 2006,0,0,0,0,53,
July 2006,0,0,0,0,40,
August 2006,0,0,0,0,53,
September 2006,0,0,0,0,44,
October 2006,0,0,0,0,47,
November 2006,0,0,0,0,40,
December 2006,0,0,0,0,56,
January 2007,0,0,0,0,52,
February 2007,0,0,0,0,52,
March 2007,0,0,0,0,44,
April 2007,0,0,0,0,40,
May 2007,0,0,0,0,60,
June 2007,0,0,0,0,36,
July 2007,0,0,0,0,49,
August 2007,0,0,0,0,59,
September 2007,0,0,0,0,43,
October 2007,0,0,0,0,42,
November 2007,0,0,0,0,36,
December 2007,0,0,0,0,34,
January 2008,0,0,0,0,48,
February 2008,0,0,0,0,37,
March 2008,0,0,0,0,48,
April 2008,0,0,0,0,48,
May 2008,0,0,0,0,49,
June 2008,0,0,0,0,45,
July 2008,0,0,0,0,47,
August 2008,0,0,0,0,35,
September 2008,0,0,0,0,44,
October 2008,0,0,0,0,39,
November 2008,0,0,0,0,39,
December 2008,0,0,0,0,37,
January 2009,0,0,0,0,49,
February 2009,0,0,0,0,41,
March 2009,0,0,0,0,42,
April 2009,0,0,0,0,47,
May 2009,0,0,0,0,47,
June 2009,0,0,0,0,41,
July 2009,0,0,0,0,45,
August 2009,0,0,0,0,48,
September 2009,0,0,0,0,40,
October 2009,0,0,0,0,36,
November 2009,0,0,0,0,34,
December 2009,0,0,0,0,43,
January 2010,0,0,0,0,43,
February 2010,0,0,0,0,46,
March 2010,0,0,0,0,52,
April 2010,0,0,0,0,46,
May 2010,0,0,0,0,51,
June 2010,0,0,0,0,45,
July 2010,0,0,0,0,38,
August 2010,0,0,0,0,43,
September 2010,0,0,0,0,47,
October 2010,0,0,0,0,41,
November 2010,0,0,0,0,35,
December 2010,0,0,0,0,38,
January 2011,0,0,0,0,44,
February 2011,0,0,0,0,42,
March 2011,0,0,0,0,42,
April 2011,0,0,0,0,50,
May 2011,0,0,0,0,38,
June 2011,0,0,0,0,43,
July 2011,0,0,0,0,43,
August 2011,0,0,0,0,47,
September 2011,0,0,0,0,36,
October 2011,0,0,0,0,42,
November 2011,0,0,0,0,36,
December 2011,0,0,0,0,42,
January 2012,0,0,0,0,46,
February 2012,0,0,0,0,40,
March 2012,0,0,0,0,39,
April 2012,0,0,0,0,41,
May 2012,0,0,0,0,41,
June 2012,0,0,0,0,37,
July 2012,0,0,0,0,35,
August 2012,0,0,0,0,38,
September 2012,0,0,0,0,39,
October 2012,0,0,0,0,42,
November 2012,0,0,0,0,29,
December 2012,0,0,0,0,41,
January 2013,0,0,0,0,35,
February 2013,0,0,0,3,33,
March 2013,0,0,0,0,42,
April 2013,0,0,0,0,36,
May 2013,0,0,0,0,33,
June 2013,0,0,0,0,44,
July 2013,0,0,0,0,37,
August 2013,0,0,0,0,39,
September 2013,0,0,0,0,40,
October 2013,0,0,0,0,28,
November 2013,0,0,0,0,27,
December 2013,0,0,0,0,37,
January 2014,0,0,0,0,37,
February 2014,0,0,0,0,41,
March 2014,0,0,0,0,39,
April 2014,0,0,0,0,37,
May 2014,0,0,0,0,36,
June 2014,0,0,0,0,31,
July 2014,0,0,0,0,28,
August 2014,0,0,0,0,39,
September 2014,0,3,0,0,34,
October 2014,0,0,0,0,34,
November 2014,0,0,0,0,32,
December 2014,0,0,0,0,34,
January 2015,0,0,0,0,28,
February 2015,0,0,0,0,43,
March 2015,0,0,0,0,37,
April 2015,0,0,0,0,33,
May 2015,0,0,0,0,32,
June 2015,0,0,0,0,31,
July 2015,0,0,0,0,32,
August 2015,0,0,0,0,35,
September 2015,0,0,0,0,32,
October 2015,0,0,0,0,42,
