Date,public relations services,advertising services,market research services,photographic services,veterinary services,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,0,0,0,0,0,
April 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,0,0,0,0,0,
January 2005,0,0,0,0,0,
February 2005,0,0,0,0,0,
March 2005,0,0,0,0,0,
April 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
June 2005,0,0,0,0,0,
July 2005,0,0,0,0,0,
August 2005,0,0,0,0,0,
September 2005,0,0,0,0,0,
October 2005,0,0,0,0,0,
November 2005,0,0,0,0,0,
December 2005,0,0,0,0,0,
January 2006,0,0,0,0,0,
February 2006,0,0,0,0,0,
March 2006,0,0,0,0,0,
April 2006,0,0,0,0,0,
May 2006,0,0,0,0,0,
June 2006,0,0,0,0,0,
July 2006,0,0,0,0,0,
August 2006,0,0,0,0,0,
September 2006,0,0,0,0,39,
October 2006,0,0,0,0,48,
November 2006,0,0,0,0,34,
December 2006,0,0,0,0,32,
January 2007,0,0,0,0,27,
February 2007,0,0,0,0,27,
March 2007,0,0,0,0,27,
April 2007,0,0,0,0,27,
May 2007,0,0,0,0,30,
June 2007,0,0,0,0,33,
July 2007,0,0,0,0,36,
August 2007,0,0,0,0,37,
September 2007,0,0,0,0,41,
October 2007,0,0,0,0,35,
November 2007,0,0,0,0,36,
December 2007,0,0,0,0,37,
January 2008,0,0,0,0,31,
February 2008,0,0,0,0,24,
March 2008,0,0,0,0,26,
April 2008,0,0,0,0,28,
May 2008,0,0,0,0,47,
June 2008,0,0,0,0,35,
July 2008,0,0,0,0,43,
August 2008,0,0,0,0,29,
September 2008,0,0,0,0,39,
October 2008,0,0,0,0,21,
November 2008,0,0,0,0,23,
December 2008,0,0,0,0,19,
January 2009,0,0,0,0,37,
February 2009,0,0,0,0,30,
March 2009,0,0,0,0,37,
April 2009,0,0,0,0,49,
May 2009,0,0,0,0,51,
June 2009,0,0,0,0,50,
July 2009,0,0,0,0,56,
August 2009,0,0,0,0,53,
September 2009,0,0,0,0,43,
October 2009,0,0,0,0,47,
November 2009,0,0,0,0,43,
December 2009,0,15,0,0,75,
January 2010,0,0,0,0,51,
February 2010,0,0,0,0,64,
March 2010,0,0,0,0,53,
April 2010,0,0,0,0,70,
May 2010,0,0,0,0,67,
June 2010,0,0,0,0,78,
July 2010,0,0,0,0,65,
August 2010,0,18,0,0,60,
September 2010,0,11,0,0,55,
October 2010,0,11,0,0,78,
November 2010,0,11,0,0,62,
December 2010,0,11,0,0,55,
January 2011,0,12,0,0,68,
February 2011,0,11,0,0,69,
March 2011,0,14,0,0,66,
April 2011,0,15,0,0,48,
May 2011,0,17,0,0,66,
June 2011,0,15,0,0,90,
July 2011,0,15,0,0,76,
August 2011,0,15,0,0,67,
September 2011,0,15,0,0,64,
October 2011,0,13,0,0,57,
November 2011,0,13,0,0,44,
December 2011,0,13,0,0,55,
January 2012,0,13,0,0,78,
February 2012,0,9,0,0,68,
March 2012,0,9,0,0,67,
April 2012,0,10,0,0,91,
May 2012,0,12,0,0,67,
June 2012,0,13,0,0,83,
July 2012,0,14,0,0,72,
August 2012,0,10,0,0,64,
September 2012,0,12,0,0,65,
October 2012,0,11,0,0,60,
November 2012,0,11,0,0,47,
December 2012,0,11,0,0,58,
January 2013,0,12,0,0,63,
February 2013,0,8,0,0,69,
March 2013,0,8,0,0,79,
April 2013,0,8,0,0,79,
May 2013,0,8,0,0,76,
June 2013,0,8,0,0,92,
July 2013,0,10,0,0,70,
August 2013,0,9,0,0,77,
September 2013,0,9,0,0,69,
October 2013,0,8,0,0,82,
November 2013,0,7,0,0,54,
December 2013,0,7,0,0,60,
January 2014,0,10,0,0,72,
February 2014,0,9,0,0,62,
March 2014,0,9,0,0,88,
April 2014,0,8,0,0,73,
May 2014,0,8,0,0,68,
June 2014,0,9,0,0,95,
July 2014,0,8,0,0,70,
August 2014,0,8,0,0,80,
September 2014,0,8,0,0,80,
October 2014,0,8,0,0,58,
November 2014,0,12,0,0,63,
December 2014,0,16,0,0,63,
January 2015,0,8,0,0,50,
February 2015,0,7,0,0,59,
March 2015,0,7,0,0,75,
April 2015,0,10,0,0,79,
May 2015,0,12,0,0,84,
June 2015,0,8,0,0,100,
July 2015,0,8,0,0,79,
August 2015,0,8,0,0,78,
September 2015,0,9,0,0,77,
October 2015,0,0,0,0,64,
