Date,translation services,computer systems design,drafting services,tax preparation services,research and development services,
December 2003,0,0,0,0,0,
January 2004,0,0,0,0,0,
February 2004,0,0,0,0,0,
March 2004,94,0,0,0,0,
April 2004,85,0,0,0,0,
May 2004,100,0,0,0,0,
June 2004,0,0,0,0,0,
July 2004,0,0,0,0,0,
August 2004,0,0,0,0,0,
September 2004,0,0,0,0,0,
October 2004,0,0,0,0,0,
November 2004,0,0,0,0,0,
December 2004,71,0,0,0,0,
January 2005,63,0,0,0,0,
February 2005,63,0,0,0,0,
March 2005,63,0,0,0,0,
April 2005,63,0,0,0,0,
May 2005,61,0,0,0,0,
June 2005,78,0,0,0,0,
July 2005,56,0,0,0,0,
August 2005,65,0,0,0,0,
September 2005,73,0,0,0,0,
October 2005,44,0,0,0,0,
November 2005,44,0,0,0,0,
December 2005,44,0,0,0,0,
January 2006,44,0,0,0,0,
February 2006,77,0,0,0,0,
March 2006,44,0,0,0,0,
April 2006,37,0,0,0,0,
May 2006,45,0,0,0,0,
June 2006,54,0,0,0,0,
July 2006,47,0,0,0,0,
August 2006,39,0,0,0,0,
September 2006,46,0,0,0,0,
October 2006,49,0,0,0,0,
November 2006,42,0,0,0,0,
December 2006,42,0,0,0,0,
January 2007,48,0,0,0,0,
February 2007,50,0,0,0,0,
March 2007,33,0,0,0,0,
April 2007,50,0,0,0,0,
May 2007,31,0,0,0,0,
June 2007,54,0,0,0,0,
July 2007,24,0,0,0,0,
August 2007,30,0,0,0,0,
September 2007,35,0,0,0,0,
October 2007,35,0,0,0,0,
November 2007,32,0,0,0,0,
December 2007,33,0,0,0,0,
January 2008,25,0,0,0,0,
February 2008,21,0,0,0,0,
March 2008,21,0,0,0,0,
April 2008,36,0,0,0,0,
May 2008,45,0,0,0,0,
June 2008,23,0,0,0,0,
July 2008,48,0,0,0,0,
August 2008,46,0,0,0,0,
September 2008,29,0,0,0,0,
October 2008,29,0,0,0,0,
November 2008,19,0,0,0,0,
December 2008,20,0,0,0,0,
January 2009,37,0,0,0,0,
February 2009,37,0,0,0,0,
March 2009,22,0,0,0,0,
April 2009,29,0,0,0,0,
May 2009,33,0,0,0,0,
June 2009,27,0,0,0,0,
July 2009,25,0,0,0,0,
August 2009,44,0,0,0,0,
September 2009,21,0,0,0,0,
October 2009,34,0,0,0,0,
November 2009,31,0,0,0,0,
December 2009,36,0,0,0,0,
January 2010,42,0,0,0,0,
February 2010,35,0,0,0,0,
March 2010,29,0,0,0,0,
April 2010,39,0,0,0,0,
May 2010,39,0,0,0,0,
June 2010,32,0,0,0,0,
July 2010,30,0,0,0,0,
August 2010,27,0,0,0,0,
September 2010,33,0,0,0,0,
October 2010,35,0,0,0,0,
November 2010,26,0,0,0,0,
December 2010,25,0,0,0,0,
January 2011,19,0,0,0,0,
February 2011,27,0,0,0,0,
March 2011,21,0,0,0,0,
April 2011,24,0,10,0,0,
May 2011,23,0,0,0,0,
June 2011,30,0,0,0,0,
July 2011,15,0,0,0,0,
August 2011,34,0,0,0,0,
September 2011,34,0,0,0,0,
October 2011,31,0,0,0,0,
November 2011,23,0,0,0,0,
December 2011,29,0,0,0,0,
January 2012,26,0,0,0,0,
February 2012,24,0,0,0,0,
March 2012,15,0,0,0,0,
April 2012,26,0,0,0,0,
May 2012,25,0,0,0,0,
June 2012,31,0,0,0,0,
July 2012,24,0,0,0,0,
August 2012,23,0,0,0,0,
September 2012,30,0,0,0,0,
October 2012,34,0,0,0,0,
November 2012,26,0,0,0,0,
December 2012,27,0,6,0,0,
January 2013,25,0,8,0,0,
February 2013,28,0,0,0,0,
March 2013,29,0,0,0,0,
April 2013,31,0,0,0,0,
May 2013,23,0,0,0,0,
June 2013,25,0,0,0,0,
July 2013,24,0,0,0,0,
August 2013,26,0,0,0,0,
September 2013,31,0,0,0,0,
October 2013,27,0,0,0,0,
November 2013,16,0,0,0,0,
December 2013,30,0,0,0,0,
January 2014,30,0,7,0,0,
February 2014,29,0,6,0,0,
March 2014,21,0,6,0,0,
April 2014,18,0,7,0,0,
May 2014,31,0,0,0,0,
June 2014,27,0,0,0,0,
July 2014,23,0,0,0,0,
August 2014,22,0,0,0,0,
September 2014,28,0,0,0,0,
October 2014,23,0,0,0,0,
November 2014,18,0,0,0,0,
December 2014,20,0,0,0,0,
January 2015,26,0,0,0,0,
February 2015,27,0,6,0,0,
March 2015,30,0,0,0,0,
April 2015,19,0,0,0,0,
May 2015,25,0,0,0,0,
June 2015,28,0,0,0,0,
July 2015,20,0,0,0,0,
August 2015,30,0,0,0,0,
September 2015,17,0,0,0,0,
October 2015,28,0,0,0,0,
