Date,building inspection services,testing laboratories,
December 2003,0,0,
January 2004,0,0,
February 2004,0,0,
March 2004,0,0,
April 2004,0,0,
May 2004,0,0,
June 2004,0,0,
July 2004,0,0,
August 2004,0,0,
September 2004,0,0,
October 2004,0,0,
November 2004,0,0,
December 2004,0,0,
January 2005,0,0,
February 2005,0,0,
March 2005,0,0,
April 2005,0,0,
May 2005,0,0,
June 2005,0,0,
July 2005,0,0,
August 2005,0,0,
September 2005,0,0,
October 2005,0,0,
November 2005,0,0,
December 2005,0,0,
January 2006,0,0,
February 2006,0,0,
March 2006,0,0,
April 2006,0,0,
May 2006,0,0,
June 2006,0,0,
July 2006,0,0,
August 2006,0,0,
September 2006,0,0,
October 2006,0,0,
November 2006,0,0,
December 2006,0,0,
January 2007,0,0,
February 2007,0,0,
March 2007,0,0,
April 2007,0,0,
May 2007,0,0,
June 2007,0,0,
July 2007,0,0,
August 2007,0,0,
September 2007,0,0,
October 2007,0,0,
November 2007,0,0,
December 2007,0,0,
January 2008,0,0,
February 2008,0,0,
March 2008,0,0,
April 2008,0,0,
May 2008,0,0,
June 2008,0,0,
July 2008,0,0,
August 2008,0,0,
September 2008,0,0,
October 2008,0,0,
November 2008,0,0,
December 2008,0,0,
January 2009,0,0,
February 2009,0,0,
March 2009,0,0,
April 2009,0,89,
May 2009,0,73,
June 2009,0,73,
July 2009,0,73,
August 2009,0,73,
September 2009,0,87,
October 2009,0,100,
November 2009,0,66,
December 2009,0,66,
January 2010,0,0,
February 2010,0,0,
March 2010,0,0,
April 2010,0,0,
May 2010,0,0,
June 2010,0,0,
July 2010,0,0,
August 2010,0,63,
September 2010,0,45,
October 2010,0,45,
November 2010,0,45,
December 2010,0,45,
January 2011,0,49,
February 2011,0,55,
March 2011,0,60,
April 2011,0,66,
May 2011,0,48,
June 2011,0,49,
July 2011,0,50,
August 2011,0,45,
September 2011,0,45,
October 2011,0,46,
November 2011,0,48,
December 2011,0,40,
January 2012,0,40,
February 2012,0,53,
March 2012,0,50,
April 2012,0,40,
May 2012,0,40,
June 2012,0,55,
July 2012,0,45,
August 2012,0,38,
September 2012,0,39,
October 2012,0,39,
November 2012,0,42,
December 2012,0,29,
January 2013,0,29,
February 2013,0,29,
March 2013,0,36,
April 2013,0,53,
May 2013,0,40,
June 2013,0,44,
July 2013,0,39,
August 2013,0,33,
September 2013,0,34,
October 2013,0,27,
November 2013,0,36,
December 2013,0,45,
January 2014,0,33,
February 2014,0,33,
March 2014,0,36,
April 2014,0,59,
May 2014,0,33,
June 2014,0,39,
July 2014,0,46,
August 2014,0,35,
September 2014,0,43,
October 2014,0,30,
November 2014,0,30,
December 2014,0,30,
January 2015,0,35,
February 2015,0,32,
March 2015,0,28,
April 2015,0,31,
May 2015,0,34,
June 2015,0,28,
July 2015,0,28,
August 2015,0,28,
September 2015,0,36,
October 2015,0,0,
