Date,management of companies,management of enterprises,holding companies,enterprise asset management,
December 2003,0,0,0,0,
January 2004,0,0,0,0,
February 2004,0,0,0,0,
March 2004,0,0,0,0,
April 2004,0,0,0,0,
May 2004,0,0,0,0,
June 2004,0,0,0,0,
July 2004,0,0,0,0,
August 2004,0,0,0,0,
September 2004,0,0,0,0,
October 2004,0,0,0,0,
November 2004,0,0,0,0,
December 2004,0,0,0,0,
January 2005,0,0,0,0,
February 2005,0,0,0,0,
March 2005,0,0,0,0,
April 2005,0,0,0,0,
May 2005,0,0,0,0,
June 2005,0,0,0,0,
July 2005,0,0,0,0,
August 2005,0,0,0,0,
September 2005,0,0,0,0,
October 2005,0,0,0,0,
November 2005,0,0,0,0,
December 2005,0,0,0,0,
January 2006,0,0,0,0,
February 2006,0,0,0,0,
March 2006,0,0,0,0,
April 2006,0,0,0,0,
May 2006,0,0,0,0,
June 2006,0,0,0,0,
July 2006,0,0,0,0,
August 2006,0,0,0,0,
September 2006,0,0,0,0,
October 2006,0,0,0,0,
November 2006,0,0,0,0,
December 2006,0,0,0,0,
January 2007,0,0,0,0,
February 2007,0,0,0,0,
March 2007,0,0,0,0,
April 2007,0,0,0,0,
May 2007,0,0,0,0,
June 2007,0,0,0,0,
July 2007,0,0,0,0,
August 2007,0,0,0,0,
September 2007,93,0,0,0,
October 2007,0,0,0,0,
November 2007,0,0,0,0,
December 2007,0,0,0,0,
January 2008,0,0,0,0,
February 2008,0,0,0,0,
March 2008,0,0,0,0,
April 2008,0,0,0,0,
May 2008,0,0,0,0,
June 2008,0,0,0,0,
July 2008,0,0,0,0,
August 2008,0,0,0,0,
September 2008,0,0,0,0,
October 2008,0,0,0,0,
November 2008,0,0,0,0,
December 2008,0,0,0,0,
January 2009,0,0,0,0,
February 2009,90,0,0,0,
March 2009,0,0,0,0,
April 2009,0,0,0,0,
May 2009,0,0,0,0,
June 2009,0,0,0,0,
July 2009,0,0,0,0,
August 2009,0,0,0,0,
September 2009,0,0,0,0,
October 2009,86,0,0,0,
November 2009,93,0,0,0,
December 2009,100,0,0,0,
January 2010,85,0,0,0,
February 2010,69,0,0,0,
March 2010,78,0,0,0,
April 2010,78,0,0,0,
May 2010,78,0,0,0,
June 2010,78,0,0,0,
July 2010,73,0,0,0,
August 2010,73,0,0,0,
September 2010,69,0,0,0,
October 2010,72,0,0,0,
November 2010,57,0,0,0,
December 2010,49,0,0,0,
January 2011,60,0,0,0,
February 2011,64,0,0,0,
March 2011,68,0,0,0,
April 2011,45,0,0,0,
May 2011,45,0,0,0,
June 2011,51,0,0,0,
July 2011,57,0,0,0,
August 2011,62,0,0,0,
September 2011,45,0,0,0,
October 2011,62,0,0,0,
November 2011,46,0,0,0,
December 2011,52,0,0,0,
January 2012,74,0,0,0,
February 2012,45,0,0,0,
March 2012,62,0,0,0,
April 2012,70,0,0,0,
May 2012,71,0,0,0,
June 2012,67,0,0,0,
July 2012,71,0,0,0,
August 2012,66,0,0,0,
September 2012,56,0,0,0,
October 2012,79,0,0,0,
November 2012,58,0,0,0,
December 2012,41,0,0,0,
January 2013,55,0,0,0,
February 2013,71,0,0,0,
March 2013,66,0,30,0,
April 2013,74,0,0,0,
May 2013,60,0,0,0,
June 2013,44,0,0,0,
July 2013,44,0,0,0,
August 2013,74,0,0,0,
September 2013,57,0,0,0,
October 2013,56,0,0,0,
November 2013,50,0,0,0,
December 2013,86,0,0,0,
January 2014,81,0,0,0,
February 2014,83,0,0,0,
March 2014,59,0,0,0,
April 2014,52,0,36,0,
May 2014,54,0,31,0,
June 2014,40,0,31,0,
July 2014,46,0,31,0,
August 2014,52,0,31,0,
September 2014,52,0,39,0,
October 2014,53,0,37,0,
November 2014,44,0,32,0,
December 2014,50,0,32,0,
January 2015,79,0,43,0,
February 2015,61,0,34,0,
March 2015,66,0,34,0,
April 2015,84,0,34,0,
May 2015,52,0,39,0,
June 2015,62,0,37,0,
July 2015,48,0,37,0,
August 2015,60,0,30,0,
September 2015,40,0,30,0,
October 2015,0,0,0,0,
