Date,office administration services,placement agencies,headhunters,call centers,business service centers,
December 2003,0,55,0,0,0,
January 2004,0,56,95,0,0,
February 2004,0,54,97,0,0,
March 2004,0,54,100,0,0,
April 2004,0,52,71,60,0,
May 2004,0,58,100,0,0,
June 2004,0,82,65,0,0,
July 2004,0,62,65,0,0,
August 2004,0,73,80,0,0,
September 2004,0,55,90,0,0,
October 2004,0,55,68,52,0,
November 2004,0,36,72,41,0,
December 2004,0,36,92,41,0,
January 2005,0,54,79,45,0,
February 2005,0,49,75,33,0,
March 2005,0,41,87,35,0,
April 2005,0,44,82,46,0,
May 2005,0,60,45,45,0,
June 2005,0,45,80,40,0,
July 2005,0,43,65,38,0,
August 2005,0,38,40,30,0,
September 2005,0,34,52,30,0,
October 2005,0,28,58,30,0,
November 2005,0,29,51,37,0,
December 2005,0,31,87,36,0,
January 2006,0,40,61,36,0,
February 2006,0,33,68,32,0,
March 2006,0,41,52,29,0,
April 2006,0,47,73,39,0,
May 2006,0,33,53,41,0,
June 2006,0,38,36,32,0,
July 2006,0,37,59,32,0,
August 2006,0,28,69,30,0,
September 2006,0,21,50,20,0,
October 2006,0,22,41,22,0,
November 2006,0,21,32,19,0,
December 2006,0,23,63,31,0,
January 2007,0,30,51,28,0,
February 2007,0,20,47,32,0,
March 2007,0,28,44,26,0,
April 2007,0,29,43,21,0,
May 2007,0,43,50,33,0,
June 2007,0,35,43,36,0,
July 2007,0,23,51,14,0,
August 2007,0,29,54,31,0,
September 2007,0,26,49,17,0,
October 2007,0,21,38,15,0,
November 2007,0,19,30,18,0,
December 2007,0,31,49,28,0,
January 2008,0,31,51,28,0,
February 2008,0,28,39,28,0,
March 2008,0,22,50,25,0,
April 2008,0,28,41,19,0,
May 2008,0,24,46,23,0,
June 2008,0,24,49,18,0,
July 2008,0,30,38,21,0,
August 2008,0,21,47,15,0,
September 2008,0,22,38,19,0,
October 2008,0,14,46,17,0,
November 2008,0,13,32,18,0,
December 2008,0,27,38,22,0,
January 2009,0,20,34,19,0,
February 2009,0,14,34,24,0,
March 2009,0,13,39,22,0,
April 2009,0,24,41,21,0,
May 2009,0,20,51,19,0,
June 2009,0,27,50,16,0,
July 2009,0,17,53,14,0,
August 2009,0,24,55,20,0,
September 2009,0,28,48,33,0,
October 2009,0,22,56,23,0,
November 2009,0,22,34,14,0,
December 2009,0,22,52,18,0,
January 2010,0,22,49,17,0,
February 2010,0,29,64,17,0,
March 2010,0,21,50,23,0,
April 2010,0,28,63,19,0,
May 2010,0,33,45,14,0,
June 2010,0,18,62,18,0,
July 2010,0,27,63,11,0,
August 2010,0,26,55,13,0,
September 2010,0,23,39,11,0,
October 2010,0,23,43,15,0,
November 2010,0,10,34,12,0,
December 2010,0,26,47,14,0,
January 2011,0,21,44,15,0,
February 2011,0,26,46,15,0,
March 2011,0,20,49,12,0,
April 2011,0,25,46,11,0,
May 2011,0,23,54,11,0,
June 2011,0,23,41,14,0,
July 2011,0,24,58,14,0,
August 2011,0,17,53,15,0,
September 2011,0,20,45,8,0,
October 2011,0,19,46,12,0,
November 2011,0,15,45,7,0,
December 2011,0,24,46,16,0,
January 2012,0,21,46,14,0,
February 2012,0,19,60,9,0,
March 2012,0,20,60,12,0,
April 2012,0,24,70,14,0,
May 2012,0,19,60,9,0,
June 2012,0,21,76,16,0,
July 2012,0,19,69,9,0,
August 2012,0,24,87,7,0,
September 2012,0,20,65,8,0,
October 2012,0,17,47,10,0,
November 2012,0,13,45,7,0,
December 2012,0,17,62,11,0,
January 2013,0,19,70,10,0,
February 2013,0,16,48,8,0,
March 2013,0,19,59,6,0,
April 2013,0,20,52,16,0,
May 2013,0,20,52,8,0,
June 2013,0,17,59,12,0,
July 2013,0,16,51,8,0,
August 2013,0,16,52,9,0,
September 2013,0,18,47,7,0,
October 2013,0,15,48,7,0,
November 2013,0,12,36,7,0,
December 2013,0,20,53,8,0,
January 2014,0,15,52,10,0,
February 2014,0,12,45,8,0,
March 2014,0,13,48,7,0,
April 2014,0,15,50,10,0,
May 2014,0,14,51,8,0,
June 2014,0,15,47,7,0,
July 2014,0,13,47,9,0,
August 2014,0,17,49,5,0,
September 2014,0,8,46,9,0,
October 2014,0,7,34,8,0,
November 2014,0,9,33,7,0,
December 2014,0,12,43,8,0,
January 2015,0,17,45,6,0,
February 2015,0,14,38,7,0,
March 2015,0,10,36,6,0,
April 2015,0,11,34,10,0,
May 2015,0,10,46,5,0,
June 2015,0,9,36,5,0,
July 2015,0,12,36,9,0,
August 2015,0,9,31,9,0,
September 2015,0,9,29,8,0,
October 2015,0,0,45,10,0,
