Date,collection agencies,credit bureaus,travel agency,tour operator,credit bureau,
December 2003,0,0,91,0,25,
January 2004,0,0,100,0,25,
February 2004,0,0,91,0,20,
March 2004,0,0,76,0,36,
April 2004,0,0,79,0,21,
May 2004,16,0,80,0,32,
June 2004,11,0,98,0,35,
July 2004,11,0,77,0,32,
August 2004,12,0,74,0,30,
September 2004,12,0,60,0,31,
October 2004,12,0,80,0,25,
November 2004,12,0,63,0,18,
December 2004,12,0,94,0,21,
January 2005,12,0,67,0,23,
February 2005,11,0,82,10,25,
March 2005,11,0,86,0,25,
April 2005,8,0,81,0,27,
May 2005,8,0,88,0,18,
June 2005,8,0,72,0,14,
July 2005,10,0,81,0,24,
August 2005,7,0,66,0,22,
September 2005,7,0,57,0,16,
October 2005,7,0,59,0,15,
November 2005,8,0,58,0,11,
December 2005,10,0,72,0,18,
January 2006,6,0,63,6,23,
February 2006,6,0,66,6,20,
March 2006,10,0,65,0,13,
April 2006,10,0,59,0,19,
May 2006,6,0,61,0,17,
June 2006,6,0,69,0,26,
July 2006,7,0,64,0,22,
August 2006,6,0,50,0,20,
September 2006,5,0,45,5,12,
October 2006,5,0,56,5,16,
November 2006,4,0,48,0,10,
December 2006,5,4,58,0,20,
January 2007,8,0,53,0,17,
February 2007,5,0,53,0,14,
March 2007,6,0,46,0,18,
April 2007,6,0,54,0,15,
May 2007,7,0,53,0,15,
June 2007,8,0,57,4,16,
July 2007,4,0,46,4,19,
August 2007,5,4,42,3,16,
September 2007,7,0,51,3,13,
October 2007,7,0,46,3,18,
November 2007,3,0,43,3,8,
December 2007,7,0,56,3,18,
January 2008,5,0,52,3,14,
February 2008,5,0,50,3,15,
March 2008,5,3,51,3,17,
April 2008,6,0,49,3,13,
May 2008,4,0,38,3,15,
June 2008,4,0,52,3,12,
July 2008,5,0,49,0,16,
August 2008,6,0,42,0,15,
September 2008,6,0,42,0,15,
October 2008,4,0,39,0,10,
November 2008,4,0,37,0,11,
December 2008,5,3,51,3,11,
January 2009,6,0,52,3,13,
February 2009,6,0,46,3,13,
March 2009,4,0,46,3,15,
April 2009,6,0,33,0,16,
May 2009,6,0,33,0,15,
June 2009,6,0,36,0,16,
July 2009,6,0,38,0,16,
August 2009,6,0,40,0,14,
September 2009,6,0,37,0,15,
October 2009,7,0,38,0,14,
November 2009,5,0,31,0,12,
December 2009,5,0,46,0,12,
January 2010,6,0,43,0,16,
February 2010,6,0,45,0,15,
March 2010,6,0,38,0,19,
April 2010,6,0,39,0,14,
May 2010,6,2,44,0,14,
June 2010,4,0,41,0,12,
July 2010,6,0,41,0,15,
August 2010,5,0,35,3,12,
September 2010,4,0,32,2,10,
October 2010,6,0,32,2,10,
November 2010,5,0,27,2,10,
December 2010,6,0,41,2,11,
January 2011,4,0,37,2,12,
February 2011,4,0,35,2,15,
March 2011,4,0,29,2,12,
April 2011,5,0,33,2,11,
May 2011,4,0,32,2,13,
June 2011,3,0,33,2,11,
July 2011,4,0,31,2,12,
August 2011,4,0,30,3,12,
September 2011,3,0,28,2,9,
October 2011,4,0,31,1,10,
November 2011,3,0,28,1,8,
December 2011,3,1,37,2,12,
January 2012,4,0,33,1,12,
February 2012,3,0,31,1,11,
March 2012,3,0,26,1,10,
April 2012,3,0,32,1,12,
May 2012,4,0,31,1,10,
June 2012,5,0,29,1,11,
July 2012,3,0,31,1,13,
August 2012,4,0,29,1,11,
September 2012,4,0,32,2,10,
October 2012,4,1,30,1,11,
November 2012,3,1,25,1,6,
December 2012,4,2,37,1,12,
January 2013,3,1,35,2,10,
February 2013,2,1,33,2,10,
March 2013,4,1,32,1,10,
April 2013,3,1,32,1,11,
May 2013,3,1,30,1,10,
June 2013,3,1,31,1,9,
July 2013,4,1,29,1,11,
August 2013,3,0,30,2,9,
September 2013,3,0,29,2,9,
October 2013,3,0,28,1,9,
November 2013,2,0,27,1,7,
December 2013,3,0,37,2,11,
January 2014,3,0,33,2,10,
February 2014,3,0,32,2,10,
March 2014,3,0,30,1,11,
April 2014,3,0,29,1,11,
May 2014,3,0,28,1,10,
June 2014,3,0,31,1,13,
July 2014,2,0,28,1,11,
August 2014,3,0,28,2,10,
September 2014,3,0,28,1,9,
October 2014,3,0,30,1,9,
November 2014,2,0,30,1,8,
December 2014,3,0,38,1,11,
January 2015,3,0,35,1,10,
February 2015,3,0,31,1,11,
March 2015,3,1,29,1,10,
April 2015,2,0,26,1,12,
May 2015,3,0,29,1,12,
June 2015,2,0,29,1,12,
July 2015,2,0,30,1,10,
August 2015,2,0,29,1,11,
September 2015,2,1,25,1,7,
October 2015,2,0,28,0,14,
