Date,travel reservation,temporary worker,
December 2003,0,0,
January 2004,0,0,
February 2004,0,0,
March 2004,0,0,
April 2004,0,0,
May 2004,0,0,
June 2004,0,0,
July 2004,0,0,
August 2004,0,0,
September 2004,0,0,
October 2004,0,0,
November 2004,0,0,
December 2004,0,0,
January 2005,0,0,
February 2005,0,0,
March 2005,0,0,
April 2005,0,0,
May 2005,0,0,
June 2005,0,0,
July 2005,0,0,
August 2005,0,0,
September 2005,0,0,
October 2005,0,0,
November 2005,0,0,
December 2005,0,0,
January 2006,0,0,
February 2006,0,0,
March 2006,0,0,
April 2006,0,0,
May 2006,0,0,
June 2006,0,0,
July 2006,0,0,
August 2006,0,0,
September 2006,0,0,
October 2006,0,0,
November 2006,0,0,
December 2006,0,0,
January 2007,0,0,
February 2007,0,0,
March 2007,0,0,
April 2007,0,0,
May 2007,0,0,
June 2007,0,0,
July 2007,0,0,
August 2007,0,0,
September 2007,0,0,
October 2007,0,0,
November 2007,0,0,
December 2007,0,0,
January 2008,0,14,
February 2008,0,17,
March 2008,0,16,
April 2008,0,0,
May 2008,0,0,
June 2008,0,0,
July 2008,0,0,
August 2008,0,0,
September 2008,0,11,
October 2008,0,13,
November 2008,0,14,
December 2008,0,16,
January 2009,0,18,
February 2009,0,11,
March 2009,0,11,
April 2009,0,11,
May 2009,0,11,
June 2009,0,11,
July 2009,0,11,
August 2009,0,11,
September 2009,0,13,
October 2009,0,11,
November 2009,0,10,
December 2009,0,11,
January 2010,0,12,
February 2010,0,13,
March 2010,0,14,
April 2010,0,12,
May 2010,0,12,
June 2010,0,11,
July 2010,0,11,
August 2010,0,11,
September 2010,0,12,
October 2010,0,10,
November 2010,0,11,
December 2010,0,11,
January 2011,0,10,
February 2011,0,11,
March 2011,0,16,
April 2011,0,11,
May 2011,0,14,
June 2011,0,17,
July 2011,0,11,
August 2011,0,14,
September 2011,0,12,
October 2011,0,16,
November 2011,0,13,
December 2011,0,17,
January 2012,0,15,
February 2012,0,16,
March 2012,0,18,
April 2012,0,13,
May 2012,0,19,
June 2012,0,15,
July 2012,0,11,
August 2012,0,12,
September 2012,0,17,
October 2012,0,21,
November 2012,0,14,
December 2012,0,14,
January 2013,0,16,
February 2013,4,18,
March 2013,0,43,
April 2013,0,34,
May 2013,0,29,
June 2013,0,24,
July 2013,0,23,
August 2013,0,24,
September 2013,0,22,
October 2013,0,20,
November 2013,0,16,
December 2013,0,21,
January 2014,0,27,
February 2014,4,22,
March 2014,0,84,
April 2014,0,100,
May 2014,0,93,
June 2014,0,55,
July 2014,0,37,
August 2014,0,41,
September 2014,0,35,
October 2014,0,39,
November 2014,0,26,
December 2014,0,34,
January 2015,0,39,
February 2015,4,48,
March 2015,5,59,
April 2015,5,26,
May 2015,5,20,
June 2015,6,20,
July 2015,0,19,
August 2015,0,26,
September 2015,0,21,
October 2015,0,16,
