Date,university admission,college admissions,university rankings,college rankings,law school,
December 2003,14,0,14,0,77,
January 2004,11,0,19,0,71,
February 2004,11,0,16,0,67,
March 2004,9,0,10,0,68,
April 2004,9,0,10,0,75,
May 2004,9,0,8,0,68,
June 2004,10,0,8,0,75,
July 2004,8,0,8,0,75,
August 2004,12,0,13,0,83,
September 2004,10,0,12,7,100,
October 2004,10,0,12,7,74,
November 2004,10,0,15,6,56,
December 2004,14,0,9,6,63,
January 2005,13,0,11,0,73,
February 2005,13,0,14,0,65,
March 2005,13,0,8,0,65,
April 2005,10,0,11,0,54,
May 2005,9,0,8,0,60,
June 2005,8,0,10,0,52,
July 2005,9,0,11,0,60,
August 2005,10,0,9,5,69,
September 2005,9,0,11,7,71,
October 2005,11,0,18,6,48,
November 2005,6,0,10,3,53,
December 2005,13,0,11,3,61,
January 2006,11,0,12,3,52,
February 2006,12,0,14,3,47,
March 2006,11,0,7,4,49,
April 2006,8,0,9,4,42,
May 2006,9,0,8,4,47,
June 2006,6,0,10,4,42,
July 2006,8,0,9,4,45,
August 2006,11,0,10,5,49,
September 2006,9,0,13,8,63,
October 2006,10,0,13,6,46,
November 2006,7,0,8,4,44,
December 2006,10,0,7,4,54,
January 2007,12,4,8,2,44,
February 2007,8,2,10,3,45,
March 2007,8,2,10,2,41,
April 2007,7,3,9,2,42,
May 2007,8,2,7,2,44,
June 2007,9,2,7,3,45,
July 2007,8,2,7,3,45,
August 2007,11,2,11,5,51,
September 2007,10,2,9,8,55,
October 2007,10,2,17,7,40,
November 2007,9,3,8,3,36,
December 2007,14,2,8,5,46,
January 2008,13,3,7,3,37,
February 2008,10,3,10,3,43,
March 2008,10,2,9,3,47,
April 2008,10,2,8,2,42,
May 2008,10,2,6,2,38,
June 2008,8,2,6,3,35,
July 2008,6,3,6,3,36,
August 2008,10,2,10,6,49,
September 2008,10,2,15,6,57,
October 2008,9,3,12,7,48,
November 2008,8,2,10,6,39,
December 2008,12,4,10,5,50,
January 2009,14,3,10,7,44,
February 2009,11,3,9,5,44,
March 2009,8,3,11,4,40,
April 2009,9,3,11,3,44,
May 2009,9,4,7,3,46,
June 2009,8,3,9,5,44,
July 2009,7,5,8,9,56,
August 2009,12,3,12,23,55,
September 2009,11,4,22,19,61,
October 2009,12,4,15,20,55,
November 2009,11,5,10,11,46,
December 2009,14,6,12,13,55,
January 2010,13,6,14,11,49,
February 2010,13,6,14,13,54,
March 2010,13,6,12,8,49,
April 2010,12,5,11,7,46,
May 2010,9,4,8,5,48,
June 2010,8,5,10,6,46,
July 2010,9,6,12,12,51,
August 2010,10,5,35,16,52,
September 2010,10,5,13,19,60,
October 2010,11,5,16,14,48,
November 2010,11,6,11,10,44,
December 2010,16,5,11,5,45,
January 2011,13,4,11,4,38,
February 2011,12,5,11,4,36,
March 2011,12,4,9,2,38,
April 2011,14,3,10,2,37,
May 2011,12,3,9,2,37,
June 2011,9,4,8,2,33,
July 2011,9,4,10,3,39,
August 2011,13,3,32,7,48,
September 2011,13,2,24,7,49,
October 2011,13,4,13,8,40,
November 2011,12,3,11,6,33,
December 2011,17,4,12,5,41,
January 2012,15,4,11,5,36,
February 2012,13,4,12,4,38,
March 2012,12,4,10,4,35,
April 2012,15,4,11,3,38,
May 2012,12,3,9,2,34,
June 2012,11,4,9,2,36,
July 2012,11,4,9,3,36,
August 2012,15,4,18,7,43,
September 2012,14,3,18,9,48,
October 2012,14,3,14,12,37,
November 2012,13,2,10,5,32,
December 2012,16,5,10,5,39,
January 2013,18,5,11,4,37,
February 2013,14,4,12,5,33,
March 2013,13,4,9,2,32,
April 2013,14,4,10,2,33,
May 2013,12,4,8,2,30,
June 2013,10,4,7,2,29,
July 2013,11,4,8,3,36,
August 2013,14,4,17,7,41,
September 2013,14,2,12,6,41,
October 2013,15,3,11,5,32,
November 2013,14,3,9,5,31,
December 2013,20,4,9,5,41,
January 2014,19,5,10,3,35,
February 2014,15,4,12,4,35,
March 2014,14,4,10,2,34,
April 2014,15,4,10,3,33,
May 2014,13,4,8,2,33,
June 2014,12,4,7,2,30,
July 2014,12,4,11,3,31,
August 2014,16,3,16,7,42,
September 2014,17,4,18,11,44,
October 2014,18,3,12,11,35,
November 2014,16,3,8,8,31,
December 2014,19,5,11,4,38,
January 2015,20,4,10,4,37,
February 2015,16,4,11,4,38,
March 2015,16,4,10,2,35,
April 2015,15,3,9,2,32,
May 2015,12,4,8,2,32,
June 2015,11,3,7,2,30,
July 2015,12,4,10,3,31,
August 2015,18,4,15,6,39,
September 2015,16,3,12,8,40,
October 2015,19,3,13,14,38,
