Date,business school,graduate school,medical school,trade school,language school,
December 2003,78,30,68,0,27,
January 2004,80,24,78,0,22,
February 2004,79,20,72,0,22,
March 2004,72,22,54,0,22,
April 2004,66,18,72,9,30,
May 2004,69,14,82,8,20,
June 2004,59,16,72,8,24,
July 2004,77,18,78,8,25,
August 2004,81,21,100,8,27,
September 2004,75,24,54,8,25,
October 2004,67,21,64,8,17,
November 2004,55,17,54,7,23,
December 2004,86,21,62,6,15,
January 2005,77,18,74,7,26,
February 2005,62,17,62,5,21,
March 2005,63,22,52,6,17,
April 2005,62,24,58,7,20,
May 2005,64,19,66,6,20,
June 2005,57,16,73,6,19,
July 2005,65,18,69,6,21,
August 2005,71,21,82,6,21,
September 2005,63,19,58,5,18,
October 2005,74,23,50,5,20,
November 2005,57,19,40,5,10,
December 2005,66,27,59,8,17,
January 2006,69,20,58,5,19,
February 2006,69,22,58,5,15,
March 2006,59,14,55,5,15,
April 2006,57,14,55,4,18,
May 2006,47,16,53,5,17,
June 2006,43,11,53,7,17,
July 2006,55,13,66,6,22,
August 2006,67,23,66,7,22,
September 2006,63,15,56,6,16,
October 2006,54,20,48,5,14,
November 2006,49,14,39,6,13,
December 2006,56,22,53,6,17,
January 2007,56,14,53,7,16,
February 2007,51,15,41,4,15,
March 2007,54,16,43,5,15,
April 2007,53,14,55,5,14,
May 2007,51,14,48,6,10,
June 2007,52,13,53,5,14,
July 2007,53,15,55,4,17,
August 2007,62,18,59,5,19,
September 2007,52,16,51,5,14,
October 2007,58,18,41,4,11,
November 2007,49,16,40,5,12,
December 2007,56,21,54,5,18,
January 2008,52,17,54,6,14,
February 2008,53,14,43,5,14,
March 2008,54,16,42,6,16,
April 2008,51,15,47,6,13,
May 2008,49,15,53,5,15,
June 2008,50,13,49,5,14,
July 2008,43,13,49,4,17,
August 2008,65,18,59,5,21,
September 2008,60,14,46,5,17,
October 2008,56,20,38,4,10,
November 2008,44,16,33,3,9,
December 2008,60,21,44,7,16,
January 2009,53,17,50,6,13,
February 2009,49,17,45,6,13,
March 2009,52,16,49,4,12,
April 2009,53,15,48,3,10,
May 2009,53,16,41,6,14,
June 2009,48,16,50,5,11,
July 2009,54,21,53,5,13,
August 2009,63,22,59,4,15,
September 2009,59,22,51,6,12,
October 2009,71,24,52,6,13,
November 2009,50,20,37,5,9,
December 2009,75,32,51,7,19,
January 2010,62,22,47,6,14,
February 2010,65,23,45,5,12,
March 2010,59,23,54,4,12,
April 2010,60,20,53,4,14,
May 2010,52,21,55,6,14,
June 2010,43,19,50,6,11,
July 2010,56,21,55,4,13,
August 2010,60,21,56,5,14,
September 2010,59,20,52,4,11,
October 2010,63,22,42,5,11,
November 2010,50,20,37,5,10,
December 2010,56,20,44,6,11,
January 2011,52,17,44,6,12,
February 2011,50,15,42,4,12,
March 2011,46,16,36,4,9,
April 2011,45,14,47,4,10,
May 2011,44,17,49,4,10,
June 2011,42,14,47,3,10,
July 2011,46,14,50,4,11,
August 2011,57,20,57,5,15,
September 2011,53,16,48,4,10,
October 2011,52,18,41,4,10,
November 2011,44,16,35,4,8,
December 2011,56,23,48,5,11,
January 2012,55,18,45,5,10,
February 2012,50,17,43,4,10,
March 2012,47,15,42,5,12,
April 2012,46,16,50,4,11,
May 2012,44,15,44,4,10,
June 2012,44,16,48,4,9,
July 2012,43,16,49,4,10,
August 2012,57,19,55,6,12,
September 2012,52,17,44,4,11,
October 2012,55,20,39,4,10,
November 2012,42,16,36,4,7,
December 2012,57,22,42,6,10,
January 2013,52,19,42,5,11,
February 2013,47,15,43,5,10,
March 2013,48,14,40,5,11,
April 2013,46,16,44,4,10,
May 2013,42,14,44,4,11,
June 2013,38,12,42,4,9,
July 2013,40,14,44,5,9,
August 2013,55,16,49,6,14,
September 2013,48,15,39,5,11,
October 2013,50,17,35,5,10,
November 2013,42,14,34,5,9,
December 2013,54,21,43,5,13,
January 2014,52,16,42,5,11,
February 2014,50,15,41,6,12,
March 2014,45,14,38,5,13,
April 2014,46,14,48,5,12,
May 2014,41,15,41,4,11,
June 2014,40,13,41,4,10,
July 2014,43,14,46,5,12,
August 2014,51,16,50,6,16,
September 2014,50,16,44,5,12,
October 2014,47,15,37,5,11,
November 2014,40,15,35,5,10,
December 2014,53,21,40,7,14,
January 2015,50,16,39,6,17,
February 2015,46,14,40,5,15,
March 2015,43,14,39,5,11,
April 2015,41,14,42,5,11,
May 2015,40,15,45,4,12,
June 2015,36,12,40,3,10,
July 2015,42,12,42,6,11,
August 2015,54,16,50,6,16,
September 2015,48,14,40,5,12,
October 2015,50,15,39,7,13,
