Date,fine arts school,tutoring,test preparation,gre,gmat,
December 2003,0,64,0,51,82,
January 2004,0,44,0,58,76,
February 2004,0,42,0,51,65,
March 2004,0,42,0,54,79,
April 2004,0,54,0,68,67,
May 2004,0,42,0,80,83,
June 2004,0,52,0,72,79,
July 2004,0,52,0,84,76,
August 2004,18,70,0,88,79,
September 2004,19,41,0,88,68,
October 2004,19,59,0,70,63,
November 2004,20,41,0,70,62,
December 2004,20,78,0,65,66,
January 2005,20,60,0,61,68,
February 2005,15,46,0,55,58,
March 2005,16,51,0,50,69,
April 2005,17,38,0,74,72,
May 2005,14,48,0,53,61,
June 2005,12,39,0,76,85,
July 2005,12,42,0,98,83,
August 2005,12,66,0,87,88,
September 2005,11,54,0,100,83,
October 2005,11,53,0,89,73,
November 2005,11,40,0,73,72,
December 2005,11,57,0,55,80,
January 2006,11,43,10,52,63,
February 2006,12,39,9,41,56,
March 2006,12,52,0,41,60,
April 2006,12,42,0,61,63,
May 2006,12,37,0,49,48,
June 2006,12,34,0,62,62,
July 2006,12,45,0,71,74,
August 2006,8,59,0,68,64,
September 2006,8,51,0,89,59,
October 2006,10,47,0,78,58,
November 2006,11,42,0,69,59,
December 2006,11,48,7,53,79,
January 2007,8,55,6,47,53,
February 2007,10,45,6,52,70,
March 2007,11,50,6,40,53,
April 2007,11,53,6,58,56,
May 2007,11,46,8,53,61,
June 2007,6,47,6,66,58,
July 2007,6,37,8,72,73,
August 2007,9,64,7,82,68,
September 2007,6,47,6,71,62,
October 2007,8,50,6,80,67,
November 2007,6,32,5,59,63,
December 2007,8,49,7,49,80,
January 2008,9,42,8,40,60,
February 2008,8,40,7,33,64,
March 2008,8,50,9,45,58,
April 2008,6,35,6,62,69,
May 2008,6,45,8,55,59,
June 2008,6,31,6,58,69,
July 2008,7,44,6,53,61,
August 2008,6,60,5,62,73,
September 2008,7,50,5,61,63,
October 2008,8,44,5,56,66,
November 2008,7,32,5,52,63,
December 2008,7,53,5,49,64,
January 2009,9,43,6,44,66,
February 2009,6,49,7,40,65,
March 2009,7,50,6,43,63,
April 2009,7,44,7,50,65,
May 2009,5,48,6,59,67,
June 2009,6,39,6,67,71,
July 2009,6,41,7,72,60,
August 2009,6,60,5,81,75,
September 2009,6,60,8,78,65,
October 2009,10,62,8,76,69,
November 2009,6,37,6,70,50,
December 2009,7,60,9,63,61,
January 2010,6,41,8,50,61,
February 2010,6,65,8,55,63,
March 2010,9,61,6,44,51,
April 2010,7,53,7,56,55,
May 2010,4,46,6,60,63,
June 2010,5,40,5,60,59,
July 2010,5,46,7,72,72,
August 2010,7,77,6,76,63,
September 2010,5,70,7,79,60,
October 2010,6,56,5,90,63,
November 2010,5,43,6,66,51,
December 2010,8,58,6,45,66,
January 2011,6,53,5,41,51,
February 2011,5,54,8,36,50,
March 2011,6,51,7,43,48,
April 2011,5,41,4,48,49,
May 2011,6,49,5,49,47,
June 2011,5,38,7,54,46,
July 2011,5,39,6,51,52,
August 2011,7,57,7,55,53,
September 2011,6,62,6,53,51,
October 2011,5,63,4,61,57,
November 2011,5,38,5,46,48,
December 2011,6,52,5,39,55,
January 2012,5,57,8,31,55,
February 2012,5,51,5,31,51,
March 2012,6,48,6,36,56,
April 2012,6,43,6,44,51,
May 2012,8,43,6,40,45,
June 2012,4,43,7,48,46,
July 2012,5,43,7,59,48,
August 2012,4,70,8,62,52,
September 2012,6,60,7,57,45,
October 2012,5,57,7,58,45,
November 2012,4,31,7,43,42,
December 2012,5,48,6,36,50,
January 2013,5,48,5,33,43,
February 2013,4,43,7,36,45,
March 2013,5,49,7,32,38,
April 2013,6,41,6,42,40,
May 2013,4,41,6,42,42,
June 2013,3,35,5,43,45,
July 2013,4,35,7,51,38,
August 2013,6,63,7,46,41,
September 2013,5,61,7,45,40,
October 2013,5,56,5,48,42,
November 2013,4,34,6,40,39,
December 2013,5,49,7,41,40,
January 2014,4,49,8,32,42,
February 2014,5,46,7,35,41,
March 2014,5,48,7,30,37,
April 2014,5,40,8,44,41,
May 2014,6,38,7,39,41,
June 2014,4,37,6,39,38,
July 2014,3,40,7,39,43,
August 2014,5,71,6,50,40,
September 2014,4,59,7,54,43,
October 2014,4,55,7,52,40,
November 2014,3,31,9,37,35,
December 2014,4,53,8,40,49,
January 2015,5,51,6,33,38,
February 2015,5,52,6,35,41,
March 2015,4,48,6,32,41,
April 2015,6,42,8,40,43,
May 2015,4,46,7,40,45,
June 2015,3,37,8,42,40,
July 2015,3,34,7,44,38,
August 2015,6,57,8,51,42,
September 2015,3,59,9,44,37,
October 2015,4,62,7,56,45,
