Date,lsat,mcat,cgep,university application,university programs,
December 2003,41,40,0,95,100,
January 2004,41,34,0,60,57,
February 2004,49,50,0,32,75,
March 2004,51,51,0,41,64,
April 2004,49,71,0,35,61,
May 2004,62,70,0,36,81,
June 2004,76,59,0,22,71,
July 2004,54,68,0,25,62,
August 2004,74,54,0,43,97,
September 2004,65,66,0,34,69,
October 2004,47,30,0,46,73,
November 2004,44,23,0,51,62,
December 2004,42,38,0,70,85,
January 2005,46,30,0,52,64,
February 2005,42,33,0,33,69,
March 2005,50,40,0,31,63,
April 2005,51,66,0,37,56,
May 2005,44,62,0,30,65,
June 2005,50,61,0,18,65,
July 2005,64,81,0,14,60,
August 2005,66,55,0,23,64,
September 2005,51,72,0,34,68,
October 2005,39,23,0,39,58,
November 2005,46,25,0,39,56,
December 2005,47,44,0,65,80,
January 2006,36,36,0,36,54,
February 2006,31,35,0,31,52,
March 2006,33,38,0,33,54,
April 2006,44,59,0,26,56,
May 2006,40,58,0,17,45,
June 2006,43,69,0,17,47,
July 2006,50,67,0,15,53,
August 2006,45,36,6,23,62,
September 2006,56,70,0,23,59,
October 2006,37,28,0,29,56,
November 2006,34,27,0,34,42,
December 2006,45,34,0,54,56,
January 2007,37,40,0,38,51,
February 2007,33,56,0,26,43,
March 2007,32,82,0,25,38,
April 2007,39,71,4,25,49,
May 2007,45,68,0,16,41,
June 2007,48,63,0,17,44,
July 2007,46,70,0,16,45,
August 2007,51,56,0,23,47,
September 2007,41,41,0,29,58,
October 2007,32,29,0,27,45,
November 2007,32,24,4,36,43,
December 2007,40,38,4,55,65,
January 2008,32,33,4,33,46,
February 2008,29,44,4,23,41,
March 2008,33,60,4,20,42,
April 2008,40,54,4,21,43,
May 2008,46,48,4,17,38,
June 2008,38,60,4,15,41,
July 2008,43,62,5,14,44,
August 2008,56,56,5,17,59,
September 2008,45,38,4,27,51,
October 2008,39,23,4,26,51,
November 2008,45,21,3,31,50,
December 2008,40,30,3,48,50,
January 2009,39,27,3,31,48,
February 2009,30,47,3,25,49,
March 2009,30,31,4,20,47,
April 2009,43,57,0,25,47,
May 2009,48,44,0,19,45,
June 2009,42,54,0,13,50,
July 2009,52,73,0,17,49,
August 2009,59,58,0,28,53,
September 2009,49,38,0,27,66,
October 2009,39,23,3,37,69,
November 2009,39,26,2,32,45,
December 2009,37,31,2,56,73,
January 2010,33,34,2,37,54,
February 2010,31,38,3,33,58,
March 2010,30,37,3,26,61,
April 2010,41,50,3,24,57,
May 2010,45,55,3,19,52,
June 2010,35,64,3,20,49,
July 2010,40,66,3,21,55,
August 2010,48,55,2,27,64,
September 2010,49,36,2,28,61,
October 2010,36,25,3,34,64,
November 2010,36,21,3,38,54,
December 2010,38,29,2,52,67,
January 2011,29,26,3,37,53,
February 2011,28,26,2,29,52,
March 2011,27,30,2,23,51,
April 2011,36,55,2,23,49,
May 2011,40,46,2,16,50,
June 2011,33,56,3,17,53,
July 2011,41,69,3,18,50,
August 2011,48,56,2,25,70,
September 2011,42,37,2,23,60,
October 2011,42,25,1,27,61,
November 2011,29,21,2,33,48,
December 2011,36,29,1,51,60,
January 2012,31,29,2,35,53,
February 2012,29,30,2,28,53,
March 2012,31,35,1,24,48,
April 2012,35,55,0,25,53,
May 2012,37,51,0,19,51,
June 2012,32,60,0,16,52,
July 2012,40,62,0,23,59,
August 2012,40,52,0,25,68,
September 2012,38,34,0,27,67,
October 2012,36,20,1,32,57,
November 2012,24,20,1,35,53,
December 2012,32,26,1,50,67,
January 2013,32,33,2,37,58,
February 2013,26,28,2,29,56,
March 2013,26,34,1,26,52,
April 2013,31,52,1,22,50,
May 2013,35,52,1,18,44,
June 2013,35,57,1,18,45,
July 2013,33,56,1,16,51,
August 2013,41,51,1,24,66,
September 2013,40,34,1,28,61,
October 2013,31,20,1,32,62,
November 2013,32,20,1,35,52,
December 2013,37,32,1,54,70,
January 2014,28,36,1,40,56,
February 2014,27,34,1,31,59,
March 2014,28,36,1,26,55,
April 2014,36,60,1,25,52,
May 2014,35,52,1,19,48,
June 2014,33,61,1,17,46,
July 2014,40,63,1,17,51,
August 2014,46,56,2,26,70,
September 2014,37,38,1,27,68,
October 2014,33,25,1,34,63,
November 2014,30,25,1,35,55,
December 2014,32,31,1,51,71,
January 2015,28,32,1,37,64,
February 2015,28,30,1,30,56,
March 2015,26,44,1,23,51,
April 2015,32,50,1,22,49,
May 2015,34,49,1,20,48,
June 2015,31,48,1,15,48,
July 2015,33,53,1,19,46,
August 2015,38,49,1,26,64,
September 2015,37,32,1,28,62,
October 2015,33,24,0,38,72,
