Date,university or college,masters,undergrad,doctoral,
December 2003,0,24,1,2,
January 2004,0,19,0,1,
February 2004,0,26,0,1,
March 2004,0,54,0,2,
April 2004,0,24,0,2,
May 2004,0,28,0,1,
June 2004,0,46,0,1,
July 2004,0,28,0,1,
August 2004,0,24,1,1,
September 2004,0,25,0,2,
October 2004,0,25,0,1,
November 2004,0,20,0,1,
December 2004,0,22,0,1,
January 2005,0,20,0,1,
February 2005,0,25,0,1,
March 2005,0,67,1,1,
April 2005,0,22,1,1,
May 2005,0,23,1,1,
June 2005,0,42,1,1,
July 2005,0,27,1,1,
August 2005,0,20,1,1,
September 2005,0,22,1,1,
October 2005,0,23,1,1,
November 2005,0,18,1,1,
December 2005,0,20,1,1,
January 2006,0,20,1,1,
February 2006,0,22,1,1,
March 2006,0,67,1,1,
April 2006,0,21,1,1,
May 2006,0,18,1,1,
June 2006,0,17,1,1,
July 2006,0,23,1,1,
August 2006,0,20,1,1,
September 2006,0,20,1,1,
October 2006,0,20,1,1,
November 2006,0,17,1,1,
December 2006,0,17,1,1,
January 2007,0,17,1,0,
February 2007,0,21,1,0,
March 2007,0,66,1,0,
April 2007,0,20,1,1,
May 2007,0,18,1,1,
June 2007,0,20,1,0,
July 2007,0,21,1,1,
August 2007,0,20,1,1,
September 2007,0,19,1,1,
October 2007,0,19,1,1,
November 2007,0,17,1,0,
December 2007,0,22,1,1,
January 2008,0,18,1,1,
February 2008,0,21,1,0,
March 2008,0,70,1,1,
April 2008,0,20,1,0,
May 2008,0,19,1,1,
June 2008,0,20,1,1,
July 2008,0,21,1,1,
August 2008,0,19,2,1,
September 2008,0,20,1,1,
October 2008,0,20,1,1,
November 2008,0,16,1,0,
December 2008,0,19,1,0,
January 2009,0,18,2,1,
February 2009,0,22,1,1,
March 2009,0,71,1,1,
April 2009,0,20,1,1,
May 2009,0,18,1,1,
June 2009,0,19,1,1,
July 2009,0,21,1,1,
August 2009,0,19,2,1,
September 2009,0,20,2,1,
October 2009,0,21,1,1,
November 2009,0,16,1,0,
December 2009,0,20,2,1,
January 2010,0,18,1,1,
February 2010,0,25,1,1,
March 2010,0,100,1,1,
April 2010,0,21,1,1,
May 2010,0,18,1,1,
June 2010,0,17,1,1,
July 2010,0,20,1,1,
August 2010,0,17,2,1,
September 2010,0,18,2,1,
October 2010,0,20,1,1,
November 2010,0,16,1,0,
December 2010,0,18,2,1,
January 2011,0,17,1,1,
February 2011,0,21,2,1,
March 2011,0,75,1,1,
April 2011,0,18,1,0,
May 2011,0,17,2,0,
June 2011,0,18,2,1,
July 2011,0,19,1,1,
August 2011,0,19,2,1,
September 2011,0,20,1,1,
October 2011,0,21,1,1,
November 2011,0,17,1,0,
December 2011,0,19,2,0,
January 2012,0,18,2,0,
February 2012,0,24,1,1,
March 2012,0,79,1,1,
April 2012,0,19,2,1,
May 2012,0,19,1,0,
June 2012,0,19,1,0,
July 2012,0,21,1,1,
August 2012,0,22,2,1,
September 2012,0,20,2,1,
October 2012,0,20,2,1,
November 2012,0,16,2,0,
December 2012,0,18,2,1,
January 2013,0,17,1,1,
February 2013,0,22,2,1,
March 2013,0,94,2,1,
April 2013,0,20,1,0,
May 2013,0,18,1,0,
June 2013,0,18,1,0,
July 2013,0,20,1,0,
August 2013,0,22,2,1,
September 2013,0,23,1,1,
October 2013,0,23,2,1,
November 2013,0,21,1,0,
December 2013,0,21,2,1,
January 2014,0,18,1,0,
February 2014,0,23,1,1,
March 2014,0,69,1,1,
April 2014,0,20,1,1,
May 2014,0,20,1,1,
June 2014,0,21,1,0,
July 2014,0,25,1,1,
August 2014,0,24,2,1,
September 2014,0,22,1,1,
October 2014,0,22,2,1,
November 2014,0,19,1,0,
December 2014,0,21,2,0,
January 2015,0,19,1,1,
February 2015,0,25,1,0,
March 2015,0,90,2,1,
April 2015,0,22,1,1,
May 2015,0,21,2,0,
June 2015,0,21,1,0,
July 2015,0,22,1,1,
August 2015,0,23,2,1,
September 2015,0,21,1,1,
October 2015,0,25,2,1,
