Date,hospital bills,health benefits,insurance reimbursements,ambulance bills,insurance,
December 2003,0,2,0,0,92,
January 2004,0,2,0,0,88,
February 2004,0,2,0,0,94,
March 2004,0,2,0,0,96,
April 2004,0,2,0,0,97,
May 2004,0,2,0,0,99,
June 2004,0,2,0,0,100,
July 2004,0,2,0,0,100,
August 2004,0,2,0,0,87,
September 2004,0,2,0,0,88,
October 2004,0,2,0,0,82,
November 2004,0,2,0,0,71,
December 2004,0,2,0,0,79,
January 2005,0,3,0,0,86,
February 2005,0,3,0,0,81,
March 2005,0,2,0,0,89,
April 2005,0,2,0,0,84,
May 2005,0,2,0,0,88,
June 2005,0,2,0,0,91,
July 2005,0,2,0,0,90,
August 2005,0,2,0,0,80,
September 2005,0,2,0,0,73,
October 2005,0,2,0,0,72,
November 2005,0,2,0,0,66,
December 2005,0,2,0,0,75,
January 2006,0,2,0,0,74,
February 2006,0,2,0,0,78,
March 2006,0,2,0,0,78,
April 2006,0,2,0,0,81,
May 2006,0,2,0,0,81,
June 2006,0,2,0,0,84,
July 2006,0,2,0,0,86,
August 2006,0,2,0,0,77,
September 2006,0,2,0,0,74,
October 2006,0,3,0,0,71,
November 2006,0,2,0,0,62,
December 2006,0,2,0,0,75,
January 2007,0,3,0,0,72,
February 2007,0,2,0,0,75,
March 2007,0,2,0,0,74,
April 2007,0,2,0,0,78,
May 2007,0,2,0,0,80,
June 2007,0,2,0,0,83,
July 2007,0,2,0,0,80,
August 2007,0,2,0,0,68,
September 2007,0,2,0,0,68,
October 2007,0,2,0,0,67,
November 2007,0,2,0,0,58,
December 2007,0,3,0,0,73,
January 2008,0,2,0,0,72,
February 2008,0,3,0,0,71,
March 2008,0,2,0,0,77,
April 2008,0,2,0,0,73,
May 2008,0,2,0,0,73,
June 2008,0,2,0,0,77,
July 2008,0,2,0,0,72,
August 2008,0,2,0,0,74,
September 2008,0,3,0,0,67,
October 2008,0,3,0,0,63,
November 2008,0,2,0,0,58,
December 2008,0,3,0,0,71,
January 2009,0,3,0,0,70,
February 2009,0,3,0,0,75,
March 2009,0,3,0,0,80,
April 2009,0,3,0,0,78,
May 2009,0,3,0,0,82,
June 2009,0,3,0,0,83,
July 2009,0,3,0,0,84,
August 2009,0,3,0,0,80,
September 2009,0,4,0,0,72,
October 2009,0,4,0,0,72,
November 2009,0,3,0,0,62,
December 2009,0,4,0,0,74,
January 2010,0,4,0,0,73,
February 2010,0,5,0,0,81,
March 2010,0,5,0,0,80,
April 2010,0,4,0,0,77,
May 2010,0,5,0,0,80,
June 2010,0,4,0,0,78,
July 2010,0,3,0,0,78,
August 2010,0,4,0,0,74,
September 2010,0,3,0,0,70,
October 2010,0,4,0,0,68,
November 2010,0,3,0,0,62,
December 2010,0,4,0,0,65,
January 2011,0,4,0,0,62,
February 2011,0,4,0,0,68,
March 2011,0,4,0,0,69,
April 2011,0,4,0,0,71,
May 2011,0,3,0,0,73,
June 2011,0,4,0,0,72,
July 2011,0,4,0,0,75,
August 2011,0,4,0,0,70,
September 2011,0,4,0,0,65,
October 2011,0,4,0,0,64,
November 2011,0,3,0,0,56,
December 2011,0,4,0,0,66,
January 2012,0,4,0,0,64,
February 2012,0,4,0,0,66,
March 2012,0,4,0,0,66,
April 2012,0,4,0,0,72,
May 2012,0,4,0,0,68,
June 2012,0,4,0,0,71,
July 2012,0,4,0,0,71,
August 2012,0,4,0,0,66,
September 2012,0,4,0,0,64,
October 2012,0,4,0,0,59,
November 2012,0,4,0,0,51,
December 2012,0,6,0,0,65,
January 2013,0,5,0,0,62,
February 2013,0,5,0,0,64,
March 2013,0,5,0,0,70,
April 2013,0,4,0,0,69,
May 2013,0,4,0,0,68,
June 2013,0,4,0,0,70,
July 2013,0,4,0,0,69,
August 2013,0,4,0,0,64,
September 2013,0,5,0,0,63,
October 2013,0,5,0,0,59,
November 2013,0,4,0,0,53,
December 2013,0,6,0,0,66,
January 2014,0,5,0,0,63,
February 2014,0,5,0,0,67,
March 2014,0,5,0,0,72,
April 2014,0,5,0,0,73,
May 2014,0,5,0,0,72,
June 2014,0,5,0,0,74,
July 2014,0,4,0,0,71,
August 2014,0,5,0,0,70,
September 2014,0,4,0,0,65,
October 2014,0,5,0,0,62,
November 2014,0,4,0,0,57,
December 2014,0,6,0,0,65,
January 2015,0,5,0,0,66,
February 2015,0,5,0,0,72,
March 2015,0,4,0,0,71,
April 2015,0,5,0,0,72,
May 2015,0,5,0,0,74,
June 2015,0,4,0,0,76,
July 2015,0,4,0,0,72,
August 2015,0,4,0,0,71,
September 2015,0,4,0,0,64,
October 2015,0,5,0,0,70,
