Date,lottery,concerts,nfl,nhl,nba,
December 2003,20,3,9,24,8,
January 2004,15,3,5,24,10,
February 2004,12,3,4,29,8,
March 2004,17,3,4,48,9,
April 2004,14,3,2,26,10,
May 2004,13,4,3,17,11,
June 2004,12,3,3,9,7,
July 2004,15,3,7,8,5,
August 2004,12,3,15,15,5,
September 2004,12,3,12,11,7,
October 2004,11,3,12,9,13,
November 2004,14,2,13,11,11,
December 2004,11,3,12,10,10,
January 2005,14,3,6,12,14,
February 2005,11,3,4,6,10,
March 2005,13,3,5,6,10,
April 2005,14,3,3,6,12,
May 2005,15,3,3,6,14,
June 2005,12,4,4,17,7,
July 2005,10,3,7,23,5,
August 2005,10,3,16,27,5,
September 2005,20,3,13,44,7,
October 2005,12,3,12,30,9,
November 2005,11,3,13,28,9,
December 2005,11,3,11,28,9,
January 2006,11,3,5,19,11,
February 2006,11,3,5,28,8,
March 2006,14,3,5,45,10,
April 2006,14,3,4,31,14,
May 2006,11,3,3,26,13,
June 2006,10,3,3,16,8,
July 2006,12,3,8,11,4,
August 2006,9,3,17,24,5,
September 2006,10,3,14,38,7,
October 2006,13,3,13,32,9,
November 2006,14,2,14,33,11,
December 2006,10,2,14,35,11,
January 2007,11,3,6,37,14,
February 2007,16,3,4,36,11,
March 2007,14,3,6,56,14,
April 2007,13,3,3,30,14,
May 2007,13,3,3,23,11,
June 2007,10,4,4,16,7,
July 2007,8,3,7,12,5,
August 2007,8,3,18,27,4,
September 2007,9,3,14,33,6,
October 2007,13,3,16,31,10,
November 2007,11,3,18,33,10,
December 2007,10,3,14,33,10,
January 2008,10,3,7,40,13,
February 2008,11,3,4,39,11,
March 2008,10,3,5,56,12,
April 2008,12,3,3,28,13,
May 2008,10,3,3,23,13,
June 2008,9,4,4,17,6,
July 2008,10,3,9,12,5,
August 2008,8,3,21,25,5,
September 2008,10,3,14,40,8,
October 2008,11,3,17,37,11,
November 2008,8,3,18,36,11,
December 2008,12,3,13,35,11,
January 2009,12,3,6,34,13,
February 2009,10,3,6,38,10,
March 2009,11,3,7,51,12,
April 2009,16,3,4,36,18,
May 2009,12,4,3,28,15,
June 2009,11,4,4,17,9,
July 2009,14,4,11,12,6,
August 2009,12,3,24,24,5,
September 2009,10,3,20,31,8,
October 2009,11,3,21,24,10,
November 2009,11,3,20,25,9,
December 2009,10,3,20,25,10,
January 2010,10,4,7,22,12,
February 2010,12,4,5,26,8,
March 2010,12,4,9,44,12,
April 2010,13,3,3,35,15,
May 2010,13,4,3,23,17,
June 2010,10,5,4,13,12,
July 2010,9,4,10,11,6,
August 2010,9,3,24,20,5,
September 2010,10,3,23,35,10,
October 2010,11,3,21,28,11,
November 2010,10,3,21,30,11,
December 2010,11,3,19,39,10,
January 2011,8,3,7,42,14,
February 2011,9,3,4,39,10,
March 2011,9,3,6,69,13,
April 2011,9,3,3,49,17,
May 2011,6,3,3,49,16,
June 2011,7,4,6,17,5,
July 2011,6,4,10,15,4,
August 2011,7,3,21,25,4,
September 2011,8,3,19,43,5,
October 2011,9,3,18,42,6,
November 2011,7,3,18,44,11,
December 2011,9,2,19,48,12,
January 2012,8,3,7,51,16,
February 2012,9,3,6,44,13,
March 2012,10,3,7,68,13,
April 2012,9,3,4,34,18,
May 2012,7,3,3,32,21,
June 2012,7,4,4,17,9,
July 2012,6,3,10,13,6,
August 2012,6,3,27,18,5,
September 2012,7,3,22,13,10,
October 2012,8,3,21,12,13,
November 2012,5,3,25,13,13,
December 2012,7,2,19,55,13,
January 2013,7,3,7,51,18,
February 2013,8,3,5,55,14,
March 2013,8,3,7,66,14,
April 2013,7,3,3,70,16,
May 2013,6,3,3,44,21,
June 2013,5,4,4,21,8,
July 2013,5,4,10,11,5,
August 2013,5,3,28,27,5,
September 2013,6,3,22,47,8,
October 2013,7,3,21,39,12,
November 2013,7,3,23,41,12,
December 2013,6,3,20,44,13,
January 2014,6,3,8,29,15,
February 2014,8,3,5,49,12,
March 2014,7,3,5,64,21,
April 2014,7,3,8,67,24,
May 2014,6,3,3,37,19,
June 2014,5,4,4,16,10,
July 2014,5,4,12,13,7,
August 2014,5,3,31,22,5,
September 2014,6,3,24,50,11,
October 2014,6,3,24,47,17,
November 2014,5,3,25,46,18,
December 2014,6,3,23,47,15,
January 2015,6,3,9,48,17,
February 2015,6,3,6,54,12,
March 2015,10,3,6,100,18,
April 2015,7,3,6,63,19,
May 2015,5,3,4,40,23,
June 2015,4,4,4,16,8,
July 2015,5,4,10,11,5,
August 2015,5,3,29,21,6,
September 2015,6,3,24,48,10,
October 2015,7,3,28,45,18,
