Date,mlb,mls,cfl,upcoming concerts,theme parks,
December 2003,2,43,2,0,0,
January 2004,4,47,2,0,0,
February 2004,4,48,2,0,0,
March 2004,7,47,2,0,1,
April 2004,6,44,4,0,1,
May 2004,6,45,7,0,1,
June 2004,7,47,8,0,1,
July 2004,7,47,8,0,0,
August 2004,6,40,8,0,0,
September 2004,16,39,10,0,0,
October 2004,3,32,13,0,0,
November 2004,2,26,2,0,0,
December 2004,3,39,2,0,0,
January 2005,4,42,4,0,1,
February 2005,5,46,2,0,0,
March 2005,10,50,3,0,0,
April 2005,10,49,4,0,0,
May 2005,11,50,8,0,1,
June 2005,12,53,11,0,1,
July 2005,9,53,10,0,0,
August 2005,8,45,11,0,0,
September 2005,10,39,10,0,0,
October 2005,3,36,14,0,0,
November 2005,5,30,2,0,0,
December 2005,3,44,2,0,0,
January 2006,5,48,3,0,0,
February 2006,6,53,2,0,0,
March 2006,14,56,4,0,0,
April 2006,12,54,4,0,0,
May 2006,12,53,7,0,0,
June 2006,15,59,10,0,1,
July 2006,13,59,9,0,0,
August 2006,10,52,10,0,0,
September 2006,12,48,10,0,0,
October 2006,4,45,11,0,0,
November 2006,5,38,2,0,0,
December 2006,4,60,2,0,0,
January 2007,4,61,2,0,0,
February 2007,7,65,2,0,0,
March 2007,14,73,2,0,0,
April 2007,12,73,3,0,0,
May 2007,15,72,6,0,1,
June 2007,15,71,10,0,0,
July 2007,13,67,10,0,0,
August 2007,11,57,12,0,0,
September 2007,13,49,10,0,0,
October 2007,4,39,15,0,0,
November 2007,5,31,2,0,0,
December 2007,4,46,2,0,0,
January 2008,5,52,3,0,0,
February 2008,9,61,2,0,0,
March 2008,16,67,3,0,0,
April 2008,14,70,3,0,0,
May 2008,14,67,7,0,0,
June 2008,16,69,14,0,1,
July 2008,15,65,10,0,0,
August 2008,16,60,12,0,0,
September 2008,15,56,12,0,0,
October 2008,4,44,13,0,0,
November 2008,5,39,2,0,0,
December 2008,4,55,2,0,0,
January 2009,6,57,3,0,0,
February 2009,9,66,2,0,0,
March 2009,20,64,2,0,0,
April 2009,22,62,3,0,0,
May 2009,20,59,5,0,0,
June 2009,21,60,9,0,0,
July 2009,17,59,8,0,0,
August 2009,13,51,9,0,0,
September 2009,18,41,9,0,0,
October 2009,8,39,14,0,0,
November 2009,6,31,2,0,0,
December 2009,4,43,2,0,0,
January 2010,5,45,2,0,0,
February 2010,8,51,2,0,0,
March 2010,17,51,2,0,0,
April 2010,16,48,3,0,0,
May 2010,17,45,4,0,0,
June 2010,19,45,11,0,0,
July 2010,18,44,10,0,0,
August 2010,15,40,12,0,0,
September 2010,21,38,12,0,0,
October 2010,6,33,17,0,0,
November 2010,6,30,2,0,0,
December 2010,4,50,2,0,0,
January 2011,5,54,3,0,0,
February 2011,9,62,2,0,0,
March 2011,20,63,2,0,0,
April 2011,18,61,3,0,0,
May 2011,19,59,5,0,0,
June 2011,22,60,13,0,0,
July 2011,21,60,11,0,0,
August 2011,21,53,13,0,0,
September 2011,22,53,13,0,0,
October 2011,5,47,18,0,0,
November 2011,7,39,3,0,0,
December 2011,6,55,2,0,0,
January 2012,6,60,3,0,0,
February 2012,12,67,2,0,0,
March 2012,27,67,2,0,0,
April 2012,26,64,4,0,0,
May 2012,25,58,6,0,0,
June 2012,25,59,12,0,0,
July 2012,20,56,10,0,0,
August 2012,20,51,13,0,0,
September 2012,26,47,14,0,0,
October 2012,8,40,21,0,0,
November 2012,8,33,3,0,0,
December 2012,5,48,3,0,0,
January 2013,6,52,3,0,0,
February 2013,11,61,2,0,0,
March 2013,26,64,2,0,0,
April 2013,22,58,3,0,0,
May 2013,30,57,8,0,0,
June 2013,25,55,11,0,0,
July 2013,21,54,11,0,0,
August 2013,13,50,14,0,0,
September 2013,18,45,12,0,0,
October 2013,4,39,17,0,0,
November 2013,5,33,4,0,0,
December 2013,5,44,3,0,0,
January 2014,5,45,3,0,0,
February 2014,10,55,3,0,0,
March 2014,21,55,2,0,0,
April 2014,24,56,4,0,0,
May 2014,26,53,10,0,0,
June 2014,26,55,14,0,0,
July 2014,25,53,17,0,0,
August 2014,22,47,17,0,0,
September 2014,21,42,15,0,0,
October 2014,6,35,19,0,0,
November 2014,6,31,5,0,0,
December 2014,5,40,2,0,0,
January 2015,5,43,4,0,0,
February 2015,9,50,3,0,0,
March 2015,23,52,2,0,0,
April 2015,22,55,4,0,0,
May 2015,31,50,9,0,0,
June 2015,31,48,15,0,0,
July 2015,63,49,16,0,0,
August 2015,71,43,15,0,0,
September 2015,100,40,13,0,0,
October 2015,20,43,15,0,0,
