Date,arcades,casinos,plays,national ballet,
December 2003,0,18,48,9,
January 2004,4,15,44,18,
February 2004,4,20,41,8,
March 2004,5,19,48,7,
April 2004,0,16,49,12,
May 2004,0,20,37,5,
June 2004,0,22,29,6,
July 2004,0,15,31,8,
August 2004,0,16,42,9,
September 2004,0,18,46,11,
October 2004,3,18,59,14,
November 2004,2,15,39,16,
December 2004,2,18,47,8,
January 2005,2,20,45,8,
February 2005,2,16,41,7,
March 2005,2,18,49,8,
April 2005,2,18,43,8,
May 2005,2,17,41,7,
June 2005,2,16,37,6,
July 2005,2,16,31,5,
August 2005,2,15,43,11,
September 2005,2,18,46,12,
October 2005,2,18,61,15,
November 2005,3,12,50,13,
December 2005,2,19,44,8,
January 2006,2,20,44,8,
February 2006,2,17,38,4,
March 2006,2,17,44,6,
April 2006,2,14,40,7,
May 2006,2,14,33,6,
June 2006,2,19,28,4,
July 2006,2,18,28,5,
August 2006,2,17,35,7,
September 2006,2,17,36,11,
October 2006,2,17,43,16,
November 2006,1,12,42,11,
December 2006,2,14,36,7,
January 2007,2,13,38,6,
February 2007,1,15,32,8,
March 2007,2,15,35,6,
April 2007,1,15,34,6,
May 2007,2,15,27,8,
June 2007,1,16,28,5,
July 2007,2,15,27,4,
August 2007,2,16,36,8,
September 2007,1,17,37,8,
October 2007,1,14,40,15,
November 2007,1,14,38,13,
December 2007,2,14,36,5,
January 2008,2,14,34,6,
February 2008,2,15,34,7,
March 2008,1,14,35,7,
April 2008,1,15,33,7,
May 2008,1,13,33,7,
June 2008,2,16,30,4,
July 2008,2,16,28,3,
August 2008,2,17,36,6,
September 2008,2,15,39,6,
October 2008,1,13,45,10,
November 2008,1,12,42,8,
December 2008,1,13,39,4,
January 2009,2,13,38,6,
February 2009,2,13,37,9,
March 2009,2,12,39,4,
April 2009,1,10,41,6,
May 2009,1,12,38,7,
June 2009,1,15,36,2,
July 2009,2,15,39,3,
August 2009,2,13,44,5,
September 2009,1,12,46,5,
October 2009,1,12,53,11,
November 2009,1,11,47,7,
December 2009,1,14,48,4,
January 2010,1,12,45,5,
February 2010,1,13,43,6,
March 2010,1,12,47,4,
April 2010,1,11,43,4,
May 2010,1,12,45,6,
June 2010,2,14,44,2,
July 2010,1,13,43,3,
August 2010,1,12,43,3,
September 2010,1,12,48,6,
October 2010,1,11,53,9,
November 2010,1,11,51,6,
December 2010,1,12,49,4,
January 2011,1,11,45,6,
February 2011,1,11,40,7,
March 2011,1,10,44,3,
April 2011,1,11,43,4,
May 2011,1,9,39,7,
June 2011,1,12,44,3,
July 2011,1,10,42,3,
August 2011,1,10,43,5,
September 2011,1,8,45,5,
October 2011,1,8,49,8,
November 2011,1,9,50,7,
December 2011,1,9,49,4,
January 2012,1,10,47,5,
February 2012,1,10,47,7,
March 2012,1,10,50,3,
April 2012,1,9,49,3,
May 2012,1,10,47,5,
June 2012,1,9,52,3,
July 2012,1,10,51,3,
August 2012,1,10,50,4,
September 2012,1,10,51,4,
October 2012,1,8,56,8,
November 2012,1,8,63,7,
December 2012,1,10,61,4,
January 2013,1,10,57,5,
February 2013,1,9,56,5,
March 2013,1,8,56,3,
April 2013,1,8,53,3,
May 2013,1,8,52,4,
June 2013,1,9,52,2,
July 2013,1,8,51,3,
August 2013,1,8,54,4,
September 2013,1,7,56,4,
October 2013,1,7,57,6,
November 2013,1,8,64,5,
December 2013,1,9,67,4,
January 2014,1,8,100,4,
February 2014,1,9,86,5,
March 2014,1,8,66,2,
April 2014,1,8,63,3,
May 2014,1,7,60,4,
June 2014,1,9,57,2,
July 2014,1,9,63,2,
August 2014,1,8,54,4,
September 2014,1,7,60,4,
October 2014,1,7,63,5,
November 2014,1,7,68,5,
December 2014,1,8,66,3,
January 2015,1,7,69,4,
February 2015,1,8,63,6,
March 2015,1,8,60,3,
April 2015,1,7,59,3,
May 2015,1,7,54,4,
June 2015,1,8,59,2,
July 2015,2,9,58,2,
August 2015,1,8,57,3,
September 2015,1,7,61,4,
October 2015,1,7,63,5,
