Date,hotels,resorts,dinners,bars,pubs,
December 2003,81,21,1,10,1,
January 2004,80,18,1,10,2,
February 2004,78,17,1,11,2,
March 2004,73,14,1,10,2,
April 2004,80,13,1,10,1,
May 2004,85,14,1,11,2,
June 2004,100,17,0,11,1,
July 2004,94,17,0,10,1,
August 2004,72,13,1,9,2,
September 2004,68,14,1,9,2,
October 2004,65,13,0,10,1,
November 2004,58,14,1,11,1,
December 2004,74,21,1,9,2,
January 2005,75,18,1,10,2,
February 2005,76,16,1,11,2,
March 2005,69,12,0,10,2,
April 2005,76,12,1,9,2,
May 2005,83,15,0,11,2,
June 2005,90,17,0,11,2,
July 2005,87,15,1,10,1,
August 2005,66,12,1,9,2,
September 2005,60,13,1,10,1,
October 2005,58,12,1,9,1,
November 2005,53,14,1,11,2,
December 2005,69,19,1,10,2,
January 2006,67,16,1,10,2,
February 2006,68,14,1,10,2,
March 2006,64,12,1,10,2,
April 2006,68,11,0,10,1,
May 2006,72,11,1,9,2,
June 2006,89,15,1,9,1,
July 2006,86,15,1,10,2,
August 2006,67,12,1,8,1,
September 2006,61,11,1,9,2,
October 2006,59,11,1,9,1,
November 2006,53,12,1,10,1,
December 2006,70,17,1,9,2,
January 2007,71,14,1,8,2,
February 2007,68,13,1,9,2,
March 2007,67,10,1,8,1,
April 2007,71,10,1,9,2,
May 2007,79,11,1,8,1,
June 2007,92,13,0,9,1,
July 2007,87,13,1,9,1,
August 2007,67,11,1,8,2,
September 2007,64,10,1,9,2,
October 2007,60,11,1,8,2,
November 2007,53,12,1,9,1,
December 2007,71,18,1,9,1,
January 2008,72,15,1,8,2,
February 2008,72,13,1,9,2,
March 2008,67,10,1,8,1,
April 2008,68,10,1,9,2,
May 2008,71,11,1,9,1,
June 2008,87,14,1,9,1,
July 2008,82,12,1,9,1,
August 2008,63,11,1,9,1,
September 2008,54,10,1,9,2,
October 2008,50,11,1,9,2,
November 2008,48,11,1,9,1,
December 2008,62,17,1,9,1,
January 2009,62,14,1,9,1,
February 2009,61,12,1,9,2,
March 2009,61,11,1,9,1,
April 2009,62,9,1,10,2,
May 2009,70,10,1,9,1,
June 2009,85,13,1,10,1,
July 2009,78,12,1,11,1,
August 2009,60,10,1,11,1,
September 2009,52,11,1,10,2,
October 2009,53,12,1,12,1,
November 2009,46,12,1,11,1,
December 2009,63,19,1,11,1,
January 2010,59,16,1,11,2,
February 2010,62,14,1,11,2,
March 2010,58,12,1,10,1,
April 2010,62,10,1,11,1,
May 2010,68,11,1,10,2,
June 2010,81,13,1,11,1,
July 2010,73,12,1,10,1,
August 2010,56,10,1,10,1,
September 2010,52,10,1,10,1,
October 2010,46,11,1,10,1,
November 2010,43,11,1,11,1,
December 2010,54,16,1,9,1,
January 2011,53,14,1,10,2,
February 2011,53,12,1,10,2,
March 2011,51,10,1,10,2,
April 2011,53,9,1,9,2,
May 2011,59,9,1,11,1,
June 2011,76,12,1,12,2,
July 2011,69,12,1,12,2,
August 2011,52,10,1,12,1,
September 2011,45,10,1,12,2,
October 2011,41,10,1,13,1,
November 2011,37,10,1,15,1,
December 2011,46,16,1,14,2,
January 2012,48,13,1,13,2,
February 2012,47,10,1,13,2,
March 2012,44,9,1,13,2,
April 2012,49,8,1,13,1,
May 2012,52,9,1,16,2,
June 2012,66,11,1,16,2,
July 2012,64,11,1,15,1,
August 2012,46,9,1,16,2,
September 2012,41,9,1,14,1,
October 2012,38,9,1,15,1,
November 2012,34,9,1,17,1,
December 2012,44,15,1,15,1,
January 2013,45,12,1,15,2,
February 2013,47,10,1,15,2,
March 2013,45,9,1,14,2,
April 2013,45,7,1,14,2,
May 2013,51,8,1,15,2,
June 2013,64,10,1,13,2,
July 2013,63,10,1,11,2,
August 2013,46,8,1,11,2,
September 2013,41,8,1,11,2,
October 2013,37,9,1,12,2,
November 2013,37,9,1,13,2,
December 2013,48,15,1,12,2,
January 2014,48,12,1,14,2,
February 2014,49,11,1,13,2,
March 2014,47,9,1,12,2,
April 2014,49,8,1,13,2,
May 2014,55,8,1,13,2,
June 2014,67,10,1,13,2,
July 2014,66,10,1,13,2,
August 2014,47,9,1,12,2,
September 2014,42,9,1,13,2,
October 2014,38,9,1,13,2,
November 2014,37,10,1,14,2,
December 2014,46,15,1,12,2,
January 2015,46,12,1,12,2,
February 2015,47,11,1,13,2,
March 2015,42,8,1,13,2,
April 2015,48,7,1,13,2,
May 2015,53,8,1,12,2,
June 2015,65,10,1,13,2,
July 2015,62,9,1,13,2,
August 2015,46,8,1,12,2,
September 2015,37,8,1,13,2,
October 2015,39,9,1,13,2,
