Date,motels,pizza,restaurants,
December 2003,5,23,21,
January 2004,5,22,25,
February 2004,5,21,21,
March 2004,5,22,21,
April 2004,7,23,23,
May 2004,9,21,21,
June 2004,14,26,22,
July 2004,11,22,24,
August 2004,7,23,21,
September 2004,5,25,20,
October 2004,4,23,22,
November 2004,4,26,21,
December 2004,5,27,21,
January 2005,5,28,24,
February 2005,6,27,21,
March 2005,5,27,22,
April 2005,6,26,22,
May 2005,8,27,23,
June 2005,13,29,23,
July 2005,10,29,23,
August 2005,5,28,20,
September 2005,5,32,21,
October 2005,4,31,23,
November 2005,4,35,22,
December 2005,4,32,21,
January 2006,4,36,23,
February 2006,5,33,22,
March 2006,5,34,21,
April 2006,6,32,23,
May 2006,8,32,21,
June 2006,10,32,21,
July 2006,10,34,23,
August 2006,5,36,22,
September 2006,4,38,21,
October 2006,3,37,22,
November 2006,3,41,23,
December 2006,4,38,22,
January 2007,4,42,23,
February 2007,5,39,21,
March 2007,5,40,21,
April 2007,6,38,23,
May 2007,8,39,22,
June 2007,10,42,24,
July 2007,9,41,24,
August 2007,5,39,21,
September 2007,4,41,21,
October 2007,4,43,23,
November 2007,4,48,22,
December 2007,4,43,21,
January 2008,5,46,23,
February 2008,5,46,20,
March 2008,5,45,21,
April 2008,6,44,23,
May 2008,7,44,21,
June 2008,10,43,23,
July 2008,9,47,24,
August 2008,5,43,21,
September 2008,4,46,21,
October 2008,3,49,21,
November 2008,3,52,21,
December 2008,3,54,21,
January 2009,4,52,24,
February 2009,4,48,21,
March 2009,4,52,22,
April 2009,5,52,24,
May 2009,6,51,24,
June 2009,8,57,27,
July 2009,7,60,27,
August 2009,4,54,24,
September 2009,3,60,25,
October 2009,3,58,26,
November 2009,3,59,24,
December 2009,3,64,26,
January 2010,3,61,27,
February 2010,4,57,26,
March 2010,4,57,25,
April 2010,4,58,27,
May 2010,5,54,27,
June 2010,7,62,30,
July 2010,6,62,31,
August 2010,4,59,26,
September 2010,3,64,26,
October 2010,3,60,26,
November 2010,3,66,27,
December 2010,3,66,24,
January 2011,3,68,26,
February 2011,3,61,24,
March 2011,3,66,24,
April 2011,4,63,25,
May 2011,5,65,29,
June 2011,7,68,34,
July 2011,5,67,32,
August 2011,3,66,30,
September 2011,3,71,30,
October 2011,2,70,30,
November 2011,2,81,31,
December 2011,2,73,30,
January 2012,3,72,32,
February 2012,3,69,30,
March 2012,3,70,30,
April 2012,3,63,31,
May 2012,4,68,35,
June 2012,6,71,39,
July 2012,5,70,39,
August 2012,3,72,35,
September 2012,2,72,31,
October 2012,2,70,32,
November 2012,2,79,32,
December 2012,2,73,32,
January 2013,2,76,33,
February 2013,3,76,32,
March 2013,3,73,32,
April 2013,3,70,34,
May 2013,4,76,35,
June 2013,5,74,36,
July 2013,5,76,36,
August 2013,3,75,31,
September 2013,2,76,29,
October 2013,2,77,28,
November 2013,2,89,29,
December 2013,2,82,30,
January 2014,2,83,32,
February 2014,3,85,31,
March 2014,3,85,31,
April 2014,3,84,35,
May 2014,4,80,34,
June 2014,5,85,39,
July 2014,5,90,42,
August 2014,3,82,34,
September 2014,3,86,32,
October 2014,2,90,32,
November 2014,2,93,33,
December 2014,2,89,34,
January 2015,2,93,36,
February 2015,2,90,34,
March 2015,2,87,33,
April 2015,3,91,37,
May 2015,4,90,38,
June 2015,5,97,44,
July 2015,5,100,45,
August 2015,3,93,38,
September 2015,2,98,34,
October 2015,2,91,37,
